Date,author,content,number_of_likes,number_of_shares
2014-01-08 14:57:00,BarackObama,Make #53 special for #44: http://t.co/leGTnedvdA http://t.co/qxhZ64GMdt,1512,726
2014-01-08 17:58:00,BarackObama,"Job growth has exceeded 200,000 for the sixth straight month. This is progress, but there's more to do: http://t.co/Gwic7R9xM1 #ActOnJobs",816,556
2014-01-08 18:46:00,BarackObama,Happening now: President Obama delivers a statement from the Briefing Room. http://t.co/ZUdUA43eoa,491,288
2014-01-08 18:54:00,BarackObama,"""That's the longest streak of private sector job creation in our history.""—President Obama on 53 straight months of jobs creation #ActOnJobs",804,619
2014-01-08 18:57:00,BarackObama,"""The fact is we could be much further along ... if Congress would do the job that the people sent them here to do."" —President Obama",1505,1260
2014-01-08 19:06:00,BarackObama,"""After all that we've had to overcome, our Congress should stop standing in the way of our country's success."" —President Obama",1641,1273
2014-01-08 20:35:00,BarackObama,It's been 53 straight months of private sector job growth—that's the longest streak on record. #ActOnJobs http://t.co/pLlLydr2DI,1866,1676
2014-01-08 21:00:00,BarackObama,FACT: 9.9 million private sector jobs have been added over the past 53 months. #ActOnJobs,968,608
2014-01-08 22:12:00,BarackObama,"Sign @OFA's birthday card for the President, and send your best wishes: http://t.co/2hjBliZ2Bk",799,475
2014-01-09 14:35:00,BarackObama,"To every American working hard each and every single day, happy #LaborDay. http://t.co/tGCwLVQlyl",6141,3697
2014-01-09 18:49:00,BarackObama,LIVE: President Obama is in Milwaukee speaking at Laborfest 2014. Tune in: http://t.co/v1aFGrFKOR #LaborDay,947,467
2014-01-10 15:57:00,BarackObama,"A year ago today, extreme voices in Congress shut down the government—and here's one reason why they won't try again: http://t.co/Q346BXPCHu",887,573
2014-01-10 18:18:00,BarackObama,"""Together, we renew our commitment to better prevent, detect, and treat breast cancer."" —President Obama on Breast Cancer Awareness Month",1460,984
2014-01-10 19:34:00,BarackObama,State and local governments are taking action to #RaiseTheWage: http://t.co/AvvtnbY1MA,734,367
2014-01-10 20:50:00,BarackObama,You now have basic rights and protections when it comes to health insurance—thanks to #Obamacare: http://t.co/CTK2Tn3DsL,1103,547
2014-01-11 15:07:00,BarackObama,Watch the weekly address: President Obama wants a strong economy with opportunities for women and working families. http://t.co/KEIINg19KX,1665,1002
2014-01-12 16:30:00,BarackObama,Check out the offers on this marketplace today: http://t.co/auDZQKSpAR #GetCovered http://t.co/UQY0rlUNR7,796,380
2014-01-12 18:08:00,BarackObama,Now accepting applications: @OFA is running a specialized program to train grassroots organizers of all levels. http://t.co/XOyxLxeKOC,845,396
2014-01-12 20:58:00,BarackObama,President Obama is taking a big step towards fixing our broken immigration system. Stand up for #ImmigrationAction: http://t.co/W1tq8cgNZd,1323,746
2014-02-08 15:55:00,BarackObama,Watch the weekly address: The President is working to help the middle class. It's time Congress did the same. http://t.co/8Ej0ZaPFJ7,782,502
