,Change VIX,Direction VIX,Lag 1 Change VIX,Lag 1 Direction VIX,Lag 2 Change VIX,Lag 2 Direction VIX,Lag 5 Change VIX,Lag 5 Direction VIX,Change SPY,Direction SPY,Lag 1 Change SPY,Lag 1 Direction SPY,Lag 2 Change SPY,Lag 2 Direction SPY,Lag 5 Change SPY,Lag 5 Direction SPY,BarackObama_sentiment_score,BarackObama_heuristic_score,cnnbrk_sentiment_score,cnnbrk_heuristic_score,KimKardashian_sentiment_score,KimKardashian_heuristic_score,Trump_sentiment_score,Trump_heuristic_score,New York Times_sentiment_score,New York Times_polar_score,CNN_sentiment_score,CNN_polar_score,Washington Post_sentiment_score,Washington Post_polar_score,NYT_sentiment_score,NYT_polar_score
Change VIX,1.0,0.6836907160930167,-0.010368814428227595,-0.04906433967210076,-0.050161069192697534,-0.05909620496195507,-0.050161069192697534,-0.05909620496195507,-0.7232679285609211,-0.5265621102169941,0.013652212602220281,-0.005678637992488034,0.025854057280492664,0.0026879452094827616,0.025854057280492664,0.0026879452094827616,0.030044711411154928,0.034922304327920824,0.012987242471066626,0.009993755631049137,0.03189367209051521,0.03005150475234045,-0.03630543013082384,-0.013820651020734199,-0.03518462016736291,-0.006335334916845442,0.030108572803426763,-0.011632177899524468,-0.006772044705024267,0.024838719705971665,-0.001671068555152853,0.015884852924729298
Direction VIX,0.6836907160930167,1.0,0.007682090429673005,-0.03506013784864467,-0.004167081845044702,-0.021556071164771352,-0.004167081845044702,-0.021556071164771352,-0.5196119184639352,-0.5461443629530881,-0.019899782048759352,-0.013613859721746143,-0.014153558173819844,-0.007327034175308574,-0.014153558173819844,-0.007327034175308574,0.04747803106448568,0.05221343529559993,0.01755994713944427,0.00996025680695494,0.049409138642706886,0.047240116149812286,-0.015044599698547267,-0.0006939310878723167,-0.03125474714061931,-0.028468269328621943,0.015504932387685404,-0.03746580878450992,-0.007114467251517492,0.009610175174189066,0.029767380257537782,-0.006321417333349858
Lag 1 Change VIX,-0.010368814428227595,0.007682090429673005,1.0,0.6832217988022746,0.6668705511666148,0.4827192009323226,0.6668705511666148,0.4827192009323226,-0.01879778952878799,-0.025713767537268117,-0.7230112232861178,-0.5259219673639667,-0.5238738721780287,-0.396535241946415,-0.5238738721780287,-0.396535241946415,-0.02404423167917411,-0.028060528455415172,0.0512912377961749,0.058079191324511045,0.03456101780847002,0.0360564475156436,0.06798646252002882,0.03235157987354068,0.009023424788918986,0.017353178673220216,-0.008622667433985485,0.01606457741204129,-0.018775444269718253,-0.037458191938652435,-0.03408447376221157,0.01563656676231944
Lag 1 Direction VIX,-0.04906433967210076,-0.03506013784864467,0.6832217988022746,1.0,0.4743919170840743,0.49335711602282556,0.4743919170840743,0.49335711602282556,0.02292519618888326,0.012645668016304313,-0.519294330640074,-0.5459878270132547,-0.396403746631523,-0.36061232042892705,-0.396403746631523,-0.36061232042892705,0.003132791060761076,0.002035986546726779,0.023480434144824532,0.022751707970588817,0.04464079320068409,0.0470748519232216,0.06440747263907046,0.06848875495581311,-0.005969912912920027,-0.01083457829806883,-0.030743834465193336,-0.021663857213312654,-0.03419704917951579,-0.03690907081402797,-0.012459605709693317,0.04080559570183726
Lag 2 Change VIX,-0.050161069192697534,-0.004167081845044702,0.6668705511666148,0.4743919170840743,1.0,0.6653620489735225,1.0,0.6653620489735225,0.035940123068932114,0.011120626637669526,-0.5080912008689035,-0.37863554981091146,-0.7561322773613542,-0.5347719813937543,-0.7561322773613542,-0.5347719813937543,-0.032888353463506166,-0.03809890620612537,0.04248465836530457,0.04110953363810716,-0.01294844434821254,-0.015282720464452431,0.03686216523328827,0.030928385786235586,0.004557249753413379,-0.015047929587480434,0.03825289330124778,0.03370827561629103,0.0018771165279537088,-0.048854504503880146,-0.002923200920783288,-0.005023489411321236
Lag 2 Direction VIX,-0.05909620496195507,-0.021556071164771352,0.4827192009323226,0.49335711602282556,0.6653620489735225,1.0,0.6653620489735225,1.0,0.057514909479897826,0.06395076861107138,-0.3532490780812087,-0.34312042745045646,-0.543057755891257,-0.5519775238202467,-0.543057755891257,-0.5519775238202467,0.016019268554142346,0.011839486848394207,0.01780906266759781,0.017302461649525376,-0.00025987580630987907,-0.005477392368934488,0.021043608666900544,0.0329193677760657,-0.011951083087870979,-0.03466020818200752,-0.0033218215984937975,-0.016733328745219857,-0.027068588473883645,-0.04409019814700883,0.017377209678128173,-0.00488100843608525
Lag 5 Change VIX,-0.050161069192697534,-0.004167081845044702,0.6668705511666148,0.4743919170840743,1.0,0.6653620489735225,1.0,0.6653620489735225,0.035940123068932114,0.011120626637669526,-0.5080912008689035,-0.37863554981091146,-0.7561322773613542,-0.5347719813937543,-0.7561322773613542,-0.5347719813937543,-0.032888353463506166,-0.03809890620612537,0.04248465836530457,0.04110953363810716,-0.01294844434821254,-0.015282720464452431,0.03686216523328827,0.030928385786235586,0.004557249753413379,-0.015047929587480434,0.03825289330124778,0.03370827561629103,0.0018771165279537088,-0.048854504503880146,-0.002923200920783288,-0.005023489411321236
Lag 5 Direction VIX,-0.05909620496195507,-0.021556071164771352,0.4827192009323226,0.49335711602282556,0.6653620489735225,1.0,0.6653620489735225,1.0,0.057514909479897826,0.06395076861107138,-0.3532490780812087,-0.34312042745045646,-0.543057755891257,-0.5519775238202467,-0.543057755891257,-0.5519775238202467,0.016019268554142346,0.011839486848394207,0.01780906266759781,0.017302461649525376,-0.00025987580630987907,-0.005477392368934488,0.021043608666900544,0.0329193677760657,-0.011951083087870979,-0.03466020818200752,-0.0033218215984937975,-0.016733328745219857,-0.027068588473883645,-0.04409019814700883,0.017377209678128173,-0.00488100843608525
Change SPY,-0.7232679285609211,-0.5196119184639352,-0.01879778952878799,0.02292519618888326,0.035940123068932114,0.057514909479897826,0.035940123068932114,0.057514909479897826,1.0,0.6795649960606263,-0.07816825556504385,-0.03182580251234539,-0.06651302757220057,-0.017546519272126696,-0.06651302757220057,-0.017546519272126696,-0.06775693034097284,-0.07024665300454166,-0.002351861411943674,-0.005643364817146547,-0.048598242199951194,-0.04454865746122413,0.009075102145013742,0.02435607367255116,0.02218673952955246,0.021283101019145725,-0.022615774840599144,0.02212356309391634,-0.0016003572754880676,-0.017794902719595947,0.02486614774295091,-0.04369536091276016
Direction SPY,-0.5265621102169941,-0.5461443629530881,-0.025713767537268117,0.012645668016304313,0.011120626637669526,0.06395076861107138,0.011120626637669526,0.06395076861107138,0.6795649960606263,1.0,-0.016164166556050793,0.01167983924608033,-0.021641916279554932,-0.026007123026941057,-0.021641916279554932,-0.026007123026941057,-0.07464894434451941,-0.07855286257838881,0.014564508680043978,0.008351582987025964,-0.05706869811903889,-0.05393170102319597,-0.03150320761966998,-0.04184284081706305,-0.006266333456548533,-0.022692350609208167,-0.030613311705856953,0.031922339160101176,-0.03989799618603687,-0.02827011406428173,0.01619550099388672,-0.002110553683806579
Lag 1 Change SPY,0.013652212602220281,-0.019899782048759352,-0.7230112232861178,-0.519294330640074,-0.5080912008689035,-0.3532490780812087,-0.5080912008689035,-0.3532490780812087,-0.07816825556504385,-0.016164166556050793,1.0,0.6793159613663537,0.6815678595093236,0.4673107278891557,0.6815678595093236,0.4673107278891557,0.0353618079781915,0.036814931420169825,-0.032560608171317854,-0.02873263478464736,-0.05458820005063828,-0.05600513190374011,-0.04497410146885804,-0.034260207414188754,-0.008333735814857992,-0.01789895172248066,-0.007108650848978743,-0.0021422119667569225,0.0005093025686736143,0.039499423267064564,0.008114325083698323,-0.002552005605586824
Lag 1 Direction SPY,-0.005678637992488034,-0.013613859721746143,-0.5259219673639667,-0.5459878270132547,-0.37863554981091146,-0.34312042745045646,-0.37863554981091146,-0.34312042745045646,-0.03182580251234539,0.01167983924608033,0.6793159613663537,1.0,0.48801368033565246,0.4952218655400168,0.48801368033565246,0.4952218655400168,-0.01705575879901242,-0.020792380607846574,0.008122152235233535,0.01185375854362645,-0.07903592437610495,-0.08018706938714955,-0.08476257651602935,-0.0736203733357004,-0.05562230281021165,-0.05697393520124761,0.00530005311387437,0.03415712701982755,0.007551183518936817,0.024421414780898276,0.020611406370469935,-0.009334780825961607
Lag 2 Change SPY,0.025854057280492664,-0.014153558173819844,-0.5238738721780287,-0.396403746631523,-0.7561322773613542,-0.543057755891257,-0.7561322773613542,-0.543057755891257,-0.06651302757220057,-0.021641916279554932,0.6815678595093236,0.48801368033565246,1.0,0.6932809349853092,1.0,0.6932809349853092,0.036151137455118165,0.039159409766376704,-0.032328507471055055,-0.028475589546881726,-0.02574410538269797,-0.023964908828859183,-0.04444789148422021,-0.04952588143687264,-0.003694776966494315,0.02111677439337857,-0.014225680650416734,-0.01722801050340787,0.011709632572039809,0.06080418646167237,0.005424927879599091,0.03062256827061218
Lag 2 Direction SPY,0.0026879452094827616,-0.007327034175308574,-0.396535241946415,-0.36061232042892705,-0.5347719813937543,-0.5519775238202467,-0.5347719813937543,-0.5519775238202467,-0.017546519272126696,-0.026007123026941057,0.4673107278891557,0.4952218655400168,0.6932809349853092,1.0,0.6932809349853092,1.0,-0.006735344518394784,-0.004625181824469958,-0.057027080466035086,-0.05396812260414706,-0.049482185907996634,-0.04935126712799731,-0.06779738162355664,-0.0561404722489212,-0.010033929543848784,0.03391866810474312,-0.016963557459779156,-0.0014840435397513885,0.03482447217721012,0.049904313081109763,-0.0018178397689629308,-0.009652807229418685
Lag 5 Change SPY,0.025854057280492664,-0.014153558173819844,-0.5238738721780287,-0.396403746631523,-0.7561322773613542,-0.543057755891257,-0.7561322773613542,-0.543057755891257,-0.06651302757220057,-0.021641916279554932,0.6815678595093236,0.48801368033565246,1.0,0.6932809349853092,1.0,0.6932809349853092,0.036151137455118165,0.039159409766376704,-0.032328507471055055,-0.028475589546881726,-0.02574410538269797,-0.023964908828859183,-0.04444789148422021,-0.04952588143687264,-0.003694776966494315,0.02111677439337857,-0.014225680650416734,-0.01722801050340787,0.011709632572039809,0.06080418646167237,0.005424927879599091,0.03062256827061218
