Date,author,content,number_of_likes,number_of_shares
2015-01-07,ArianaGrande,roman holiday @tywrent https://t.co/Ek3ucHoStf,20487,10734
2015-01-07,ArianaGrande,http://t.co/1aaguuMYkl congrats on the new line @theellenshow !!! ☁️,19209,9289
2015-01-07,ArianaGrande,love u babes,32815,21899
2015-01-07,ArianaGrande,he knows just what it does when he's......... and he calls me moonlight too,26660,16642
2015-01-07,ArianaGrande,those dots (................) were a lot more suggestive than intended 🙊,24080,13194
2015-01-07,ArianaGrande,sweet like 🍬..... but he's such a man.... he knows just what it does when he's holdinn me tight and he calls me 🌙✨ too,33708,23509
2015-01-07,ArianaGrande,fine i won't share anymore 😇☕️🙊 https://t.co/kr9CRfWtp2,19312,8797
2015-01-07,ArianaGrande,or maybe i will..... we'll see 🙊☕️🌙 love u,25564,14680
2015-01-07,ArianaGrande,hi babe https://t.co/ArGPhQhD4D,17974,7780
2015-01-07,ArianaGrande,ok i'll stay a lil longer! but i'm on set.... they're gonna need me in a min! https://t.co/EPhFenn4cA,18014,8101
2015-01-07,ArianaGrande,love you https://t.co/yeZPak2RQ6,17683,7562
2015-01-07,ArianaGrande,love you more  https://t.co/22NEQZyeCT,17819,7402
2015-01-07,ArianaGrande,alright my love i'll 💭 about it 🙊 https://t.co/PxkY3ozujD,19456,8375
2015-01-07,ArianaGrande,love you both  https://t.co/ldrw26Xp5t,18607,7727
2015-01-07,ArianaGrande,love you more https://t.co/6h9bJxFUWE,19577,8150
2015-01-07,ArianaGrande,lyrics af  https://t.co/GlVg71H2lu,21657,9407
2015-01-07,ArianaGrande,what a babe. love u more.  https://t.co/SuZexgYvbV,22073,9445
2015-01-07,ArianaGrande,🌙,36852,24029
2015-01-08,ArianaGrande,wow no that typi,17324,8621
2015-01-08,ArianaGrande,wow omg,19739,10739
2015-01-08,ArianaGrande,typo*,17050,8229
2015-01-08,ArianaGrande,"thank you Albany, I love you 💜💜💜💜💜 my babies",22855,10627
2015-01-08,ArianaGrande,love u more https://t.co/YuNJaQg5Bq,12418,4661
2015-01-08,ArianaGrande,bae https://t.co/AeESdFDG0W,12559,4581
2015-01-08,ArianaGrande,I do I do  https://t.co/FLu0cbhZzg,12636,4833
2015-01-08,ArianaGrande,happy bday babe see u soon 🎂 https://t.co/gNzzAiZRtI,13446,4983
2015-01-08,ArianaGrande,me neither love https://t.co/d5vZkPrF47,12726,4693
2015-01-08,ArianaGrande,lots to smile bouuuuut. love u. https://t.co/qNbAarOIRl,12756,4813
2015-01-08,ArianaGrande,babe https://t.co/IeSarM7q6s,13668,5055
2015-01-08,ArianaGrande,🙈 https://t.co/bmZjYuKUMq,12850,4740
2015-01-08,ArianaGrande,love u more https://t.co/eACDWj8WT8,12970,4848
2015-01-08,ArianaGrande,is that your bae? https://t.co/1JOfNbZEji,14074,5268
2015-01-08,ArianaGrande,I adore u more https://t.co/uTiXjSxa7q,14433,5353
2015-01-08,ArianaGrande,my love https://t.co/jatfaUBY1x,14651,5395
2015-01-08,ArianaGrande,love u babe https://t.co/LIUzGUna4c,15306,5555
2015-01-08,ArianaGrande,omg  https://t.co/vNysvWfKHG,15603,5697
2015-01-08,ArianaGrande,pls don't my love  https://t.co/JUzRnyiGMB,17822,6622
2015-01-08,ArianaGrande,y'all are my favorite wtf  https://t.co/FC9y6k3EJx,16629,6231
2015-01-08,ArianaGrande,love you babes so very much 💜💜💜💜☕️☕️☕️☕️☕️☕️☕️,39115,24014
2015-01-08,ArianaGrande,hi babes! 2nd show at Barclays Center in Brooklyn on Sept 27th is on sale now: http://t.co/Ujnj08hQlj love u,23342,12004
2015-01-09,ArianaGrande,@YourTrulyChris I SAID IT'S  COMINNNNN BAE. i'll announce it this month how bout that?  (ૢෆ癶◡癶ෆ) ૢ *bats eyelashes*,9382,4915
2015-01-09,ArianaGrande,@giorgializari yas,7472,2996
2015-01-09,ArianaGrande,@arianaspolaroid focus comes first. i'll get you a date soon bbs.,8732,4418
2015-01-09,ArianaGrande,@54sboca looking sensible tho,7424,2948
2015-01-09,ArianaGrande,@arianafifths lmao i promise i won't,7574,3018
2015-01-09,ArianaGrande,@deIuxemalik stop i'm dead lmao. i really was sick tho! i'm jet lagged af / so run down! u see where i've been! workin my lil booty off. ily,8285,3516
2015-01-09,ArianaGrande,@FlowersYellow yes. thank u my loveee,7702,3036
2015-01-09,ArianaGrande,@grandesballoon i can't wait to shaaaare it with u. u have no idea how excited i am !,8310,3574
2015-01-09,ArianaGrande,@xJaninaGrande omg you would've heard from me first. you know i couldn't possibly keep a surprise like that.,8250,3402
2015-01-09,ArianaGrande,@justjared_jose @BriLoveLife wow i love @brilovelife this is cute,7679,3058
2015-01-09,ArianaGrande,@ilovepandas900 it's coming ily,7656,3010
2015-01-09,ArianaGrande,@stolengrandee wow i love chicago. see u soon. love u,7889,3104
2015-01-09,ArianaGrande,@forevergrande26 me too but he's sleepin wit jones rn,8012,3101
2015-01-09,ArianaGrande,@holygrandeballs omg y'all ariana buys underwear,8775,3867
2015-01-09,ArianaGrande,@bizzleisboca love u sweetest,7840,3072
2015-01-09,ArianaGrande,@ignitelauren lmaooooo no,8024,3079
2015-01-09,ArianaGrande,@certainlybutera love youuuu more.,8187,3193
2015-01-09,ArianaGrande,@arigrandeftmota wow i love this so much,8295,3196
2015-01-09,ArianaGrande,@DayDreamLikeAri i remember u! thank u &amp; love u,8610,3346
2015-01-09,ArianaGrande,@feministiana absolutely,8431,3226
2015-01-09,ArianaGrande,@biebsxmydrug ily,8747,3380
2015-01-09,ArianaGrande,@buteraflares yas,8389,3220
2015-01-09,ArianaGrande,@ALFokemon *smiling*,9612,3644
2015-01-09,ArianaGrande,@ButeraCuddles__ yas,8996,3434
2015-01-09,ArianaGrande,@StayOnFleek i kno bae u don't have to have it in there and besides u know i love u,9092,3519
2015-01-09,ArianaGrande,@selilovebtr lieeeees. love u,10569,4103
2015-01-09,ArianaGrande,love you more than words lil babes.,40740,27632
2015-01-09,ArianaGrande,alright fiiiiinneeee a snippet. this is how it goes right @frankiejgrande? #29days #focus 😇 https://t.co/5IwlJRpjll,19339,10248
2015-01-09,ArianaGrande,🙈🙈 love you,33231,21524
2015-01-09,ArianaGrande,when we didn't have time to put together what we had originally planned so we went to my garage and… https://t.co/q3yfrL4ucY,19854,9592
2015-01-09,ArianaGrande,cmon girls !!!!! 👻 how was your Halloween everyone? https://t.co/w5Y5jkRkIX,20028,10338
2015-01-09,ArianaGrande,YOU REMIND ME OF THE BABE ~ we also attempted to have a labyrinth moment at one point 😂😂😂 Aaron's… https://t.co/UqW31o7VPA,18960,9285
2015-01-09,ArianaGrande,"twizzlers, spidee aaaand peter parker https://t.co/Di7rijkpMG",17826,8658
2015-01-09,ArianaGrande,loving the beginnings of this cute focus sketch artisticmerve drawingqueenariana  thank you for your… https://t.co/WtmdaNaCNd,18926,9298
2015-01-09,ArianaGrande,I don't think I can ever look at a twizzler again........ happy day after Halloween y'all 👀,28396,14103
2015-01-09,ArianaGrande,"ugh I love you &amp; this caption @jarvimac ✨ to all humans, friends, lovers dealing with hate, ""shine… https://t.co/PZIkf1HVYu",19338,9177
2015-01-09,ArianaGrande,WE SOUND LIKE A STUDIO AUDIENCE....???? Aaron's ice cream review up on snapchat now. I've never… https://t.co/mekJYofOOe,20276,9711
2015-01-09,ArianaGrande,this is my fav vid on your channel lmao. show us ya moooooves! love u &amp; @brilovelife #Focus https://t.co/oLIm838L55 https://t.co/7Ak95EIfMG,19631,9651
2015-01-09,ArianaGrande,wait.... the people walking by in the background.  https://t.co/7Ak95EIfMG,22970,10853
