Date,author,content,number_of_likes,number_of_shares,sentiment_score,heuristic_score
2014-01-08,BarackObama,Make #53 special for #44: http://t.co/leGTnedvdA http://t.co/qxhZ64GMdt,1512,726,0.4019,0.4019
2014-01-08,BarackObama,"Job growth has exceeded 200,000 for the sixth straight month. This is progress, but there's more to do: http://t.co/Gwic7R9xM1 #ActOnJobs",816,556,0.4854,0.4854
2014-01-08,BarackObama,Happening now: President Obama delivers a statement from the Briefing Room. http://t.co/ZUdUA43eoa,491,288,0.0,0.0
2014-01-08,BarackObama,"""That's the longest streak of private sector job creation in our history.""—President Obama on 53 straight months of jobs creation #ActOnJobs",804,619,0.6249,0.6249
2014-01-08,BarackObama,"""The fact is we could be much further along ... if Congress would do the job that the people sent them here to do."" —President Obama",1505,1260,0.0,0.0
2014-01-08,BarackObama,"""After all that we've had to overcome, our Congress should stop standing in the way of our country's success."" —President Obama",1641,1273,-0.29600000000000004,-0.29600000000000004
2014-01-08,BarackObama,It's been 53 straight months of private sector job growth—that's the longest streak on record. #ActOnJobs http://t.co/pLlLydr2DI,1866,1676,0.2263,0.2263
2014-01-08,BarackObama,FACT: 9.9 million private sector jobs have been added over the past 53 months. #ActOnJobs,968,608,0.0,0.0
2014-01-08,BarackObama,"Sign @OFA's birthday card for the President, and send your best wishes: http://t.co/2hjBliZ2Bk",799,475,0.7003,0.7003
2014-01-09,BarackObama,"To every American working hard each and every single day, happy #LaborDay. http://t.co/tGCwLVQlyl",6141,3697,0.5106,0.5106
2014-01-09,BarackObama,LIVE: President Obama is in Milwaukee speaking at Laborfest 2014. Tune in: http://t.co/v1aFGrFKOR #LaborDay,947,467,0.0,0.0
2014-01-10,BarackObama,"A year ago today, extreme voices in Congress shut down the government—and here's one reason why they won't try again: http://t.co/Q346BXPCHu",887,573,0.0,0.0
2014-01-10,BarackObama,"""Together, we renew our commitment to better prevent, detect, and treat breast cancer."" —President Obama on Breast Cancer Awareness Month",1460,984,0.4404,0.4404
2014-01-10,BarackObama,State and local governments are taking action to #RaiseTheWage: http://t.co/AvvtnbY1MA,734,367,0.0,0.0
2014-01-10,BarackObama,You now have basic rights and protections when it comes to health insurance—thanks to #Obamacare: http://t.co/CTK2Tn3DsL,1103,547,0.0,0.0
2014-01-10,BarackObama,Watch the weekly address: President Obama wants a strong economy with opportunities for women and working families. http://t.co/KEIINg19KX,1665,1002,0.7096,0.7096
2014-01-10,BarackObama,Check out the offers on this marketplace today: http://t.co/auDZQKSpAR #GetCovered http://t.co/UQY0rlUNR7,796,380,0.0,0.0
2014-01-10,BarackObama,Now accepting applications: @OFA is running a specialized program to train grassroots organizers of all levels. http://t.co/XOyxLxeKOC,845,396,0.3818,0.3818
2014-01-10,BarackObama,President Obama is taking a big step towards fixing our broken immigration system. Stand up for #ImmigrationAction: http://t.co/W1tq8cgNZd,1323,746,-0.4767,-0.4767
2014-02-07,BarackObama,Watch the weekly address: The President is working to help the middle class. It's time Congress did the same. http://t.co/8Ej0ZaPFJ7,782,502,0.4019,0.4019
2014-02-07,BarackObama,"""The bottom line is this: We’ve come a long way these past five and a half years.""—President Obama http://t.co/ykwi9TVAll #OpportunityForAll",1117,632,0.0,0.0
2014-02-07,BarackObama,Organizers got together for an important conversation at @OFA's Women &amp; Working Families Summit: http://t.co/YUmJOB85OI #StandWithWomen,763,422,0.2023,0.2023
2014-02-10,BarackObama,ICYMI: @OFA volunteers across the country are preparing for the second health care enrollment period. http://t.co/X6X0d4EMXz,533,245,0.4939,0.4939
2014-02-10,BarackObama,President Obama will address the future of the economy at @NorthwesternU at 2:15 pm ET. Don't miss it: http://t.co/XgJu70EQ6A #AmericaLeads,613,386,0.1139,0.1139
2014-02-10,BarackObama,LIVE: President Obama is speaking about the future of our 21st century economy. Tune in: http://t.co/BmKpNxpJh2 #AmericaLeads,455,283,0.0,0.0
2014-02-10,BarackObama,"""American leadership is the one constant in an uncertain world."" —President Obama #AmericaLeads",654,403,-0.29600000000000004,-0.29600000000000004
2014-02-10,BarackObama,"""As Americans, we can and should be proud of the progress our country has made over these past six years."" —President Obama #AmericaLeads",762,426,0.7096,0.7096
2014-02-10,BarackObama,"""Today, our businesses are hiring 200,000 Americans per month."" —President Obama #AmericaLeads",677,363,0.0,0.0
2014-02-10,BarackObama,"""This is the longest, uninterrupted stretch of job growth in our history."" —President Obama #AmericaLeads",873,555,0.3818,0.3818
2014-02-10,BarackObama,"""When the middle class thrives ... America thrives. When it doesn’t, America doesn't."" —President Obama #AmericaLeads",937,645,0.0,0.0
2014-02-10,BarackObama,"""We have to make our economy work for every working American."" —President Obama #AmericaLeads",674,365,0.0,0.0
2014-02-10,BarackObama,"""Today, they’re building and selling new cars at the fastest rate in eight years."" —President Obama #AmericaLeads",604,310,0.0,0.0
2014-02-10,BarackObama,"""Last year, our elementary and middle school students had the highest math and reading scores on record."" —President Obama #AmericaLeads",849,462,0.0,0.0
2014-02-10,BarackObama,"""In the decade before the Affordable Care Act—AKA Obamacare—double-digit premium increases were common."" —President Obama #AmericaLeads",483,255,0.4939,0.4939
2014-02-10,BarackObama,"""Today, we have seen a dramatic slowdown in the rising cost of health care."" —President Obama #AmericaLeads",611,297,0.0,0.0
2014-02-10,BarackObama,"""Premiums are rising at a rate tied for the lowest on record."" —President Obama #AmericaLeads",498,251,-0.3818,-0.3818
2014-02-10,BarackObama,"""We're slowing the cost of health care—and we're covering more people at the same time."" —President Obama #AmericaLeads",712,337,0.0,0.0
2014-02-10,BarackObama,"""When I took office, the deficit was nearly 10 percent of our economy. Today, it’s approaching 3 percent."" —President Obama #AmericaLeads",1364,976,-0.4019,-0.4019
2014-02-10,BarackObama,"""America is better poised to lead and succeed in the 21st century than any other nation on Earth."" —President Obama #AmericaLeads",706,381,0.7964,0.7964
2014-02-10,BarackObama,"""I’m setting a new goal: By the end of this decade, let’s enroll six million children in high-quality preschool."" —President Obama",1144,662,0.0,0.0
2014-02-10,BarackObama,"""Let's keep reforming our education system so young people at every level have the same shot at success."" —President Obama #AmericaLeads",1034,762,0.0,0.0
2014-02-10,BarackObama,"""If we raise the minimum wage, we won’t just put more money in workers’ pockets—they’ll spend that money."" —President Obama #AmericaLeads",1202,826,0.0,0.0
2014-02-10,BarackObama,"""Let's agree that no one who works full time in America should ever have to work in poverty."" —President Obama",1628,1117,0.0772,0.0772
2014-02-10,BarackObama,"""Let's catch up to 2014."" —President Obama on #EqualPay for women",1389,835,0.0,0.0
2014-02-10,BarackObama,"President Obama: While affordable health care might still be a threat to freedom on Fox News, it’s working pretty well in the real world.",3122,3026,0.8519,0.8519
2014-02-10,BarackObama,"""America’s economic greatness has never trickled from the top down—it grows from a rising, thriving middle class."" —President Obama",1058,706,0.1842,0.1842
2014-02-10,BarackObama,"""It is the American people who have made the progress of the last six years possible."" —President Obama #AmericaLeads",885,448,0.4215,0.4215
2014-02-10,BarackObama,"""The story of America is a story of progress."" —President Obama #AmericaLeads",1233,716,0.0,0.0
2014-02-10,BarackObama,"Retweet if you believe our economy should grow from the middle out, not the top down. #AmericaLeads http://t.co/XzR28YPIB0",2651,3301,-0.1511,-0.1511
2014-02-12,BarackObama,"""Let's recommit ourselves to achieving an AIDS-free generation in our lifetimes."" —President Obama http://t.co/YDCyjfMkcf #WorldAIDSDay",1697,1187,0.0,0.0
2014-02-12,BarackObama,Getting covered is easier than you think: http://t.co/WQCE9tvyOD,771,319,0.4215,0.4215
2014-02-12,BarackObama,Make history in your community: http://t.co/eGeRF0oHbg http://t.co/M4dFfYaXaI,1260,5531,0.0,0.0
2014-02-12,BarackObama,Don't wait to #GetCovered. Check out your options today: http://t.co/9wO2E0dFgr,690,301,0.0,0.0
2014-02-12,BarackObama,WATCH: President Obama is discussing progress in the fight against Ebola. http://t.co/YIjAAOD6dn,872,377,0.0516,0.0516
2014-03-07,BarackObama,Sign your name to OFA's birthday card and send a note of thanks to President Obama. http://t.co/eNRSuY8fJz http://t.co/OrYUigVPwI,4014,2057,0.4404,0.4404
2014-03-07,BarackObama,Have a hard time picking a card? You're in luck: @OFA wants you to pick your favorite for President Obama's birthday: http://t.co/cNIeQ3LGFd,821,386,0.6808,0.6808
2014-03-07,BarackObama,"ICYMI: For six months in a row, private sector job creation has exceeded 200,000 jobs. http://t.co/z324uOBHlq #ActOnJobs",960,652,0.2732,0.2732
2014-03-07,BarackObama,Help put a smile on the President's face: Sign @OFA's birthday card. http://t.co/FMTQFSqGZ1 http://t.co/wC7056f87y,4160,2409,0.6369,0.6369
2014-03-07,BarackObama,Retweet if you think Congress should help rein in the burden of student loan debt. #OpportunityForAll http://t.co/fCkcTgYOdb,3643,8296,-0.4019,-0.4019
2014-03-07,BarackObama,Congress is heading back to Washington next week: Refuse to be cynical about what they can get done. http://t.co/aZWuEnOO2z,1921,1231,-0.5859,-0.5859
2014-03-07,BarackObama,The other side hopes people like you will get cynical and tune out—you should refuse: http://t.co/ozbejJFvJu,793,453,0.128,0.128
2014-03-07,BarackObama,FACT: Total U.S. exports sustained 11.3 million American jobs in 2013. #MadeInAmerica,861,430,0.0,0.0
2014-03-10,BarackObama,"Great news: The U.S. economy added 248,000 jobs in September. http://t.co/fTAAXyfHgG #ActOnJobs",1361,773,0.6249,0.6249
2014-03-10,BarackObama,"Progress: The unemployment rate just fell to 5.9%, the lowest rate since July 2008. #ActOnJobs",2137,1564,-0.4019,-0.4019
2014-03-10,BarackObama,There's been great progress over the past 55 months—it's time to #RaiseTheWage to help keep the economy growing. http://t.co/2xqIw7MyC4,1600,1314,0.8834,0.8834
2014-03-10,BarackObama,See why raising the minimum wage is a good idea for working Americans and their families: http://t.co/QUJKLfu9oy #RaiseTheWage,971,560,0.4404,0.4404
2014-03-10,BarackObama,Here's an in-depth look at how our economy has made real progress in the last six years: http://t.co/mZ1I9HSIw6 #AmericaLeads,902,521,0.4215,0.4215
2014-03-12,BarackObama,LIVE: President Obama is speaking about the economy. Tune in: http://t.co/vAbjtz2CL6,658,342,0.0,0.0
2014-03-12,BarackObama,Have you checked your options yet? #GetCovered: http://t.co/07tRstp590,584,274,0.0,0.0
2014-03-12,BarackObama,Big news: More than 200 U.S. companies are supporting the President's plan to cut carbon pollution from power plants. http://t.co/z93e2NQcTN,1321,964,0.2023,0.2023
2014-03-12,BarackObama,Be prepared. http://t.co/JXRJ3phFIA #BuyNowSaveLater http://t.co/GhCeZcoQPd,652,376,0.2263,0.2263
2014-03-12,BarackObama,WATCH: President Obama is speaking at the 2014 White House Tribal Nations Conference. http://t.co/ujFisH6And,641,340,0.0,0.0
2014-03-12,BarackObama,Read the President's latest op-ed on why he acted on immigration: http://t.co/roSc7nuvRa #ImmigrationAction,855,3625,0.0,0.0
2014-04-08,BarackObama,Today is President Obama's birthday—make sure you sign OFA's card: http://t.co/h8AtbmovVb http://t.co/c3qzlI5ofU,2451,1557,0.3182,0.3182
2014-04-08,BarackObama,Retweet to share a happy reminder about health care reform. http://t.co/QCegketf6L,1498,1724,0.8442,0.8442
2014-04-08,BarackObama,Send President Obama some love for his birthday: http://t.co/ZMfioaoHnt,1967,1154,0.6369,0.6369
2014-04-08,BarackObama,President Obama: Michelle and I send our deepest condolences to the family of former White House Press Secretary James Brady on his passing.,1435,738,0.0,0.0
2014-04-08,BarackObama,"""Some people prefer cake. I like pie."" —President Obama http://t.co/42tOiQ2ogf",3498,2056,0.3612,0.3612
2014-04-08,BarackObama,Don't forget to leave a personal note for President Obama's birthday today: http://t.co/v0pSvUVNdG,1430,719,0.2057,0.2057
2014-04-09,BarackObama,Add your name: http://t.co/F8LECMasbh Refuse to be cynical about what leaders in Congress can accomplish.,693,310,-0.25,-0.25
2014-04-09,BarackObama,"Because some are standing in the way, this has been the least productive Congress in modern history. Demand better: http://t.co/9RCdspIayB",1140,846,0.34,0.34
2014-04-09,BarackObama,"""I think it's wonderful."" Tanyce is a cancer survivor, and #ThisIsWhy she's praising her new health care plan: http://t.co/GrFix8rLHA",732,378,0.5859,0.5859
2014-04-09,BarackObama,You should reject cynicism: http://t.co/SUxdU4pkP0,922,471,-0.6597,-0.6597
2014-04-10,BarackObama,"Watch the weekly address: Although the economy has improved, there's still more to do to help middle class families. http://t.co/XKkQ6l63Di",1018,428,0.7003,0.7003
2014-04-10,BarackObama,"""The folks who keep blocking a minimum wage increase are running out of excuses."" —President Obama http://t.co/rBUpLZzaK8 #RaiseTheWage",2061,1177,-0.0772,-0.0772
2014-04-10,BarackObama,Good news: America's businesses extended the longest streak of private sector job gains on record. http://t.co/Y4Td76Bz9U #ActOnJobs,1344,708,0.6486,0.6486
2014-04-11,BarackObama,You've got options. Take a look: http://t.co/Z6FWZnrUZI #GetCovered #StayCovered,634,264,0.0,0.0
2014-04-11,BarackObama,A first-class opportunity for anybody wanting to sharpen their grassroots organizing skills: http://t.co/ss6YqNO7qa,877,373,0.4215,0.4215
2014-04-11,BarackObama,"The House just voted to make our broken immigration system worse, not better. It's time for comprehensive solutions. #NoMoreGames",1826,1267,-0.7101,-0.7101
2014-04-11,BarackObama,LIVE: Celebrate the start of the holiday season by watching the National Christmas Tree lighting at the @WhiteHouse. http://t.co/UJMZz3tpF6,906,401,0.7506,0.7506
2014-04-11,BarackObama,"Instead of votes that make our broken immigration system worse, we need solutions. Say you're tired of the games: http://t.co/srq7OgYyt4",1292,829,-0.8126,-0.8126
2014-05-08,BarackObama,LAST CHANCE: Sign OFA's birthday card for President Obama. http://t.co/KJG9Gx59B9,965,454,0.4084,0.4084
2014-05-08,BarackObama,"""Study: States Embracing Obamacare See Biggest Drops in Uninsured"" More from @WSJ: http://t.co/Hj9hlD98tI",860,486,0.0,0.0
