Date,author,content,number_of_likes,number_of_shares
2010-01-08,Cristiano,The team is preparing for the next match against Osasuna on Septemeber 12. I'm training harder every day to get back to 100%,73,294
2010-02-09,Cristiano,"All my best to team Portugal in their match against Cyprus tomorrow. Even though I won't be on the field, I am with ... http://say.ly/Kcb3jT",89,313
2010-02-11,Cristiano,http://say.ly/IHq4rn - Come along with me on the Armani experience.,78,189
2010-02-11,Cristiano,http://say.ly/Twy4rA - Trying for Puskas' 13. It's time to set a new record.,61,230
2010-03-05,Cristiano,Thank you for your support during the World Cup. You have all been so great. We will be back stronger. #POR #worldcup,247,1476
2010-03-05,Cristiano,http://tinypaste.com/b8f74,379,2316
2010-03-10,Cristiano,Real Madrid 6 - Deportivo La Coruña 1,137,1024
2010-03-11,Cristiano,Real Madrid 2 - AC Milan 2,106,640
2010-04-09,Cristiano,Strong showing from Real Madrid yesterday! #RealMadrid... http://say.ly/hpg3J3,69,266
2010-04-09,Cristiano,Some photos from yesterday's match.... http://say.ly/oyE4xb,80,185
2010-05-07,Cristiano,It's great to be back playing again...... http://say.ly/npM38I,73,281
2010-05-10,Cristiano,My friend Jorge Monteiro caught me napping. Gotta rest sometime...... http://say.ly/Voz3Kv,92,210
2010-05-12,Cristiano,"I took a break after last week, and my focus paid off. Real Madrid 2 - Valencia 0",182,502
2010-06-10,Cristiano,I’m really enjoying being back with the national team. Best of luck to our new coach.,89,340
2010-06-15,Cristiano,Ola Twitter! Welcome to my new official Twitter page...,1238,2276
2010-06-15,Cristiano,http://bit.ly/aqqABT,41,76
2010-06-15,Cristiano,"Check out Cristiano's new Armani campaign @ www.facebook.com/armani. Enjoy!
#cristianoronaldo http://twitpic.com/1x3b53",545,852
2010-06-15,Cristiano,@OGOchoCinco Just followed you back.  Happy to swap jerseys after the Cup.  #awesome,28,74
2010-06-16,Cristiano,@lukejvaughn @inagaki @syilabebe Thank you for the support...,18,30
2010-06-16,Cristiano,Support the 1GOAL FIFA World Cup 2010 Project - follow @join1goal #worldcup,39,247
2010-06-16,Cristiano,"Check out this month's GQ (UK) World Cup Special at http://www.gq-magazine.co.uk/...
#worldcup http://twitpic.com/1xc7vt",175,224
2010-06-16,Cristiano,@Scarlett_CR thanks for the support.  Follow Team Portugal for the Cup!,20,40
2010-06-16,Cristiano,My cousin from Australia came to see me. It’s great to have family close to us. http://twitpic.com/1xcvyx,115,166
2010-06-16,Cristiano,O meu primo da Austrália veio ver-me. É bom termos a família e amigos por perto… http://twitpic.com/1xcwv1,96,137
2010-06-17,Cristiano,@sportsnation feature http://www.youtube.com/watch?v=LWAoiSrU-4U,25,70
2010-06-17,Cristiano,"Thank you for the support. http://bit.ly/97PGDh
 #POR #worldcup",43,303
2010-06-18,Cristiano,Vote here http://bit.ly/bHuqG1 to support Porto Santo beach and Laurissilva forest in becoming part of the 7 Natural Wonders of Portugal#POR,21,84
2010-06-18,Cristiano,Vota aquí http://bit.ly/bHuqG1 para apoyar Porto Santo y el bosque de Laurissilva en formar parte de las 7 Maravillas Naturales de Portugal,21,92
2010-06-18,Cristiano,Vota aqui http://bit.ly/bHuqG1 para apoiar Porto Santo e o bosque de Laurissilva em formar parte das 7 Maravilhas Naturais de Portugal,28,94
2010-06-18,Cristiano,"@fifewx @renatacristiani @mjesusfonsi Thank you for the support 
#POR #worldcup",25,68
2010-06-18,Cristiano,Looking back on the last game as we prepare for Nth Korea...#POR #worldcup http://twitpic.com/1y7td0,300,523
2010-06-18,Cristiano,Recordando...http://www.youtube.com/watch?v=F56lLKDEGO8,35,122
2010-06-18,Cristiano,Remembering...http://www.youtube.com/watch?v=F56lLKDEGO8,42,137
2010-06-21,Cristiano,Portugal 7 - North Korea 0...Next: Brazil #POR #worldcup,129,1520
2010-06-21,Cristiano,"It was a funny way to score today, made me want to laugh. What's most important is securing the victory for Portugal. #POR #worldcup",133,931
2010-06-21,Cristiano,"Fue una buena manera  de marcar  hoy, me dieron ganas de reír, pero lo más importante era garantizar la victoria de Portugal #POR #worldcup",106,469
2010-06-21,Cristiano,@OGOchoCinco winning a World Cup match is always special.  It felt good to see the team play so well together. Did you watch the match?,31,114
2010-06-22,Cristiano,Taking a moment to appreciate Team Portugal playing against North Korea #POR #worldcup http://twitpic.com/1z1wd2,195,484
2010-06-22,Cristiano,The team is back in training as we prepare for Brazil on the 25th...#POR #worldcup http://twitpic.com/1z38pk,195,656
2010-06-23,Cristiano,"Take a look at the new Cristiano campaign, and check out www.facebook.com/armani... http://twitpic.com/1zaiz1",504,896
2010-06-23,Cristiano,My World cup anthem: http://bit.ly/cDpJZi What's yours? @bep @iamwill @tabbep #POR #worldcup,78,226
2010-06-24,Cristiano,"Olá! Thanks for the support... 
http://bit.ly/9oJn7n #POR #worldcup",85,434
2010-06-25,Cristiano,Portugal 0 - Brazil 0... #POR #worldcup http://twitpic.com/1zupkj,223,967
2010-06-25,Cristiano,"Check out www.cristianoronaldo.com !
http://www.youtube.com/watch?v=sL-kNqUcP1s #POR #worldcup",83,437
2010-06-25,Cristiano,Looking back on yesterday's match...#POR #worldcup http://twitpic.com/2051lz,171,365
2010-06-25,Cristiano,Me and Kaká... @realkaka #POR #BRA #worldcup http://twitpic.com/20ilib,787,2721
2010-06-28,Cristiano,"After Brazil it's time to play against Spain, one of the best teams in the World Cup, filled with many of my frien http://twitpic.com/20seue",273,984
2010-07-08,Cristiano,Our final training session before tomorrow's match against the LA Galaxy... http://say.ly/Ogj3ah,91,313
2010-07-09,Cristiano,Wishing team Portugal good luck today against Norway. I am confident the team will achieve a good result.... http://say.ly/yty3kL,64,280
2010-07-09,Cristiano,This just went up on Sunset Blvd in Los Angeles. What do you think?... http://say.ly/MBw3NP,105,229
2010-07-09,Cristiano,Off to bed before a big game tomorrow.,85,288
2010-07-09,Cristiano,Real Madrid 2 - Atlético Madrid 0,152,878
2010-07-12,Cristiano,I got to eat one of my favorites- cavala com milho de vilhão. It was delicious.... http://say.ly/xRV5qC,54,136
2010-07-12,Cristiano,"Nice to meet you too. @loveis86 @Cristiano hi,ronaldo. I'm your fan. Nice to meet you",34,99
2010-07-12,Cristiano,it changed during the years. me+ family can only ask 4 health & joy @peloteros1 what have u always wanted that u got once u signed contract?,41,97
2010-07-12,Cristiano,"@Ochocinco Parabéns pelo noivado. Gostaria de receber como presente, lições sobre como falar Português ?",50,137
2010-07-13,Cristiano,"New campaign for Madeira, Portugal!  It's always feels good to support my homeland. http://www​.visitmade​ira.pt/ http://twitpic.com/24z9vb",174,421
2010-07-15,Cristiano,@OMGItsMajoSoler Olá!  Thanks for the support.,27,69
2010-07-16,Cristiano,"If you think you're already perfect, then you never will be... http://www.youtube.com/watch?v=sb1qMu_5CzA",250,836
2010-07-16,Cristiano,@OhMyCristiano thanks for all your support!,41,116
2010-07-16,Cristiano,Ya empezo la pretemporada. Estoy cierto que va a ser un gran ano! http://twitpic.com/26e62m,293,577
2010-07-19,Cristiano,Ready to go back to work! Thought I'd share a photo from my recent vacation. http://twitpic.com/26v1kp,616,981
2010-07-20,Cristiano,The team is back in training under our new coach.  Looking forward to joining them in just a few days. http://twitpic.com/272u7x,101,223
2010-07-23,Cristiano,Olá!  I wanted to share some of my hobbies with you.  What are yours?... http://say.ly/TJS2Pn,123,302
2010-07-23,Cristiano,@SupportRonaldo thanks for the support!,38,121
2010-07-27,Cristiano,Check out my Nike Speed Test...... http://say.ly/fEM2RE,111,298
2010-07-27,Cristiano,@TheEdenJonas @solrodriguezz @ isabelx3jb Thanks for the support.  Looking forward to a great season.,20,67
2010-07-29,Cristiano,Yesterday was my first day back training.  Just landed in Los Angeles to take on Club America and the Galaxy.  Great... http://say.ly/cqB2UV,89,318
2010-07-29,Cristiano,@Sanm015 Still online!  Thanks for follow.,16,56
2010-07-29,Cristiano,@WeLoveCRonaldo @vbgirlie @FarahZekria @OhMyCristiano @SunnyRonaldo thanks for the support!,62,84
