Date,author,content,number_of_likes,number_of_shares,sentiment_score,heuristic_score
2015-01-06,KimKardashian,Love this inside shot from @VogueBrasil. We shot this in Malibu 📷 @EllenVonUnwerth http://t.co/YaDMCZwI7X,6326,1700,0.6369,0.6369
2015-01-06,KimKardashian,Wet @VogueBrasil http://t.co/wItmCldhuY,7171,2185,0.0,0.0
2015-01-06,KimKardashian,I remember Kanye came to watch that shoot ! ❤️,6128,1043,-0.4003,-0.4003
2015-01-06,KimKardashian,I did a shoot yesterday w make up artist Jeanine Lobell &amp; remembered this shoot we did for Glamour about 5 years ago! http://t.co/8vcUlJfvYA,5907,1225,-0.1759,-0.1759
2015-01-06,KimKardashian,Keeping Up With The Kardashians Season 10 finale starts now!!! Tune in!,3242,709,0.0,0.0
2015-01-06,KimKardashian,"East coast, tune into E! now to catch our mid-season finale! #KUWTK",2281,451,0.0,0.0
2015-01-06,KimKardashian,How embarrassing right!!!!!!! I literally almost died!  https://t.co/KfBL52tDo9,3269,506,-0.795,-0.795
2015-01-06,KimKardashian,Love this episode!!! This trip was so much fun! Except at the car accident at the end!,4816,854,0.7812,0.7812
2015-01-06,KimKardashian,Seriously I'm so lucky to have a friend like @psychicmediumje he gives the best advice and the truth!!! No matter what! Had to call him up!,3739,495,0.9282,0.9282
2015-01-06,KimKardashian,I honestly couldn't believe we had car cams on when that happened!!!!! How scary was that seriously!!!!!!!!! I always wear my seat belt now!,9658,1618,-0.3331,-0.3331
2015-01-06,KimKardashian,I don't even know why I started crying after! Just so happy everyone is ok! Scariest experience of my life!,8596,1372,0.6925,0.6925
2015-01-06,KimKardashian,The crash was so scary &amp; the way it was edited doesn't even do it justice! I keep North out of the show so we had to cut around that footage,9448,1547,-0.6352,-0.6352
2015-01-06,KimKardashian,But as a mother this as the scariest things that could have happened w your child in the car. Khloe handled it so well!,10864,1652,0.5999,0.5999
2015-01-06,KimKardashian,If u only saw Northie's reaction! As a mom I got protective and left that scary moment out of the episode for her privacy,14637,2296,-0.5411,-0.5411
2015-01-06,KimKardashian,"Catch the mid-season finale, west coast! #KUWTK",4588,689,0.0,0.0
2015-01-06,KimKardashian,Glamour July 2015 Cover 📷 Patrick Demarchelier http://t.co/Y9F9Gub8fF,5328,1155,0.5267,0.5267
2015-01-06,KimKardashian,@KimKanyeKimyeFC,718,113,0.0,0.0
2015-01-06,KimKardashian,Glamour-Alex Morris captured my personality so well! 📷 Patrick Demarchelier. Hair by Oribe &amp; Make up James Kaliardos http://t.co/dZXLZdfRw4,7222,1319,0.4648,0.4648
2015-01-06,KimKardashian,"Caitlyn Jenner for Vanity Fair 📷 Annie Leibovitz! How beautiful! Be happy, be proud, live life YOUR way! http://t.co/39fryBwUqE",58611,27954,0.9182,0.9182
2015-01-06,KimKardashian,Everyone please follow @Caitlyn_Jenner on twitter! xoxo,23558,6640,0.7644,0.7644
2015-01-06,KimKardashian,Heading to @CFDA awards! Wearing the sickest custom dress from @proenzaschouler !!!!!,2941,447,0.6331,0.6331
2015-01-07,KimKardashian,San Fran Glam @robscheppy @jenatkinhair http://t.co/tu6cZbShcf,8653,1849,0.0,0.0
2015-01-07,KimKardashian,✌🏼 http://t.co/pkecPJ6Zg6,16051,4760,0.4939,0.4939
2015-01-07,KimKardashian,😘 http://t.co/ThEnxJhFz4,16553,4457,0.4215,0.4215
2015-01-07,KimKardashian,Cover of Rolling Stone!!!! 🔥💥 📷 @TerryRichardson 💄 @makeupbymario 💆🏽 @mrchrismcmillan 👗@carlynecerfdedudzeele http://t.co/VXsBAXmokz,7646,2245,0.0,0.0
2015-01-07,KimKardashian,💯 @RollingStone http://t.co/MIqumSLRJ9,11304,3465,0.0,0.0
2015-01-08,KimKardashian,Last pic of my baller baby! She's doing so good I'm just so proud! ⚽️⚽️⚽️ http://t.co/HLYQehkoVl,29348,7361,0.8525,0.8525
2015-01-08,KimKardashian,Happy Birthday @riccardotisci17 Missing you on your Bday!  LOVE YOU SO MUCH!!!!! http://t.co/o5UXHF1hx5,6151,994,0.8625,0.8625
2015-01-08,KimKardashian,Shot a make up tutorial today w @makeupbymario for http://t.co/M0m4mjqwvP #Contour #Lips #BlueSmokeyEye #DarkLip http://t.co/Pi7u9hloXm,9541,2457,0.0,0.0
2015-01-09,KimKardashian,Teamed up w/ @AlexanderWangNY for a AW x @DoSomething capsule all sales support youth activism &amp; volunteering #WANG10 http://t.co/b4aTG9Z9VP,8110,2200,0.4019,0.4019
2015-01-09,KimKardashian,Kanye x Alexander Wang x Steven Klein x Do Something http://t.co/PnvFv8gm5H,6985,2872,0.0,0.0
2015-01-09,KimKardashian,Loved this Idea for the September covers of @interviewmag face timing with @Mertalas #interviewgang http://t.co/PPPLfFubxr,2239,590,0.5994,0.5994
2015-01-09,KimKardashian,September Selfie Cover of @interviewmag #InterviewGang http://t.co/ASw0p0jkrH,4991,1178,0.0,0.0
2015-01-09,KimKardashian,The awkward moment when Kourtney walks into her room &amp; I'm in her bed taking selfies... @InterviewMag http://t.co/xvpgb2M5Aa,6779,1587,-0.1531,-0.1531
2015-01-09,KimKardashian,but little does she know I'm doing a photo shoot for @InterviewMag face timing with one of my fave photographers @mertalas #InterviewGang,2935,619,0.1901,0.1901
2015-01-09,KimKardashian,Kissey face for @interviewmag #InterviewGang http://t.co/kx4cTKo907,6831,1676,0.0,0.0
2015-01-09,KimKardashian,September issue of @interviewmag face timing with @mertalas #InterviewGang http://t.co/aNUn2yxp1j,7555,2292,0.0,0.0
2015-01-10,KimKardashian,@jemalone122 so sweet thank you so much for this!!!,207,75,0.7874,0.7874
2015-01-10,KimKardashian,"Since Khloe stole my cooking with the k's live stream, log on now because I'm cooking with Caitlyn!",4569,618,0.0,0.0
2015-01-10,KimKardashian,Who saw @TheEllenShow today?Well this is right before I went on...Northie &amp; Ellen brushing My Little Pony's hair lol http://t.co/2DoYOXV1sy,20758,4843,0.3687,0.3687
2015-01-10,KimKardashian,Happy Birthday @MakeupByMario  Love you so much!!!! http://t.co/ojtDaTAQ11 http://t.co/gHhTqZ5XbS,4575,786,0.877,0.877
2015-01-10,KimKardashian,@MyleezaKardash OMG literally just was texting Olivier wait til the bounce back happens!!!!,400,121,0.0,0.0
2015-01-10,KimKardashian,MIDNIGHT SECRET MAKE UP SESSIONS BTS @patmcgrathreal #Gold001 https://t.co/CvsbgdhjOQ https://t.co/Ax7QqsBjQH,2010,469,0.0,0.0
2015-01-10,KimKardashian,CITY SLICKER http://t.co/gxzMhklXDJ http://t.co/ZHVC9YJoQb,4114,986,0.2808,0.2808
2015-01-11,KimKardashian,Still fits... https://t.co/l7N7NjCeyP,12375,2713,0.0,0.0
2015-01-11,KimKardashian,I think I nailed the Kim K costume! 🕸👻🕷 https://t.co/ENv3tXp9GM,23295,6624,0.0,0.0
2015-01-11,KimKardashian,The @DashDolls go camping in tonight's episode! Don't miss it! 9/8c on E! right after the KUWTK rewind special!! https://t.co/58OiPCAdO8,2990,749,0.6499,0.6499
2015-01-11,KimKardashian,@Aussie_Kardash hi doll! #bff,205,67,0.0,0.0
2015-01-11,KimKardashian,@LisJeffferson lol! Very!!!! 😜,201,51,0.6083,0.6083
2015-01-12,KimKardashian,Sneak peek of my desert shoot. All of the pics will be up on my app tomorrow and https://t.co/M0m4mjqwvP https://t.co/7BuaAgZ6ng,6274,1153,-0.34,-0.34
2015-01-12,KimKardashian,📷 @keslertran pics on my app tomorrow @makeupbymario @mrchrismcmillan #FinallyReleasingThisDesertShoot https://t.co/CmOMIMZigo,6649,1535,0.0,0.0
2015-01-12,KimKardashian,Who’s coming to the Art Basel Skott Marsi event @ DASH Miami?! 12/3 from 6-9pm!! XOXO https://t.co/SOSRd6wQwt,1661,397,0.7656,0.7656
2015-01-12,KimKardashian,CUT CREASE EYE https://t.co/AUS0e5yFNg https://t.co/HbxYJ5OIFQ,2389,538,-0.4278,-0.4278
2015-01-12,KimKardashian,BODY PAINT X DESERT https://t.co/gGZRbKmScg https://t.co/qDc8aX27QH,5409,1365,0.0,0.0
2015-01-12,KimKardashian,Love this moment! When I met up with @MyleezaKardash in New Orleans! https://t.co/8jROEI001S,1652,316,0.6988,0.6988
2015-01-12,KimKardashian,My Baby is TURNT! https://t.co/Xie5aDZZsF https://t.co/vi1R2c3EcJ,8064,2151,0.0,0.0
2015-02-06,KimKardashian,Heading to the @CFDA's tonight #ProenzaSchouler http://t.co/8XmcHnVaHH,4026,772,0.0,0.0
2015-02-06,KimKardashian,Thank you for this amazing dress!!!! Designed by Jack &amp; Lazaro @proenzaschouler Styled by Jenke Ahmed TAILLY http://t.co/m8fBIvMRwe,4194,734,0.8469,0.8469
2015-02-06,KimKardashian,Date night! http://t.co/AQmcsJQLTr,9004,2006,0.0,0.0
2015-02-06,KimKardashian,So proud of you @kevin for winning the Media Award last night at the @cfda's. It was an honor to present it to you! http://t.co/7OnHydJBdY,3403,582,0.9298,0.9298
2015-02-06,KimKardashian,S/o to Pharrell &amp; Helen! After the awards the feathers of my dress caught on fire &amp; they jumped on me to get it out 🔥 http://t.co/nLyXXqXfal,11481,2714,-0.2714,-0.2714
2015-02-06,KimKardashian,So fucking sick today on all levels!!!!! UGHHHHHHHHH I can't deal!!!!!!!!!! Praying I get through the day!,16644,4870,-0.7992,-0.7992
2015-02-06,KimKardashian,Can't wait til my website is active! I'm gonna do live video streaming so every time someone talks shit I can go blast the fuck outta them,77616,36066,-0.69,-0.69
2015-02-06,KimKardashian,Pregnant KiKi does not play!!!! *BLOOP!*,28454,11243,0.0,0.0
2015-02-06,KimKardashian,@MyleezaKardash I swear I said it because I saw you tweet it! LOL,1853,237,0.561,0.561
2015-02-06,KimKardashian,I just mean rumors or lies. People make up so much even people close who u think are legit. Truth time  https://t.co/5n9cMhEL8W,5108,1187,-0.128,-0.128
2015-02-06,KimKardashian,Please! This is the type of stuff I will address. If I got a surrogate I would say I did! Thankfully I didn't have 2 https://t.co/Nts8xe1TWd,7074,2002,0.6892,0.6892
2015-02-06,KimKardashian,Trust me I won't give lames the time of day!Don't have that much free time now! Still have about 30 businesses 2run😜 https://t.co/XYxSdmmOc4,7859,2426,0.8431,0.8431
2015-02-06,KimKardashian,Hahahaha Twitter just contacted me to see if I've been hacked LOL #JustPregnantKeeks,32899,8078,0.2103,0.2103
2015-02-06,KimKardashian,Thank you Nashville for all of the love! And @HypeEnergyUSA for bringing me out here! http://t.co/GTghMkJkQm,7445,1771,0.8065,0.8065
2015-02-07,KimKardashian,Make up &amp; Hair tutorial shot today for http://t.co/M0m4mjI7Up Coming soon! Make Up @styledbyHrush Hair @jenatkinhair http://t.co/DpEFP6aQbe,6468,1523,0.0,0.0
2015-02-07,KimKardashian,http://t.co/qgLfuRNdWu COMING SOON http://t.co/vCBy8jY2fZ,5117,1449,0.0,0.0
2015-02-07,KimKardashian,Loved speaking at Commonwealth Club Innovation Lab @inforumsf in San Francisco the other day w Judge LaDoris Cordell http://t.co/fviNhzx4bk,2883,598,0.7579,0.7579
2015-02-07,KimKardashian,Airplane bathroom selfie ✈️🚽📷 http://t.co/WVyHv1FpEG,18804,4569,0.0,0.0
2015-02-09,KimKardashian,Thank you Yolanda Perez of @yolancris for making 4 dresses for my sisters in record time. They looked really amazing! http://t.co/j1BjOPkn0j,8597,1431,0.7836,0.7836
2015-02-09,KimKardashian,45 million Instagram followers!!!!! I love you guys!!!!! http://t.co/QhilUVzDlp,18259,3101,0.7482,0.7482
2015-02-09,KimKardashian,Besitos everyone!!!!! #45mil http://t.co/aRHtiLV8Yr,13754,3209,0.0,0.0
2015-02-10,KimKardashian,BOOTS!!! https://t.co/Kc2xlo24he http://t.co/xrBWiFjVga,2542,678,0.0,0.0
2015-02-10,KimKardashian,So excited to introduce this new beauty into our tanning line #KardashianGlow #PlatinumBronzer http://t.co/TUjZ9iR9P5,2845,616,0.7574,0.7574
2015-02-10,KimKardashian,GRANNY PANTIES http://t.co/Pj9bDk1NuN http://t.co/gRYjfN1YZ8,5659,1420,0.0,0.0
