Date,author,content,number_of_likes,number_of_shares
2015-01-05,TheEllenShow,Happy #ThrowbackThursday #TBT http://t.co/L7woE1qip9,5191,998
2015-01-05,TheEllenShow,I don’t know why everyone’s so upset about this #HowOldRobot. It’s clearly a genius. http://t.co/ceBbUxWPV9 http://t.co/ExMT4Niv0k,7096,1619
2015-01-05,TheEllenShow,What did the edamame say to the lentil? How have you bean? #ClassicJokeFriday,3168,1181
2015-01-05,TheEllenShow,"HappyBDay @TheTimMcGraw! Didya hear the country song that got played backward? He got his wife back, he got his dog back… #ClassicJokeFriday",2472,444
2015-01-05,TheEllenShow,"These two are incredible. @ArianaGrande, I love you for doing this.
https://t.co/ICJD1YmpB7",11011,6120
2015-01-05,TheEllenShow,"Jess &amp; Matt have a beautiful life. Their home should be beautiful, too. I can’t think of people who deserve it more. http://t.co/SNrHJdx4Jy",1529,372
2015-01-05,TheEllenShow,I dared Jack Black to ride a mechanical bull to raise money for charity. Go ahead. Pretend you’re not gonna watch. http://t.co/NCsOhR2ANI,2827,664
2015-01-06,TheEllenShow,My hope for the world is that we can all be as brave as @Caitlyn_Jenner. http://t.co/WlJmAjv4iv,48847,24230
2015-01-06,TheEllenShow,Happy BDay @AmySchumer @HeidiKlum&amp; @Alanis! With social media I know everyone’s BDay but I write a message instead of call. Isn't it ironic?,2514,301
2015-01-06,TheEllenShow,".@KimKardashian is pregnant! North West is going to be a big sister! Congratulations to you, Kanye, and your ever-growing compass.",23469,9358
2015-01-06,TheEllenShow,Calling all Heads Up virtuosos. Come audition to be a contestant on my game show! http://t.co/51hINKySXB,1343,245
2015-01-06,TheEllenShow,"I’m sending love to @Dev_Still71 and Leah. I hope you will, too.",3339,904
2015-01-06,TheEllenShow,Sometimes vacations don’t go the way we planned. Tell me your best #VacationNightmare and you could win this week’s hashtag contest!,2188,402
2015-01-07,TheEllenShow,We're going to the finals! #USWNT #USAvGER,11489,3057
2015-01-07,TheEllenShow,"Happy birthday, @MissyElliott! In your own wise words, “izyer fremedipin flanyacoma.”",4330,1820
2015-01-07,TheEllenShow,I can't wait for you to feel the fabric. I know you're a material girl.  https://t.co/8q18hgBmE8,2962,505
2015-01-07,TheEllenShow,It’s National #CanadaDay! I can’t believe how few people in the US know it. As if I dressed up as a Mountie for no reason.,5414,1531
2015-01-07,TheEllenShow,Happy #YoureWelcomeWednesday http://t.co/SuGRGLAdV0,9231,3362
2015-01-07,TheEllenShow,#MagicMikeXXL opens today! Don’t miss #MagicNickTheGardener #MagictWitch http://t.co/Wdnh627f50,4234,886
2015-01-07,TheEllenShow,Watch my cousins @CarrinoAnthony &amp; @ColaneriJohn of @CousinsTV new show #AMDK today at 8pET @hgtv (I’m sure we’re related somehow),1017,151
2015-01-07,TheEllenShow,"This story could have a happy ending, with our help. Sending love to #CharlotteandGwenyth http://t.co/SXuLvigfeR",1328,334
2015-01-07,TheEllenShow,So that’s how it works. http://t.co/zuxHufpejk,15231,5083
2015-01-09,TheEllenShow,1 week from today! Premiere Week kicks off in L.A. &amp; then we finish it out in the Big Apple thanks to #VisaCheckout! http://t.co/xtaE6CsEzv,6338,971
2015-01-09,TheEllenShow,"I’m so sorry. That was supposed to say, I can’t wait to see your new movie, “Grandma.”",4301,475
2015-01-09,TheEllenShow,"Happy birthday @LilyTomlin! I can’t wait to see your new movie, Grandma.",3338,424
2015-01-09,TheEllenShow,"Some people prefer suntan lotion, but whatever gets the job done. http://t.co/VHXXIamZw7",6901,1986
2015-01-09,TheEllenShow,Cute ponytail. Cute mustache. http://t.co/BUM2HPPt38,6087,1042
2015-01-09,TheEllenShow,They don't call you Saints for nothing. https://t.co/xwnEMpbqFJ,1483,379
2015-01-09,TheEllenShow,Happy #ThrowbackThursday! http://t.co/lv7LRJdNkh,5942,1482
2015-01-09,TheEllenShow,I can’t imagine what the families of UCC are going through. The world is rising up to hold you in the light. I hope you can feel our love.,8203,3302
2015-01-09,TheEllenShow,One of my favorite stories ever. http://t.co/aWZZN0Ji3k,1462,424
2015-01-09,TheEllenShow,He did it! He won the marathon! Congrats @EdGlavin on completing the #TCSNYCMarathon. Incredible. Now run back to LA. We got a show tomorrow,2121,270
2015-01-12,TheEllenShow,Happy #MeMeMonday https://t.co/7zYVEjLYvD,1895,318
2015-01-12,TheEllenShow,They’re gonna need a big truck for today’s giveaways. Check out Day 5 of #Ellens12Days!  https://t.co/1MEv6f2rmp,1965,393
2015-01-12,TheEllenShow,"Did you see what my audience won today? I saved one of everything for someone on Twitter! https://t.co/2kFgIp44rr
https://t.co/Rszqno0eWe",6520,1438
2015-01-12,TheEllenShow,Amazon Prime Air will now deliver packages in 30 minutes using drones. 30 minutes?! Way too slow. They should look into using cannons.,5195,1182
2015-01-12,TheEllenShow,There’s a new Star Wars deck in Heads Up! May the Force be with you. https://t.co/DghgP4rqvB,1809,279
2015-01-12,TheEllenShow,Happy #GivingTuesday! Here are some of my all-time favorite moments of giving back. There’s nothing better. https://t.co/M1eTlgHg6D,2121,423
2015-01-12,TheEllenShow,Finger painting is exhausting. https://t.co/QBVwbTMDbs,9184,2038
2015-02-04,TheEllenShow,Thank you University of Mississippi @OleMissRebels for agreeing to stop using animals in medical training. The animals &amp; I are very grateful,5787,1531
2015-02-04,TheEllenShow,"AK Governor Asa Hutchinson rejected the Religious Freedom Act to assure it won't discriminate. Asa, you just made a lot of fans. I’m 1 of em",4104,1018
2015-02-04,TheEllenShow,"You’re wonderful, both conscious and unconscious RT @tonygoldwyn: Don't miss my power nap today on @TheEllenShow and - oh yeah - @VanHalen!!",1583,303
2015-02-04,TheEllenShow,.@VanHalen can still JUMP! This was incredible. #VanHellen http://t.co/5BkjBJjQOR,1831,574
2015-02-04,TheEllenShow,We can stop elephant and rhino poachers by using drones. This is a brilliant idea. Check out http://t.co/q7lD5eT0tS,2939,1133
2015-02-05,TheEllenShow,Why did the fern get excused from the jury? They found out he was a plant.  #ClassicJokeFriday,3387,1086
2015-02-05,TheEllenShow,"It's a princess! Welcome to the world, Princess Winnifred Fergully Ellen of the Shire. That's just a suggestion. #RoyalBaby",16383,5600
2015-02-05,TheEllenShow,"Happy birthday, David Beckham! I hope you commemorate the event with a new tattoo of your favorite daytime talk show host.",8208,1993
2015-02-05,TheEllenShow,"Happy birthday, Ellie Kemper! Did you know you have the same birthday as David Beckham? I can’t imagine a better birthday gift than that.",4071,631
2015-02-06,TheEllenShow,.@IggyAzalea and @NickSwagyPYoung are engaged! Congratulations to you both. Now shopping for monogrammed towels for the Azalea-Ps.,3191,741
2015-02-06,TheEllenShow,"You might be on summer vacation, but my show's all new this week! And it’s all new next week, too. It’s the best summer ever. 🎉",3737,551
2015-02-06,TheEllenShow,OMG these are hilarious. Thanks for contributing to my #VacationNightmares contest! http://t.co/TcguhWYtBz,1339,236
2015-02-06,TheEllenShow,"Congrats, @becolibe and @meganyousmile! You may have had terrible #VacationNightmares, but you won my contest, so clearly it was worth it.",1259,178
2015-02-06,TheEllenShow,I love the videos y’all have been sending in to @ellentube. Keep ‘em coming! http://t.co/YTowlXUhaU,1441,288
2015-02-06,TheEllenShow,"If you love lions as much as I do, I hope you’ll support this movie. #BloodLions http://t.co/GIeUrLPmHS",2118,683
2015-02-06,TheEllenShow,My Watch and Win this week is $25k! Don’t thank me. Thank @MattressFirm. #LaughDancePartner http://t.co/8TnWsCgC7I,1185,210
2015-02-06,TheEllenShow,Have ya checked out http://t.co/FHnZxiTVZf yet? Do it now! That conference call can wait 5 minutes. They’re probably not all on yet anyway.,1315,252
2015-02-06,TheEllenShow,Happy #ThrowbackThursday #TBT http://t.co/TP9k948QTa,14154,3251
2015-02-09,TheEllenShow,I love @StJude. That’s why I’m helping them raise awareness for pediatric cancer. #ShowYourGold #JustKeepDancing http://t.co/kPJt98yarn,7340,2250
2015-02-09,TheEllenShow,6 days to Season 13! Premiere Week starts in LA &amp; ends in NYC! I’m so excited. I haven’t been bicoastal since college http://t.co/wHNwaexHyL,3692,705
2015-02-09,TheEllenShow,"Happy birthday to my brother, Vance. I feel like I’ve known you my whole life. http://t.co/omGjw9Luv0",10492,992
2015-02-09,TheEllenShow,I can’t wait to meet this incredible young woman. Premiere Week starts in 6 days! #MalalaOnEllen http://t.co/bQGRG3Y7P8,2683,557
2015-02-09,TheEllenShow,Happy #YoureWelcomeWednesday http://t.co/4U8raYOUGo,4595,882
2015-02-10,TheEllenShow,"Glad to have a partner like @ULTA_Beauty who gives back the way I do - with dignity, respect &amp; head stockings. #BCAM http://t.co/P3QzORXlTK",1461,229
2015-02-10,TheEllenShow,"Girls can grow up to be anything they want. Just look at my friend, UFC fighter @RondaRousey.  http://t.co/0d6DVejYCW",5270,2042
2015-02-10,TheEllenShow,"Veronica was caught playing hooky in my audience, so I had to school her myself. http://t.co/uWqXLp2phE",1353,253
2015-02-11,TheEllenShow,Are you ready for some football?! My app @HeadsUp kicked off a football deck. Sunday night just got a lot funner. https://t.co/FydUszPsx5,1152,189
2015-02-11,TheEllenShow,".@DrewBrees just tied the most touchdown passes in a football game. Ever. In the history of the game. You are amazing, my friend.",4309,896
2015-02-11,TheEllenShow,My strippers predicted the World Series winners! How many strippers would I need to predict the Powerball numbers? https://t.co/64FJTJj3XR,5791,948
2015-02-11,TheEllenShow,.@DavidSpade + @GDeLaurentiis + Me = Watch This. https://t.co/XSlEeGnywo,1051,177
2015-02-11,TheEllenShow,Tayt was back with his new heart &amp; stole mine all over again. Thank you @Ford for this surprise. #LaughDancePartner https://t.co/zzmYEjFCqR,2279,532
2015-02-11,TheEllenShow,"It’s time for another round of Me Me Monday, or as @JustinBieber calls it, “What Do You Meme?”
https://t.co/TCIYI5Xz0W",4054,1539
2015-02-12,TheEllenShow,.@Sia performed “Alive” on my show. I’m wigging out. https://t.co/aab1pmOQUK,2691,499
2015-02-12,TheEllenShow,"Check out all the gifts from Day 6 of #Ellens12Days! I woulda gotten geese, but they were too busy a-laying. https://t.co/1MEv6f2rmp",1761,318
2015-02-12,TheEllenShow,"Happy birthday, @BritneySpears! You’re Thritney-Four!",3798,1042
2015-02-12,TheEllenShow,"Surprise! It’s Day 6 of #Ellens12Days! Enter to win today’s gifts right here. https://t.co/lHUAzuyYwb
https://t.co/0hnftAyrTQ",3181,616
2015-02-12,TheEllenShow,The holidays can really sneak up on you. https://t.co/SbxuCHQ660,12519,3641
2015-02-12,TheEllenShow,Get the new Star Wars deck in Heads Up! Do or do not. There is no try. https://t.co/FydUszPsx5,1460,232
2015-03-04,TheEllenShow,Happy #ThrowbackThursday #TBT #VanHellen http://t.co/toFYi7nvgM,5633,1219
2015-03-04,TheEllenShow,My spring line is about to air for the last time on @QVC! Spring to your TV right now! http://t.co/EdmYKI8v9j,1697,309
2015-03-04,TheEllenShow,Happy #GoodFriday! What better day could there be to check out my Good Things Tumblr page? Have a great good day!  http://t.co/uf3iSpXiEg,1900,372
2015-03-04,TheEllenShow,Why did the watch go on vacation? He needed to unwind. #ClassicJokeFriday,3938,1436
2015-03-04,TheEllenShow,Sometimes when I sing “Since U Been Gone” in the bathroom it feels like @Kelly_Clarkson is with me. Sometimes she is http://t.co/MDx7fpKqwZ,3427,800
2015-03-04,TheEllenShow,"I think Manuela, the ""Price is Right"" model, would be much better suited to work on my show. http://t.co/ZHoCZxDOdy",2936,579
2015-03-04,TheEllenShow,Why was the farmer covered in baby chickens? He was a chick magnet. #ClassicJokeFriday,4676,1876
2015-03-04,TheEllenShow,"Passover begins tonight! לעבור את המצות ! I think I just said “pass the matzoh’. If not, I am so sorry.",5128,1489
2015-03-06,TheEllenShow,The hilarious @SarahKSilverman was on my show for the very first time. http://t.co/x8vf4RZdlL,1509,271
2015-03-06,TheEllenShow,Stop what you're doing and listen to this kid. http://t.co/V8C7fac4gg,2184,712
2015-03-06,TheEllenShow,Why is @Meghan_Trainor great at playing shortstop? She’s all about that base. #ClassicJokeFriday,5069,1417
2015-03-06,TheEllenShow,Time for a cat nap. Happy #CatPhotoFriday http://t.co/JdxUpmzyCk,11324,2759
2015-03-06,TheEllenShow,"Happy birthday, @MarthaStewart! I made you an apron using only leftover bakery string, a paper plate and a gourd from my garden.",3094,490
2015-03-06,TheEllenShow,The bags have eyes. http://t.co/1cj9iNL8gp,7084,1519
2015-03-06,TheEllenShow,Having a great summer vacation. Picked up a robot hitchhiker near Philly. He wanted to ride on the roof. Then I never saw him again. Crazy.,4700,811
2015-03-06,TheEllenShow,It's #NationalWatermelonDay! I hope you enjoy a delicious watermelon today the way nature intended it- with a bottle of vodka stuck in it.,7186,2669
2015-03-09,TheEllenShow,5 more days! 5 more days! Season 13 is almost here. #EllenInNYC http://t.co/1x9RTOLKKI,3348,577
2015-03-09,TheEllenShow,"If this isn’t on his Tinder profile, he has seriously missed an opportunity. http://t.co/wrJOkvnEW4",11754,2197
2015-03-09,TheEllenShow,Happy #ThrowbackThursday! #TBT http://t.co/AucyFIIxNY,16780,5493
2015-03-10,TheEllenShow,"Happy birthday, @GwenStefani! I hope I get to see you soon. Just tell me where and Gwen.",6215,1260
2015-03-10,TheEllenShow,Be stylish. Be supportive. #BCAM http://t.co/yoS8vKA2HD,1578,277
2015-03-11,TheEllenShow,".@iHeartMemphis just hit the quan so hard. I’m not sure what that means, but I’m sure he did it. https://t.co/Vj6S5EGsWy",1315,260
2015-03-11,TheEllenShow,Who wants tickets to my @JustinBieber outdoor concert? https://t.co/YZ2gYkB2TX,28579,20252
2015-03-11,TheEllenShow,You used to call @BernieSanders on his cell phone… https://t.co/4dY9icrmv5,2227,1121
2015-03-11,TheEllenShow,Presidential expert Macey went to Mount Rushmore. Plus she got a surprise from Build-A-Bear. #LaughDancePartner https://t.co/I8rPkNcQdi,1366,218
2015-03-11,TheEllenShow,I have no idea how Macey was doing this. https://t.co/sxSQy2cpyN,1648,300
2015-03-11,TheEllenShow,There’s nothing more beautiful than the love of a little brother. https://t.co/rbsSheoIqJ,8202,2063
2015-03-11,TheEllenShow,5-year-old Macey Hensley is a ventriloquist? https://t.co/uuJEmtg4Gp,5446,1356
2015-03-12,TheEllenShow,Happy #YoureWelcomeWednesday! https://t.co/Exi0oLXD5Y,1645,217
2015-03-12,TheEllenShow,Congratulations @LewisKentMiler on breaking your own world record for the Beer Mile! 4:47! Your parents must be so proud.,2401,337
2015-03-12,TheEllenShow,".@AnnaKFaris didn’t know how to humbly ask you to vote for her for the People’s Choice Awards, so I made this. https://t.co/7pxUs2ICnu",2646,438
2015-03-12,TheEllenShow,It’s Day 7 of #Ellens12Days and the gifts keep coming. As soon as I fix this leak. https://t.co/1MEv6f2rmp,2573,400
2015-03-12,TheEllenShow,"Quick question - would any of you like to win all of today’s giveaways? Just curious. https://t.co/cssPhUUULS
https://t.co/nwHqHSxRpc",4227,771
2015-03-12,TheEllenShow,".@SofiaVergara told me about her wedding. More accurately, she yelled at me about it. https://t.co/je6DLnzmxC",2692,393
2015-03-12,TheEllenShow,"Happy birthday, @_JulianneMoore! Sending love to you and your brother, Shemar.",2621,348
2015-03-12,TheEllenShow,This is her fight song.  https://t.co/EFXSDA8CP9,3015,1024
2015-03-12,TheEllenShow,"Congratulations, @Coldplay! I’ll see you at the Super Bowl! But first, I’ll see you on my show tomorrow.",4345,829
2015-03-12,TheEllenShow,Happy #ThrowbackThursday #TBT https://t.co/p9EaFrvnWr,7320,1358
2015-03-12,TheEllenShow,#TheWiz is on NBC tonight! This should be good. Nobody beats The Wiz.,3391,665
2015-04-03,TheEllenShow,What’s the Easter Bunny’s favorite restaurant? IHOP #ClassicJokeFriday,6065,2932
2015-04-03,TheEllenShow,"Happy birthday, @RobertDowneyJr! What do you give someone with an under-active thyroid, man?  Iron, man.",7259,2529
2015-04-03,TheEllenShow,The Diana Basehart Foundation provides medical care for pets in homes that need financial help. Incredible. http://t.co/A2EFyYDGXG,2105,621
2015-04-03,TheEllenShow,"I can’t look right at it, it’s so beautiful. RT @vanderjames: Thanks @TheEllenShow for this astounding minivan art. http://t.co/SjvfKZ0ra4",2955,463
