Date,author,content,number_of_likes,number_of_shares
2012-01-11 23:52:00,britneyspears,Here we go people... headed to the stage for round 2. Are y'all watching tonight? So excited!,675,1133
2012-02-11 02:14:00,britneyspears,Such a tough decision tonight... one of the toughest I've ever had to make. http://t.co/hxOb8PGx,2719,2327
2012-02-11 02:19:00,britneyspears,@Diamondkwhite Keep your head up sweetie. U are so talented &amp; I know this isn't the last time we'll see you. Follow your dream! Xo,582,1168
2012-02-11 02:53:00,britneyspears,So impressed by the contestants this week. Especially my teens :) Stars are really starting to shine... bring on nxt week!,770,1388
2012-03-11 22:16:00,britneyspears,Just as excited as u are #BritneyArmy. @iamwill &amp; I are making this hot hot hot...,961,2285
2012-03-12 02:27:00,britneyspears,@InBritneyZone thank you sweetie &lt;3,61,101
2012-03-12 02:28:00,britneyspears,@msfan67 thank u - it's been a good one :),57,90
2012-03-12 02:29:00,britneyspears,@LA_Reid thank you LA! :),171,272
2012-03-12 02:29:00,britneyspears,@luanaanton thanks for the sweet birthday wishes! xxoo,62,91
2012-03-12 02:29:00,britneyspears,@BryceLee24 thank you bryce!!  xxoo,76,101
2012-03-12 02:30:00,britneyspears,@jamielynnspears thanks sis :) love ya!!,378,529
2012-03-12 02:31:00,britneyspears,@hannahspears awww I loved it!  You're the sweetest little girl ever! &lt;3,222,416
2012-03-12 02:32:00,britneyspears,@Diamondkwhite Awww thank you so much sweetie!  See u tomorrow!,238,356
2012-03-12 02:33:00,britneyspears,@CarlyRoseMusic Thank you Miss Carly Rose!  You inspire me too :),690,869
2012-03-12 02:34:00,britneyspears,@ddlovato Thanks girl!! Having an amazing birthday :),804,1523
2012-03-12 02:34:00,britneyspears,@KhloeKardashian Thx girl!!!  It's been a good one!,278,401
2012-03-12 02:36:00,britneyspears,Having an absolutely wonderful birthday.  Thanks so much for the sweet wishes - I love you all!!!  xxoo,3251,5792
2012-03-12 20:37:00,britneyspears,You're a day late @SimonCowell. Clearly your senility is to blame. I forgive you :),1296,1752
