Date,author,content,number_of_likes,number_of_shares,sentiment_score,heuristic_score
2016-01-08,cnnbrk,"Taliban claim credit for truck bombing at hotel in Kabul, Afghanistan. https://t.co/CUocQVWaKd https://t.co/XoVauYPKRQ",249,246,0.3818,0.3818
2016-01-08,cnnbrk,"Britain's Metropolitan police commissioner: Risk of UK terror attack is a case of ""when, not if.""
https://t.co/NlYNkZx8Cw",313,292,-0.8225,-0.8225
2016-01-08,cnnbrk,"Boy, 5, dies after being hit by lightning on North Carolina’s Outer Banks, official says. https://t.co/FXryEDfQbK",395,403,0.0,0.0
2016-01-08,cnnbrk,Officials investigating after drug trafficker’s luxury cell discovered in Paraguay prison. https://t.co/4BCDimmAg7 https://t.co/qW2SCK2RFH,541,484,-0.5106,-0.5106
2016-01-08,cnnbrk,"Kidnappers in Brazil release F1 boss Bernie Ecclestone’s mother-in-law after more than a week, officials say.
https://t.co/SJBSRdx0aT",226,189,0.0,0.0
2016-01-08,cnnbrk,"Russian helicopter was shot down in Syria after delivering humanitarian aid, Russia says. https://t.co/t8m90BzS7X",274,340,0.0,0.0
2016-01-08,cnnbrk,Group of families of fallen U.S. service members demand apology from Trump. https://t.co/8HrPIn48OS https://t.co/F8iryyr7OI,2640,1276,-0.4215,-0.4215
2016-01-08,cnnbrk,Texas hot air balloon firm involved in crash that killed 16 has halted service. https://t.co/smNdA6FILR https://t.co/5sKupeslJ1,273,178,-0.802,-0.802
2016-01-09,cnnbrk,"5 people killed when 2 airplanes collide in midair over Alaska, state troopers report https://t.co/4HKJqNbWsD",278,375,-0.7003,-0.7003
2016-01-09,cnnbrk,"Trump: ""Our greatest compassion must be for our American citizens""; crowd chants ""USA"" https://t.co/HAhU3MmiMf https://t.co/4EGZBaETMg",648,204,0.802,0.802
2016-01-09,cnnbrk,"Trump: Mexico will pay for the wall. 100%. They don't know it yet, but they're going to pay https://t.co/HAhU3MmiMf https://t.co/NbX6D4RMOe",605,446,-0.2023,-0.2023
2016-01-09,cnnbrk,Donald Trump says he will create an ICE deportation task force https://t.co/HAhU3MmiMf,402,196,0.2732,0.2732
2016-01-09,cnnbrk,"Hermine will strengthen into hurricane by the time it makes landfall in Florida, National Hurricane Center predicts. https://t.co/gbMzfBMmzu",482,612,0.3182,0.3182
2016-01-09,cnnbrk,Explosion rocks Cape Canaveral facility used by SpaceX to launch rockets https://t.co/n8V2lcRwyU https://t.co/RGWZumQhnr,482,586,0.0,0.0
2016-01-09,cnnbrk,Georgetown University says it will show admissions preference to heirs of slaves it sold https://t.co/0SKPECGWCs https://t.co/j3gl18aWAK,1396,1069,0.0,0.0
2016-01-09,cnnbrk,Satellite commissioned by Facebook exploded with SpaceX rocket in Cape Canaveral incident https://t.co/n8V2lcRwyU https://t.co/2I09YIyyOd,467,497,0.0,0.0
2016-01-09,cnnbrk,"Magnitude 7.1-earthquake strikes about 352 miles northeast of Wellington, New Zealand https://t.co/ARtF45OdmC",406,737,-0.3612,-0.3612
2016-01-09,cnnbrk,"First mosquitoes carrying the Zika virus in continental US identified in Miami Beach, Florida officials say. https://t.co/PI6jhEsok4",338,491,0.0,0.0
2016-01-09,cnnbrk,"Clinton smashes fundraising record, bringing in $143M in August, campaign says. https://t.co/11427q9Zsv",865,390,0.0,0.0
2016-01-09,cnnbrk,Melania Trump files $150M libel lawsuit against The Daily Mail. https://t.co/XoBdsA8f6l,696,407,-0.2263,-0.2263
2016-01-09,cnnbrk,National Hurricane Center issues tropical storm watch for Mid-Atlantic up to New Jersey. https://t.co/3NeejY7lxw https://t.co/SrDUsIW8xk,345,381,0.0,0.0
2016-01-09,cnnbrk,The Daily Mail retracts story hours after Melania Trump files $150M libel lawsuit. https://t.co/XoBdsA8f6l https://t.co/XGMR2loXlU,746,482,-0.2263,-0.2263
2016-01-10,cnnbrk,"Clinton's nasty, Trump tells @NYTimes, but ""I can be nastier than she can ever be."" https://t.co/1dFRNYxRNA",663,348,-0.775,-0.775
2016-01-10,cnnbrk,"Hurricane Matthew now a category 5 storm, @NWS says, the strongest in the Atlantic since 2007.… https://t.co/yvjYEJ6i00",923,1213,0.4404,0.4404
2016-01-10,cnnbrk,"6-year-old wounded in shooting at elementary school in SC this week has died, his mother says. https://t.co/rRZa0cCa79",807,863,-0.5574,-0.5574
2016-01-11,cnnbrk,US Navy sending nuclear missile sub to Guam for first time since late 1980s amid high tensions in region.… https://t.co/ARrhcmANXl,1064,937,-0.4019,-0.4019
2016-01-11,cnnbrk,"At least 3 people were killed when a school bus and a commuter bus crashed in Baltimore, police say. https://t.co/Cg8Uyv12vJ",676,468,-0.6705,-0.6705
2016-01-11,cnnbrk,India and Pakistan report 13 civilians killed in cross-border shelling in disputed Kashmir region… https://t.co/bIAYKlJKyp,203,166,-0.7845,-0.7845
2016-01-12,cnnbrk,"Carrier says it received state incentives to keep more than 1,000 jobs in Indiana, where Mike Pence is governor… https://t.co/kbButIRqwY",698,383,0.3182,0.3182
