Date,author,content,number_of_likes,number_of_shares
2015-01-09,instagram,".@mahlimae’s sculptures are made from earth, but otherworldly
https://t.co/2ogmKxBMLC https://t.co/B5A07R8Ers",2582,639
2015-01-09,instagram,The Week on Instagram | 207 https://t.co/1yWM5IZudm https://t.co/tg5R6wv6ng,2169,533
2015-01-09,instagram,Visiting Day of the Dead with “Las Catrinas” and @chadsantos https://t.co/t6ZJnRxws2 https://t.co/PiGycOtwOQ,2706,883
2015-01-09,instagram,"“These are my favorite days of the year, and I try to convey a part of it in each picture.“ —@chadsantos",2267,606
2015-01-12,instagram,#WeeklyFluff https://t.co/KwzP8hRDzX,2315,391
2015-01-12,instagram,Soothing food preparation rituals with 23-year-old psychologist Nour Al Mejadi https://t.co/RQ5LK5qlRr https://t.co/JgN2nB9dLA,2102,496
2015-01-12,instagram,"“I don’t make food just to take a picture, but I never make food and not take a picture of it.” —Nour Al Mejadi",3461,1001
2015-02-11,instagram,"The science of art with @YosukeUeno
https://t.co/R1UNiyRJto https://t.co/rnDlYHDTKe",2876,848
2015-02-11,instagram,Featured submissions from this weekend’s hashtag project: #WHPspooky https://t.co/7nZdeaKy3C https://t.co/rhS11OfRjt,1932,458
2015-02-12,instagram,The cosmic coincidence that led to the @MileyCyrus + @Jen_Stark #lighter collaboration https://t.co/BIhBvrpoma https://t.co/1VCBoJnMNm,2570,549
2015-02-12,instagram,The top hashtag of 2015? #love reigns supreme: https://t.co/hEpvyxvc7E https://t.co/GNsZVUvavg,2520,541
2015-03-11,instagram,#WeeklyFluff https://t.co/gZws2z5cWt,2010,423
2015-03-11,instagram,Scanning the next best sandwich with @scanwiches https://t.co/GugEhQAmvb #nationalsandwichday https://t.co/wfIlbBTkH8,2982,850
2015-03-12,instagram,#artbasel artist Hayv Kahraman on gauging interest and the gender gap https://t.co/AcH5hy5da2 https://t.co/1JCSedl2BG,2140,422
2015-03-12,instagram,"See the adorable @KendallJenner photo that was the top Instagram #tbt of 2015: 
https://t.co/zxvPCqhJ6R https://t.co/yxwxFKolIR",4076,846
2015-03-12,instagram,All eyes on COP21 with #TheStandingMarch https://t.co/f4io7Qjd76 https://t.co/jIWO6EHwqo,2320,463
2015-04-10,instagram,Embarking on adventures with a make-believe pet with @ibirdart https://t.co/InV0k21n22 https://t.co/zcNYrU4vsA,2491,576
2015-04-10,instagram,Showcasing the story behind a product with @rodrigo_noriega https://t.co/M2AUWEoqJl https://t.co/odLlMDSbVE,1996,417
2015-04-10,instagram,“We don’t have a lot of opportunities to see what’s behind an object and who’s behind it.” —@rodrigo_noriega,2556,779
2015-04-10,instagram,Fact: These ridiculously cute cookies were made while blasting Tupac. #NationalCookieDay https://t.co/MQmOdRUmEP https://t.co/Ylz6QtcONX,2943,731
2015-04-10,instagram,“I listen to a lot of old-school hip-hop while I frost — I find it really therapeutic.” —cookie-maker Vickie Liu,2337,457
2015-04-10,instagram,"Participate in this weekend’s hashtag project: #WHPreflective
https://t.co/m6uYiRxyf3 https://t.co/pED4Jpf2E6",2717,571
2015-05-11,instagram,"Instagram as an art with @jennxpenn 
https://t.co/iVMBo95DCE https://t.co/za4QOVaxRj",3357,694
2015-05-11,instagram,"“If you’re passionate about something — like, truly, truly passionate — don’t stop doing it.” —@jennxpenn",4716,2175
2015-05-11,instagram,"Gluten-free and vegan treats for every season with @_foodstories_ 
https://t.co/MCAEqHjEZg https://t.co/OE8w5eDbxN",2817,638
2015-05-12,instagram,Professional freerunner + sometimes stuntwoman + #NinjaWarrior contestant = @katiemcdonnell https://t.co/JZNKDdm6cK https://t.co/nsqiGfV3sQ,2763,513
2015-05-12,instagram,Inside the UN climate change conference with @earlyvoyages https://t.co/mhbbziGRPi https://t.co/VojEvP8IuC,1981,384
2015-06-11,instagram,"High-altitude adventures with photographer @CPondella
https://t.co/FNobzvbFZl https://t.co/DzRLETJMMi",2224,517
2015-06-11,instagram,"Participate in this weekend’s hashtag project: #WHPfuturistic
https://t.co/OfrJkN4VEd https://t.co/3aojNJ43Yt",2751,584
2015-06-12,instagram,"The Week on Instagram | 212
https://t.co/k7jzSLyP7w https://t.co/BPMsIeJhZt",2170,384
2015-06-12,instagram,Celebrating Hanukkah in Brazil with Noá Vago https://t.co/QcbxPGt6kU https://t.co/U0m8V358gP,2922,565
2015-07-10,instagram,"Honoring Abidjan, Ivory Coast, with photographer Joana Choumali 
https://t.co/WxnXuPbzEJ https://t.co/CvwvZRA3g5",2706,562
2015-07-10,instagram,"Portraits of the joyful side of life with @R_You_Me
https://t.co/aWympoyOgg https://t.co/yFicQVea7l",2976,593
2015-07-10,instagram,One artist reimagines the stars of this year’s blockbuster films https://t.co/Z3wBRwvqIL #ReelWomen @dosomething https://t.co/xftOXEvkH0,2711,580
2015-07-10,instagram,“I wanted to show that hiring actresses from different backgrounds won’t change who the character is.” —actress and artist Nikita Jansen,2695,594
2015-07-10,instagram,Featured submissions from this weekend’s hashtag project: #WHPreflective https://t.co/Iw8BaEYIBP https://t.co/8HSbmQPkWo,2304,454
2015-08-11,instagram,"The Week on Instagram | 208 
https://t.co/S5Bf5ok5wv https://t.co/xwFLrYvLsj",2787,586
2015-08-11,instagram,"Capturing the spirit of African-American neighborhoods with @_xst 
https://t.co/eIJdUBFNHy https://t.co/ILYhjt0mJB",3024,665
2015-08-12,instagram,#WeeklyFluff https://t.co/UREgY8WxLq,2282,397
2015-08-12,instagram,Documenting human consequences at Earth’s poles with photographer @CamilleSeaman https://t.co/XokveMOfj2 https://t.co/Umr9z2A9R9,2987,877
2015-09-11,instagram,"Traditional Russian bread making with Ivan Zabavnikov
https://t.co/D3EgsMWvgx https://t.co/0udCcVRDfv",3043,740
2015-09-11,instagram,"Featured submissions from this weekend’s hashtag project: #WHPfuturistic 
https://t.co/PQdzOZfziT https://t.co/2RMcwf9fH9",2540,492
2015-09-11,instagram,Sticky daily disguises with prop master Michael Gump https://t.co/11bf3TH3jb https://t.co/MC1kxC6a7D,2290,651
2015-09-11,instagram,"“Often I’ll be somewhere and I’ll see a pile of stuff and think, ‘Should I stick that on my face?’” —prop master Michael Gump",1960,382
2015-09-11,instagram,The art of infinity with @killythirsk https://t.co/M3fz5Vap3p https://t.co/rdwMbhxkS1,2933,752
2015-10-09,instagram,#WeeklyFluff https://t.co/FbYv4VVG1G,2616,486
2015-10-12,instagram,Making time for your own story with @Oprah #MyStory https://t.co/BH4bQCFDPz https://t.co/2B1gpdfKtO,2087,378
2015-10-12,instagram,Honoring human rights and untold stories with @love_is_illegal #HumanRightsDay https://t.co/wa921fxu2j https://t.co/PQQe6EscVe,2269,565
2015-10-12,instagram,"“A global voice: a group of people who say you can beat and shame me, but you will not silence me.” #whereloveisillegal",2335,575
2015-10-16,instagram,"Meeting the priestess, the queen and the damsel with @leticiabg http://t.co/DTqf4j1DjT http://t.co/OI3E75nVAb",1958,507
2015-10-16,instagram,“I like to explore archetypes and use mythology. I feel like we are all those women. All those archetypes live inside of us.” —@leticiabg,2311,602
2015-10-19,instagram,Re-creating Egypt’s “beautiful era” using brushes and family relics with @Lolla_23 http://t.co/MugCYwWDWM http://t.co/fgwcduirKR,2107,560
2015-10-19,instagram,Featured submissions from this weekend’s hashtag project: #WHPmakebelieve https://t.co/XX7HYKv7sQ https://t.co/6hIF4isapm,2147,563
2015-10-20,instagram,#WeeklyFluff https://t.co/vBELnuZnQ7,1794,437
2015-10-20,instagram,Hunting for office ephemera with @presentcorrect https://t.co/fkmEVUtjEV https://t.co/fMyqw4HDY6,1978,479
2015-10-21,instagram,.@InstagramMusic wants to see your best fan photos #MHPfanclub https://t.co/PSz8rNfIp1 https://t.co/IoHgSzoVDv,2229,563
2015-10-21,instagram,Creating playful art can be a labor of love https://t.co/UXwoknVzYx https://t.co/fUDvHNy5gY,1723,458
2015-10-21,instagram,“With enameling you see the colors change each time. I get absorbed in watching them evolve from start to finish.” -artist Tessy King,1706,480
2015-10-21,instagram,"Speaker, author, anti-bullying warrior @littlelizziev shares what gives her strength https://t.co/txYXvfnRdv https://t.co/YTIcNttezL",2554,760
2015-10-22,instagram,Introducing Boomerang from Instagram https://t.co/iJVXjfBpGI https://t.co/O1E9NlZXtt,2429,1140
2015-10-22,instagram,"#LocalLens: Coffee, pastries and the sea in Gothenburg, Sweden https://t.co/LBUJ0Oq8yV https://t.co/2PGeuOtzSb",1918,486
2015-10-23,instagram,Reviving Vintage VWs with Nick Kaye https://t.co/0tN0bRM3JF https://t.co/1vSrxFc51H,2119,618
2015-10-23,instagram,#whereartthou: Conceptual artist Lawrence Weiner’s work comes to @BlenheimPalace https://t.co/23x36npKxa https://t.co/WO0Rfmb7Oc,1909,465
2015-10-23,instagram,Participate in this weekend’s hashtag project: #WHPboomerang https://t.co/iPJI5SxFqJ https://t.co/VQC1YFQWnG,2181,581
2015-10-23,instagram,"Compelling, not creepy: @scottradke’s lovable creatures https://t.co/8OXejndolI https://t.co/9f446FFFX1",2793,838
2015-10-23,instagram,Extreme knitting with @jacquifink https://t.co/w6eOLaTiOj https://t.co/T2gt8XvMkN,2287,629
2015-10-23,instagram,“You need to let go of all of your preconceived notions about what it is to knit in order to be able to really enjoy it.” —@jacquifink,1912,608
