Date,author,content,number_of_likes,number_of_shares
2010-01-07,jtimberlake,are you an 80's baby?,42,100
2010-01-07,jtimberlake,"If you are an 80's baby, you'll dig this: http://bit.ly/dApXQX",126,427
2010-01-07,jtimberlake,"good answer! RT@hellskitten: My head says no, but my Hypercolor T-shirt says yes",19,41
2010-01-08,jtimberlake,Don't miss the new song from @freesol on Entourage tonight. Thanks @brokemogul .  Follow them.,27,107
2010-01-08,jtimberlake,Did anyone see the skit Jimmy and I did last night?!?! http://bit.ly/9ImIVF,286,820
2010-01-08,jtimberlake,#FF @SocialNetwork @DrinkNeuro,24,104
2010-01-12,jtimberlake,is digitally dead. Watch Justin Timberlake’s last Tweet and Testament here - http://bit.ly/acS1TR #BUYLIFE,93,380
2010-01-12,jtimberlake,"is digitally dead. But due to historic traffic so is buylife.org, text JUSTIN to 90999 to buy his life back http://bit.ly/hTvTT7",37,247
2010-01-12,jtimberlake,is digitally dead. Watch Justin Timberlake’s last Tweet and Testament here - http://bit.ly/acS1TR #BUYLIFE,64,313
2010-02-04,jtimberlake,Good morning Twitter.  Jamie Foxx & I play 1-on-1. http://www.youtube.com/watch?v=CfMKShIh8Bs,59,176
2010-02-05,jtimberlake,"#Freakyfriday : quirky interview w. Edward Sharpe & the Magnetic Zeros. If you DON'T know (em), now you know. http://bit.ly/a7sKcS",26,65
2010-02-08,jtimberlake,"For everyone that caught @freesol 's song on Entourage last night, the song is free (this week only) at http://freesolmusic.com Get it!",78,186
2010-02-09,jtimberlake,Is it funny to anyone else how Lane Kiffin's first season at USC doesn’t REALLY count?,40,410
2010-02-11,jtimberlake,Who has the best Halloween story for me from last night?!?!,81,150
2010-03-09,jtimberlake,@robknox4the_y_s So then…not that funny TO YOU…!,7,14
2010-03-29,jtimberlake,"Introducing Mr. Brainwash, http://bit.ly/aFRtJ3 and a fresh, new photographer: http://bit.ly/a9V58A P.S. Happy Monday",24,61
2010-03-30,jtimberlake,"@theflaminglips if you didn't know, wayne coyne is the man: http://bit.ly/d3wpQy  (you might even see a familiar face in the video)",9,23
2010-03-31,jtimberlake,"#nowplaying -- ""Animal Balloon Class"" Instructor: @Dan__Black/ location: the jt.com offices http://bit.ly/96MbHK",16,31
2010-04-02,jtimberlake,#cmonson @Mredlover is killin it -- http://www.youtube.com/watch?v=G-SidHPK9Nw,29,57
2010-04-05,jtimberlake,like the custom @williamrast suit? http://bit.ly/aZ7t5m,21,55
2010-04-09,jtimberlake,Thank you to everyone who helped make The Social Network number one. It means a lot to me.,135,476
2010-04-09,jtimberlake,"Thanks to my friends at @DrinkNeuro, we have a great new addition to my concert in Vegas on 10/23! Check it out… http://bit.ly/acJvI3",33,82
2010-04-13,jtimberlake,You wanted new music? Here you go (sorta): http://bit.ly/91nLYV thx @brettdomino !,50,212
2010-04-13,jtimberlake,@Luhsancher How many 'follow mes' does it take to get to the tootsie roll center of a tootsie pop? 50 apparently.,24,26
2010-04-15,jtimberlake,"#nowplaying @MattMorris performs ""Live Forever"" on @iheartradio Amazing! http://bit.ly/aElKbR",50,128
2010-04-26,jtimberlake,#MusicMonday - Check out @Esmeeworld 's new video for ‘Love Dealer’. Premieres Wed on Vevo! http://bit.ly/lovedealer,21,168
2010-04-28,jtimberlake,A better link to the @esmeeworld video:  http://bit.ly/love_dealer What do you think?,28,102
2010-04-29,jtimberlake,What is #exactitude?  http://bit.ly/exactitude,26,76
2010-05-04,jtimberlake,#MusicMonday behind-the-scenes w. new British talent @VVbrown: http://bit.ly/9xrInA  ....do you like?,31,80
2010-05-05,jtimberlake,"happy cinco de mayo. Fiesta time, anyone? http://bit.ly/odcDS",30,147
2010-05-07,jtimberlake,"‎​Ok NFL Fans... Who's gonna have better numbers this year: Aaron Rodgers, Brett Favre, or Peyton Manning???",43,134
2010-05-12,jtimberlake,@jtimberlake is digitally dead. Meet 7 resilient kids affected by AIDS http://bit.ly/eyFpdF Text JUSTIN to 90999 & reply YES to give $10,51,156
2010-05-25,jtimberlake,For those of you who may need to brush up on urinal etiquette: http://bit.ly/bpTfjf,55,175
2010-05-26,jtimberlake,"Did y'all? RT@tennmanrecords: Request @Esmeeworld's ""Love Dealer"" ft. @JTimberlake at your fav radio stations! http://tinyurl.com/2f9kyxp",54,159
2010-06-07,jtimberlake,Hope y'all had a chill fourth of July weekend...it's been hot out there.,37,103
2010-06-09,jtimberlake,Just cut the ribbon for the new Mirimichi Performance Center! It looks incredible...,23,86
2010-06-09,jtimberlake,"Also, just received the GEO Award for 1st certified ""green"" golf course! Pretty damn cool.",33,130
2010-06-09,jtimberlake,http://twitpic.com/2lvtzy - The 18th green at Miring...,39,69
2010-06-09,jtimberlake,...The 18th green at Mirimichi.,24,61
2010-06-11,jtimberlake,Justin Timberlake is alive! We raised $1mil to help KCA fight AIDS. Thank you so much and never stop buying life! http://bit.ly/acS1TR,121,519
2010-06-16,jtimberlake,who's getting their golf on? http://bit.ly/9N837v,31,88
2010-06-17,jtimberlake,For you guys - Today's playlist : http://bit.ly/dddNYj,29,93
2010-06-18,jtimberlake,game on Lakers,45,294
2010-06-18,jtimberlake,Amazing Game. How did everyone celebrate? http://bit.ly/bczmnV,28,64
2010-06-24,jtimberlake,@tennmanrecords @Freesol new mixtape is out. It's hot. It's free: http://bit.ly/freesol,9,24
2010-06-24,jtimberlake,Sweet RT @MizzBren: Support my boys! RT @jtimberlake @Freesol new mixtape is out. It's hot. It's free: http://bit.ly/freesol,33,97
2010-06-28,jtimberlake,"Major Congrats @freesol! The new mixtape has been featured as ""firestarter"" on @mtv. Video here: http://bit.ly/bkLWEl",18,54
2010-06-28,jtimberlake,"Always reading, but #howdoutweetlove? RT @NsyncGirl: @jtimberlake I hope that you're reading our tweets! Show us love the way we show you.",41,105
2010-06-29,jtimberlake,Woot! Check out The Social Network film trailer: http://bit.ly/ax5J0S and mark your calendars!,24,149
2010-07-14,jtimberlake,More #newmusic from @mattmorris. Here's some 'behind the scenes' of making the album: http://bit.ly/ciDNRx,21,95
2010-07-15,jtimberlake,It's ON FIRE. The Social Network Full Trailer is out: http://bit.ly/ctjfaO Must Watch. Just Saying.,76,379
2010-07-21,jtimberlake,T-minus 1 day till 8 kids try to launch a rocket into space. Pretty cool. http://Sony.com/rocketproject,28,149
2010-07-21,jtimberlake,What's on your calendar? http://calendar.ytmnd.com/,32,121
2010-07-21,jtimberlake,Happy birthday @justxlisa52 ! What are you doing to celebrate?,24,26
2010-07-21,jtimberlake,"Well @Lydsbx if I write 1 tweet a day, I'd only be 7,135 years old before every follower gets their own message. But here's to trying!",36,50
2010-07-21,jtimberlake,Diapers on aisle 9! @misslisa854,36,46
2010-07-26,jtimberlake,"http://901.com, now . . . right now.",30,136
2010-07-26,jtimberlake,Good evening.,27,110
2010-07-26,jtimberlake,Question of the day: what do you do on #dayslikethis?,22,110
2010-07-26,jtimberlake,"Hey @Wekatrineabatti it's not nice to wish anything bad on others. RT:Hey @jtimberlake, I want your 901 Tequila! #RIPJoseCuervo",17,34
2010-07-26,jtimberlake,Can anyone on Twitter keep a secret?,115,364
2010-07-26,jtimberlake,"Okay then @Cspitz just between us, someone you might know, just made their directorial debut at http://901.com .",27,83
2010-07-27,jtimberlake,@mattmorris takes on The Beatles: http://bit.ly/d8ozPi,12,44
2010-08-06,jtimberlake,"To jump start your day, a lil help from @esmeeworld and Stevie Wonder: http://bit.ly/9JguRw",21,82
2010-08-16,jtimberlake,Check out this film. You'll love it: http://bit.ly/easya,61,189
2010-08-20,jtimberlake,"It's Vegas time, baby! Justin Timberlake & Friends Benefit Concert Oct 23rd!! Lineup & Tickets (on sale TOMORROW): http://bit.ly/aM65Gv",50,189
2010-08-20,jtimberlake,"It's that time of year again...
Tickets for my charity concert in Vegas on 10/23 are on sale now. It's a sick lineup! Hope to see you there!",37,194
2010-08-25,jtimberlake,Congrats to the @stippleit team. RT: Stipple is now live for public use. http://nyti.ms/bZxWch Thanks @nytimesbits!,25,51
2010-08-26,jtimberlake,I had an amazing sweet wine last night from a family owned winery called Casa Barranca. Have you tried it? I love reds…any suggestions?,70,91
2010-08-26,jtimberlake,"Sounds good, I'll check it out. RT @drbelotto I really like a pino noir from the Willamette Valley, Chehalem - http://is.gd/eFzXO",33,70
2010-08-31,jtimberlake,Check out the new site for The Social Network! http://bit.ly/a6BAIy,44,185
2010-09-07,jtimberlake,"since the weekend's almost here, a @sony trick to watching the #worldcup up close and personal: http://bit.ly/9AkxML",14,40
2010-09-07,jtimberlake,"Good question....@esmeeworld, thoughts? ha ha RT @ivotriepels: who do you think will win #worldcup ? #netherlands?",16,63
2010-09-07,jtimberlake,"if there's a team to root for, it's @Tennmanrecords, no? (phew) :) RT @esmeeworld the Netherlands Justin are you supporting our team? ;-)",20,48
2010-09-09,jtimberlake,RT @FNOnyc @traceayala & @JTimberlake to celebrate #FNO at Nordstrom Santa Monica Place & @WilliamRast in Century City! http://bit.ly/b7VZhO,16,80
2010-09-13,jtimberlake,http://ping.fm/p/6As5m - Backstage... About to bring Drake out!!!,90,295
2010-09-13,jtimberlake,http://ping.fm/p/oF9Yc - Taylor... Killing it.,113,374
2010-09-13,jtimberlake,http://ping.fm/p/YkQXI - Drake... The future.,97,436
2010-09-14,jtimberlake,Stoked for the #FNO special tonight on CBS. Who’s going to check it out? http://bit.ly/aH0Wj8,27,113
2010-09-17,jtimberlake,Wanna see a movie that’s great??? Go see Easy A tonight!!! E. Stone rocks in it. ‘Nuff said.,55,304
2010-09-17,jtimberlake,Sibling Rivalry! Peyton vs. Eli… Who are you taking???,43,149
2010-09-21,jtimberlake,http://ping.fm/p/nY7dC - Crowd at Leno. Having a blast. Chris Bosh is the best!!!,43,89
2010-09-24,jtimberlake,#FF @901silver @jtshrinersopen,22,44
2010-09-24,jtimberlake,Backstage at NFL Countdown. Such a fan. Geekin' out! http://yfrog.com/5lgjdbj,153,241
2010-09-29,jtimberlake,Anybody want a Hip-Hop History Lesson? Check out 2 goofballs on @jimmyfallon tonight.,60,164
2010-10-05,jtimberlake,@freesol's got a brand-new video: http://bit.ly/9sYd4F,3,26
2010-10-05,jtimberlake,"And for a good laugh, Will Ferrell-style: http://bit.ly/aP0pZo",46,76
2010-10-08,jtimberlake,Stoked to support #FNO on the west coast tonight! Anybody coming by @nordstrom Santa Monica and @williamrast Century City?? Don’t be shy!,26,101
2010-10-14,jtimberlake,Do you wanna come to my benefit concert in Vegas next weekend? @drinkneuro is giving away 2 free tix. Enter now… http://bit.ly/d0Pfd7,34,119
2010-10-15,jtimberlake,The NBA regular season is starting soon…who thinks the Lakers can get another three in a row?!?!,84,275
2010-10-15,jtimberlake,Excited for my show that I'm hosting next weekend in Vegas!!! Want a free trip to see it?! Check out @drinkneuro. http://bit.ly/9geD9O,42,139
2010-10-19,jtimberlake,Help me support Shriners Hospitals for Children. Check out my video on the Shriners tab on my Facebook page!!! http://bit.ly/djmsNs,56,434
2010-10-20,jtimberlake,Come on! Let's help the kids at Shriners! Go to my facebook page or click here! http://bit.ly/bIl5Ph,35,186
2010-10-22,jtimberlake,20 hours till showtime...,54,154
2010-10-22,jtimberlake,Nine hours till showtime...,55,261
2010-10-22,jtimberlake,‎​4 hours till the party begins! Thanks again @drinkneuro! Its gonna be a good one!!,37,84
2010-10-22,jtimberlake,"3 hours to go! Thanks to everyone who has helped me support the kids at Shriners. If you haven't, its not too late!!",48,131
2010-10-22,jtimberlake,"Less than 2 hours to go! For those that asked, to help support the kids at Shriners watch my video on my website and click the link below!",38,102
2010-10-22,jtimberlake,Showtime baby!!!,111,365
2010-10-25,jtimberlake,Congrats to Jonathan Byrd for making PGA tour history yesterday at my tournament...he won in a playoff on a hole-in-one!!!,46,140
2010-10-29,jtimberlake,Happy Halloween everybody! Have a fun night!,145,735
2010-11-05,jtimberlake,"Surprises are always fun, but they're even better with golf clubs: http://bit.ly/cXktJQ",31,78
2010-11-05,jtimberlake,#nowplaying - the most fun you can possibly have with Microsoft Office: http://bit.ly/aEusUt  #laughatem,73,261
2010-11-09,jtimberlake,http://ping.fm/p/RKjZx - In the green room at #FNO with @traceayala.,37,82
