Date,author,content,number_of_likes,number_of_shares
2015-01-06,justinbieber,#brothertime,79734,63234
2015-01-07,justinbieber,Congrats on your new line @TheEllenShow!! Everyone check out http://t.co/n24kcyapNG #EDbyEllen . Love yah,58589,46833
2015-01-07,justinbieber,Happy Canada Day from the other side of the world! Much love!,84606,69228
2015-01-07,justinbieber,👌http://t.co/uhgf5vfvZG,71154,64357
2015-01-08,justinbieber,Even @MariahCarey is excited. #WhatDoYouMean http://t.co/d0qAVpULI0,62658,51823
2015-01-08,justinbieber,@NiallOfficial congrats on the new single bro,238773,199229
2015-01-08,justinbieber,When it comes to music we shouldn't be put up against eachother. Music isn't about competition it is about collaboration. It's a language,96009,89706
2015-01-08,justinbieber,So fans shouldn't have to choose. Music is about sharing and lifting eachother up. I love music for what it can do for us. Much love,85333,79888
2015-01-08,justinbieber,And thanks for all the great musicians who inspire me everyday. Thank you. I love music,78358,70828
2015-01-08,justinbieber,Now go vote in every competition!!! Lol,70840,62752
2015-01-08,justinbieber,8.28.15,79530,76813
2015-01-08,justinbieber,#27DAYS http://t.co/l0kNrbHUsp,61712,61601
2015-01-08,justinbieber,What Do You Mean? @JBALVIN #27DAYS #27Dias http://t.co/Z4mgj0qZRa,64591,61956
2015-01-08,justinbieber,@nells12 yep.,26911,20864
2015-01-08,justinbieber,@sammy happy bday Sam. You guys did great and I'm happy to be part of this #ShotsOnABC https://t.co/BjGoXK8eYD,27824,25219
2015-01-08,justinbieber,#3YearsOfAsLongAsYouLoveMe http://t.co/Ap387FeArt,66819,69189
2015-01-09,justinbieber,What is your favorite part? #WhatDoYouMeanMusicVideo http://t.co/N7PFqMcWAK http://t.co/TefM03wI1f,65173,53175
2015-01-09,justinbieber,We did it. This is @RyanSeacrest favorite song to sing along with --- http://t.co/guDqrRG3My we finally made it :),47890,37923
2015-01-09,justinbieber,Good morning http://t.co/guDqrRG3My,45584,39000
2015-01-09,justinbieber,@officialcharts thanks UK. This would be very cool. See u soon. We got plans :),25924,22594
2015-01-09,justinbieber,send me ur lip sync and dance videos for #whatdoyoumean. Me and @RoryKramer are making a viral. Tag #whatdoyoumeanviral on YouTube,47036,39502
2015-01-09,justinbieber,Today. #IllShowYou #PURPOSE https://t.co/8P2To5jVVU,63824,57309
2015-01-09,justinbieber,Today. #IllShowYou #PURPOSE https://t.co/ZWMJvhasht https://t.co/0ioROVgHTF,74912,68131
2015-01-09,justinbieber,Saw a lot of Halloween costumes dressed as these ladies. Over 50 million views in a week. #sorrynotsorry :) https://t.co/4Djuxtn5o0,53655,43428
2015-01-12,justinbieber,Thank u https://t.co/nb3H6AemrQ,38904,24768
2015-01-12,justinbieber,:) https://t.co/kqYilE0nPj,41254,25393
2015-01-12,justinbieber,https://t.co/ZWMJvhasht #PURPOSE,42472,27860
2015-01-12,justinbieber,https://t.co/Xx4a0mA1K2,80728,45917
2015-01-12,justinbieber,Next time come https://t.co/jl8RTskU2s,53550,33684
2015-01-12,justinbieber,Time to bring #PURPOSE home. #EveningWithJB on 12/7 at @TheDanforthMH to benefit @StratfordHOB. Tix on sale 4pm est today #PurposeInTO,48412,30910
2015-01-12,justinbieber,Thank you for being there when we needed you :) now it's my turn  https://t.co/BwygIxcFlb,54583,35655
2015-01-12,justinbieber,@StratfordHOB its #GivingTuesday :),26342,17823
2015-01-12,justinbieber,"Thanks @NoiseyMusic @SPINmagazine #WhatDoYouMean 

https://t.co/Tt9BLOwuIx
https://t.co/qz5riRo6K3",43344,27781
2015-01-12,justinbieber,Let's #giveback together. #PurposeInTO on sale now. See u on 12/7 at @TheDanforthMH to benefit @StratfordHOB https://t.co/wFWJtLhkcf,53135,34358
2015-02-04,justinbieber,I love this show. 😂 #Workaholics https://t.co/VpaQsUUTLk,59326,45912
2015-02-04,justinbieber,See u tomorrow @RyanSeacrest . Been too long. Big news :),77108,59792
2015-02-04,justinbieber,@RyanSeacrest soon enough. Lol. Happy to be joining @onedirection as the new member. Thank you Ryan ;),70569,65649
2015-02-04,justinbieber,You guys want it so I'm in! :) #WangoTango http://t.co/HFprboMbRn,67390,55115
2015-02-04,justinbieber,@Z100NewYork @OzzyOsbourne love Ozzy.,35759,27067
2015-02-04,justinbieber,Happy birthday Mama! @pattiemallette love you,124882,104308
2015-02-05,justinbieber,Thank u Italy,79574,61137
2015-02-05,justinbieber,heading to vegas to host @RehabLV tomorrow for #FightWeekend. who’s coming? http://t.co/Cvr6hYV2CD,57356,43130
