Date,author,content,number_of_likes,number_of_shares
2012-01-09,katyperry,Nirvanaland by Jose Rodolfo Loaiza Ontiveros more here: http://t.co/hkGlJl8N love these. http://t.co/84EqCAbA,3299,3565
2012-01-09,katyperry,Got my claws trixxxed out tonight @esNAIL_LA !!Kawaii!! http://t.co/sEwIJhpv,7134,5623
2012-01-09,katyperry,"THE COUNTDOWN BEGINS! 17 DAYS TILL YOU CAN OWN A ""PART OF ME"" http://t.co/Y4FKMLSs",1883,3652
2012-01-10,katyperry,Here comes Halloween! Here comes Halloween!,5125,14135
2012-01-11,katyperry,. @shannonwoodward You're like my... best friend. http://t.co/88jP2ZNR,11013,8963
2012-02-10,katyperry,Om shanti Shannon RT @shannonwoodward: Well. @katyperry just asked if I minded if she put her chanting music on....And I realized we're 100.,1224,2257
2012-02-10,katyperry,"Good things come in threes! My next destination w/ @BarackObama: Milwaukee, WI on Saturday! Get free tix: http://t.co/9aE5bGba &amp; vote early!",1456,2716
2012-03-09,katyperry,"One thing is for certain, there WILL be bbqs tomorrow.",2125,4572
2012-03-09,katyperry,"RT @MileyCyrus: @katyperry let's 
raaaage 🇺🇸❤🇺🇸❤🇺🇸❤",2759,6077
2012-03-09,katyperry,Haaa RT @brettgrace: Got up at 6am today. Did yoga. Had a protein shake. Ran six miles. Decided to lie about everything.,1727,2987
2012-03-09,katyperry,"While taking a break from singing and joking around, I saw a movie about singing and joking around. It was perfect. Pitch Perfect.",4579,6582
2012-03-09,katyperry,You've sent love and light to the East Coast. Now it's time to send warm meals and shelter! Text RED CROSS To 90999 to donate $10 now.,1743,3889
2012-03-12,katyperry,On my way to #TrevorLive! Watch the red carpet live stream at http://t.co/ChmLdxuz,1771,3078
2012-04-10,katyperry,"Last night I saw The Black Keys, tonight I saw Bieber. I think my musical week is complete.",10683,24988
2012-04-10,katyperry,WE ARE BELIEBERS! http://t.co/pivBJmII,48633,97845
2012-04-12,katyperry,"OMG finally met Amy Grant, she's so nice!",3061,4574
2012-05-10,katyperry,@BonnieMcKee practicing your euphemisms again are we?,504,947
2012-05-11,katyperry,"Who's ready to vote tomorrow? I've got my outfit laid out! Send me a photo of your outfit when you're at the polls, and I'll RT my faves!",1643,2908
2012-06-08,katyperry,Success isn't about how much money you make it's about the difference you make in people's lives...,14907,35964
2012-06-08,katyperry,Girl I hope you win! RT @MDMOLINARI: So excited for the #VMAs.,1163,2202
2012-06-08,katyperry,IF ONE DIRECTION DOESN'T PERFORM ON THE VMA'S I AM GONNA JUMP OFF THIS LEDGE,81904,134271
2012-06-08,katyperry,oh... it was just a rumor... *steps down*,6267,10729
2012-06-08,katyperry,We're about to finally grow up. RT @MarthaPlimpton: Oy vey. Saturn's all returning up into my sign after 20 years or whatevs. Good or bad?,1135,2087
2012-06-08,katyperry,Oh em gee I just had church at Soul Cycle! #feltthespirit!!!,1875,2920
2012-06-11,katyperry,"May I exclusively present what might be the cutest photo ever taken: Me, Gma &amp; POTUS! Happy voting tomorrow! http://t.co/9CDZmuil",12391,10640
2012-06-11,katyperry,WOW! RT @JohnnyWujek: Vote today For a brighter future. And by brighter I mean Brighter then my VOTING lewk. #obama http://t.co/tZkELRag,1274,1884
2012-06-11,katyperry,Proud to exercise my civic duty! #FORWARD http://t.co/jUq67DFl,12758,10289
2012-07-09,katyperry,Yes we can! #forward http://t.co/ncn2niAn,8315,11015
2012-07-09,katyperry,@RonanFarrow you better preach,332,518
2012-07-09,katyperry,I'll be your Mrs. Robinson... RT @NiallOfficial: @katyperry looks like its official ... me and you http://t.co/iYvge5Sb,40071,62390
2012-07-09,katyperry,Best art direction moon man is so hipster cool! YAY! #everyoneinsilverlakewildnout #peopleinsilverlakewouldntsaywildnout,3215,5721
2012-07-09,katyperry,Earthquake! #latetweet,2093,3712
2012-07-10,katyperry,Today I am so honored to play for the President! ☑,4196,5511
2012-07-10,katyperry,Appropriate nails. http://t.co/TUFxewlH,17711,17420
2012-07-11,katyperry,DONE AND DUSTED!!!,3422,7053
2012-07-11,katyperry,The people have the power! Proud to stand by you for 4 more years. RT @BarackObama This happened because of you. Thank you.,4626,10119
2012-07-11,katyperry,I hope the Prez got to sleep in today. He deserved it.,3532,5543
2012-07-12,katyperry,Best news to hear after getting off a 15 hour flight: Grammy nomination for Wide Awake! Second best news: hot shower ☺,5223,7329
2012-07-12,katyperry,"HAPPY 30TH BIRTHDAY to my angel &amp; warden of a sister, Angela. I love you.",4939,7523
2012-08-09,katyperry,"Headed to a baby shower today. Can't wait to play ""Is it baby poop or a melted snickers?"" *pops the yaz*",3500,4555
2012-08-10,katyperry,I sang for President @BarackObama last night because I believe in Equal Rights #ForAll #Vote http://t.co/R4KZbM9l,14290,15528
2012-08-28,katyperry,A little birdie dropped this on me today: Coincidences are God's way of staying anonymous... Sneaky!,3532,7195
2012-08-28,katyperry,ANNOUNCEMENT!,1329,2534
2012-08-28,katyperry,"#PartOfMe comes out on Blu-Ray/DVD 9/18! Pre-order @ iTunes, Amazon &amp; Target OR go here &amp; pick up a Blu-Ray I signed! http://t.co/fZp6iR82",1952,4140
2012-08-29,katyperry,ERMAHGERD! Cooking class accompanied by my wingwomanwoman @shannonwoodward Tonight we tackle Steak au poive which is fancy for STEAK!,1307,2069
2012-08-29,katyperry,We're hungry too. RT @TheDoctorLuke: @katyperry @shannonwoodward you girls tryna catch a man ?,995,1865
2012-08-31,katyperry,Hey! Don't spoil your dinner young man! RT @RonanFarrow: 7/11 now sells sushi. So I think we can all agree that's a good thing.,946,1700
2012-09-07,katyperry,Sendin' out an s.o.s.,2507,5260
2012-09-11,katyperry,"Been listening to these ladies since the summer, I can't keep hiding them from u. HAIM: http://t.co/McNze8iu welcome.",1905,2925
2012-09-13,katyperry,That's my girl. RT @miamoretti: MIA MORETTI X PENCEY SS 2013 PRESENTATION http://t.co/zeXsiTQj,965,1725
2012-09-14,katyperry,This is getting out of control! RT @nydailynews: Man pays $137 ticket fine w/$1 bills folded into origami pigs http://t.co/DSoRWUFD,1540,3843
2012-09-14,katyperry,I can feel the phoenix rising.,2875,6070
2012-09-14,katyperry,RT @SarahKSilverman: A bull in pretty much any shop is gonna be a mess,855,1728
2012-09-14,katyperry,Starting the day with a group meditate #breakfastofchampions,1286,2494
