Date,author,content,number_of_likes,number_of_shares
2012-01-11,rihanna,Time to get my ass up!!,1366,3496
2012-01-12,rihanna,Just posted a photo http://t.co/Kbp9svl4,2133,4122
2012-01-12,rihanna,OOOONLY IF!!! http://t.co/WxGSDxg4,2413,4774
2012-01-12,rihanna,God is THAT nigga tho!!!,18198,28147
2012-02-10,rihanna,@mikkyekko you just changed my LIFE bro!! Thank you #UNAPOLOGETIC,196,416
2012-02-10,rihanna,"He told me ""you better not give it away"" http://t.co/9rXvgWXB",1792,2316
2012-03-09,rihanna,Me! Spring/ summer collection with River Island is in the bag! #designerlife #RIHverIsland http://t.co/teL73Oiq,1284,1893
2012-03-09,rihanna,Back to studio life,1274,2275
2012-03-09,rihanna,Happy birthday grandfadda!!! Love you!,1256,1832
2012-03-12,rihanna,#MFphotography #2012BOATSandHOESvacay #FACEBOOK http://t.co/Ocr7Io5d,1390,1617
2012-03-12,rihanna,#mfphotography http://t.co/rBZnwN3A,1304,1533
2012-03-12,rihanna,#SUPREMEBitch #mfphotography http://t.co/MX1OseqD,1756,2383
2012-03-12,rihanna,Ya love it then come and get it #mfphotography http://t.co/w8n2egZa,2423,2817
2012-03-12,rihanna,"Literally, my guardian angel!!! Strong, complete, top notch spirit of a woman and Ima be fearless just like http://t.co/dRMut7Ks",1382,1793
2012-03-12,rihanna,Perfect Day for this!! This truly made me smile! Thank You #dn http://t.co/TcHvUllE,1318,2074
2012-04-11,rihanna,"How could you be so hood, but you so fucking Pop?! #UNAPOLOGETIC",1008,2702
2012-04-11,rihanna,Bitch I'm phresh out the runway #UNAPOLOGETIC,1474,4136
2012-04-11,rihanna,We havin a celebration.... WE HAVE AN ALBUM!!! #UNAPOLOGETIC http://t.co/E0gIRBIS,2058,3360
2012-04-11,rihanna,Look out for my sneak peek of the tourism campaign for #Barbados,513,1006
2012-04-11,rihanna,#Barbados http://t.co/iz2f68c6,1117,1964
2012-04-11,rihanna,#barbados http://t.co/iSNQyqIJ,1317,2380
2012-04-11,rihanna,#barbados http://t.co/tStfbehe,1532,2577
2012-04-11,rihanna,#barbados http://t.co/bO3KmxG2,890,1410
2012-04-11,rihanna,#barbados http://t.co/hgxoKtHG,1578,2818
2012-04-12,rihanna,"My bitches so Bvalgari... Just directed my first ad campaign for my new collection with River Island, Spring http://t.co/7cKd4y9K",1251,1827
2012-04-12,rihanna,Just do it!! Lol http://t.co/CjKZfcCL,2354,2915
2012-04-12,rihanna,Birthday Boy! #lafamilia #clique http://t.co/xhWfU0ZV,1787,3179
2012-04-12,rihanna,Don't miss the Victoria's Secret fashion show tonight!! I'm performing 2 songs from UNAPOLOGETIC #holla #bad http://t.co/AP4dDsoI,2095,4234
2012-04-12,rihanna,oops... #pisceslife http://t.co/DHh97mQB,1200,1539
2012-05-11,rihanna,"NAVY, Three Words #DiamondsDeluxeBox http://t.co/ROjSFsPW http://t.co/gd2g71hs",587,1284
2012-05-11,rihanna,Niggaz. http://t.co/lJpu4jHa,605,1081
2012-05-11,rihanna,"Man my album is complete, and I need a fucking drink and a roll up! It was quite the journey, but it's all part of our story! #UNAPOLOGETIC",4273,8311
2012-05-11,rihanna,#thuglife http://t.co/kPzTP7Bq,1900,3497
2012-05-11,rihanna,Big news coming tomorrow!,2256,4581
2012-05-11,rihanna,They run shit! http://t.co/2StOOLEZ,1441,2030
2012-05-11,rihanna,No words.......just Diamonds!! #MFphotography http://t.co/PqVMwSw0,2850,4818
2012-05-11,rihanna,My new TV show is coming to @StyleNetwork! Check it out at http://t.co/4KHEVaLL #StyledToRock,1147,2460
2012-06-11,rihanna,#UNAPOLOGETIC #OFFICIAL #TRACKLIST http://t.co/XXBpMn1A,3153,6335
2012-06-11,rihanna,#holla http://t.co/SKg0Gj1k,767,1092
2012-06-11,rihanna,This is still cute!! #Shine #Bright #LikeA #Diamond http://t.co/F47xv85f,1587,2443
2012-06-11,rihanna,There's another secret collab on #UNAPOLOGETIC,768,1709
2012-06-11,rihanna,"Guess who is featured on the #7th song on #UNAPOLOGETIC , HINT: his birthday is tomorrow November #7th",707,1569
2012-06-11,rihanna,"Its David phucking Guetta!!!! He also produced Fresh out the Runway, which y'all would NEVERRR believe!! He got that Hood shit too!!!",1257,2944
2012-06-11,rihanna,#UNAPOLOGETIC #PHRESH #NEW #EXCLUSIVE #PROMO #SHOT me and my faves in hand #Kate #Vogue http://t.co/kcwSKT8H,1168,1873
2012-06-12,rihanna,"Congrats guys, we got #3 Grammy Nods!!! #ThugLife",1955,4236
2012-06-12,rihanna,"#throwbackRiRi the day I met and sang for Evan Rogers of SRP after school, my life has never been the same s http://t.co/55InqdAa",1320,1770
2012-06-12,rihanna,#throwbackRiRi http://t.co/ceSq3Lcn,820,1040
2012-06-12,rihanna,#throwbackRiRi http://t.co/v3BFUfEM,1004,1212
2012-06-12,rihanna,#throwbackRiRi lol where have you been bawdy?? http://t.co/r6JhiaXa,982,1245
