Date,author,content,number_of_likes,number_of_shares
2010-01-06,selenagomez,A little peak at the music video we shot this weekend...... http://bit.ly/adPzJd,278,695
2010-01-07,selenagomez,Hey Guys-- I just wanted to share this video with you. If you were given the opportunity to speak to the world's... http://fb.me/BizcV2GP,201,630
2010-01-08,selenagomez,"Being able to do what I love is incredible, a blessing and inspirational to me. I can't believe it shows all the... http://fb.me/EcSZciMY",362,856
2010-01-08,selenagomez,Dream Out Loud is out today in K-Mart stores across America.  I will checking out some of the stores in the Los... http://fb.me/CIoAzN57,337,1015
2010-01-08,selenagomez,Just wanted to clear up my only official pages for those of you who are being confused by posers.... http://fb.me/tHyRvJlm,180,559
2010-01-08,selenagomez,http://twitvid.com/USZHX - Hey guys here’s a sneak peek of my new video. Tune into Disney Channel this Friday at 10P ET/7P PT #selenagomez,337,1319
2010-01-08,selenagomez,It's October which means it is the month of UNICEF.  I have a really big announcement to make next week so be sure... http://fb.me/GTnN0lOj,155,780
2010-01-08,selenagomez,Still in complete shock that I met my idol..... :),1228,2617
2010-01-08,selenagomez,"Pro&lt;3ise This :)
 http://twitpic.com/2tpgjq",1003,2045
2010-01-08,selenagomez,I love you guys so much :),5148,11401
2010-01-11,selenagomez,"Come to ""Selena Gomez live at KIIS FM's Jingle Ball in Los Angeles - Dec 5"" Sunday, December 5 from 5:00 pm to... http://fb.me/wy21RM2D",120,512
2010-01-11,selenagomez,Morning Everyone--  I just wanted to THANK all of you who participated in this year's Trick or Treat for UNICEF... http://fb.me/LfRmry9f,148,670
2010-02-09,selenagomez,"http://twitvid.com/AJ08L - Here's another peek at my new video, A Year Without Rain. You can get it on iTunes this Tues 9/7! #selenagomez",292,1203
2010-02-10,selenagomez,"I just received some amazing news from UNICEF. 2 years ago UNICEF started their campaign ""Believe in Zero"" where they http://bit.ly/bybc6T",203,1269
2010-02-11,selenagomez,"Hey guys - 

I have launched my official iTunes Ping profile. Come follow me.... http://fb.me/J9blVevP",186,543
2010-02-12,selenagomez,Wait.... Someone bought the sun??! What?,1146,2709
2010-02-12,selenagomez,Dibs on Pluto...,651,1495
2010-03-05,selenagomez,29 more days until Dream Out Loud hits Kmart stores everywhere August 1st!!!!!!!  I am actually going to go out... http://fb.me/x7Z0Izsg,166,498
2010-03-11,selenagomez,"Come to ""Selena Gomez live at Q102's Jingle Ball in Camden, NJ - Dec 8"" Wednesday, December 8 from 6:00 pm to... http://fb.me/wNOkJ2tf",183,581
2010-03-12,selenagomez,Story of our set. Jenn annoyed with David.  http://plixi.com/p/60582952,367,875
2010-03-12,selenagomez,HAPPY BIRTHDAY TO MY BABY JAKE!!! @JakeTAustin I love you soooooo much babe!,887,3315
2010-04-07,selenagomez,Happy 4th of July America! I hope everyone has fun today.,388,1377
2010-04-07,selenagomez,"Happy 4th of July!!!!!! 

http://www.youtube.com/watch?v=aJbfDHMOKZw",347,900
2010-04-09,selenagomez,Did you watch the premiere of my new video A Year Without Rain last night on Disney Channel? You can watch it... http://fb.me/GCfsGOmB,337,1714
2010-04-09,selenagomez,Wow I am so happy you love my new video for A Year Without Rain that it's a trending topic. Thank YOU!,0,3698
2010-04-09,selenagomez,"Come to ""Selena Gomez live in Tulsa, OK - November 27!"" Saturday, November 27 from 7:00 pm to 10:00 pm. Tickets on... http://fb.me/FxXOk7oX",135,653
2010-04-09,selenagomez,So weird to be back in this dress..... Spanish version ;)  http://plixi.com/p/54972196,461,1116
2010-05-06,selenagomez,Hey Everyone--  Some important dates coming up...... less than two weeks away from the World premiere of my new... http://bit.ly/dbkdAa,192,598
2010-05-10,selenagomez,"Morning Everyone, I some auctions going on this month at Charity Buzz to help benefit this years Trick or Treat... http://fb.me/IRdIQuZE",113,518
2010-05-11,selenagomez,This guy created our show?? .. True story.  http://plixi.com/p/54992058,277,736
2010-05-11,selenagomez,"Come to ""Selena Gomez live at KISS108's Jingle Ball in Lowell, MA - Dec 9"" Thursday, December 9 from 7:00 pm to... http://fb.me/tFxyMGEN",148,563
2010-05-12,selenagomez,So glad Nancy Grace is better! Praying for you lady,169,569
2010-05-12,selenagomez,YES! Amazing-ness RT @NAMELEISONFIRE: Watching SUMMER HEIGHTS HIGH...in honor of @selenagomez lol,154,469
2010-05-12,selenagomez,"Cause baby you're a firework
Come on show 'em what your worth
Make 'em go ""Oh, oh, oh!""",2722,9772
2010-05-31,selenagomez,"Happy Memorial Day!!!  Here in Budapest we are working on the movie but, I wanted to stop in and say hello and let... http://bit.ly/cuSGsK",231,560
2010-06-08,selenagomez,Round and Round #1 on Radio Disney!!!!! Thank you for all the love.,733,2608
2010-06-10,selenagomez,"Morning Everyone-- 

In celebration of UNICEF's 60th anniversary of Trick or Treat for UNICEF I have decided to... http://fb.me/xXRoazFT",161,467
2010-06-10,selenagomez,Don't forget to go out to your local Toys R Us store and pick up your Trick or Treat for UNCEF boxes for Halloween... http://fb.me/sJdBurkw,161,752
2010-06-11,selenagomez,"Rock Mafias ""Big Bang"" is on iTunes!! SO goooood! Check it out.",470,2224
2010-06-11,selenagomez,Ohio!! So pumped for the show!!,245,741
2010-06-11,selenagomez,I love you guys! Getting ready for the show... THEN tomorrow I get to see my 'Monte Carlo' cast mates :) Yayyyyy!,565,1675
2010-06-11,selenagomez,Bracing myself for the east coast weather... It's gonna be cold!!,270,973
2010-06-11,selenagomez,"Come to ""Selena Gomez Live in Hidalgo, TX - March 5"" Saturday, March 5, 2011 from 6:00 pm to 10:00 pm. Tickets go... http://fb.me/Mx0A8Tyu",155,577
2010-06-11,selenagomez,Sorry everyone the myyoutube contest doesn't start until 12/8 if you subscribed to any of my recommended channels... http://fb.me/PPgReV61,163,533
2010-06-11,selenagomez,It's been a few days... 2 million+ on twitter!!!!! you are all absolutely amazing and I thank you all for your love and support.,581,1332
2010-06-11,selenagomez,Radio Disney Premiere on June 18th.  Music Video Word Premiere on Disney Channel June 20th at 8:25pm PST/EST.... http://bit.ly/bKRPzx,168,490
2010-06-14,selenagomez,"Morning Everyone-- 
I need some help from everyone. I have been working with the band creating our new set list for... http://bit.ly/cXa9cz",147,382
2010-06-15,selenagomez,Another quick look behind the scenes at the new music video Round and Round coming to Disney Channel this Sunday... http://bit.ly/aM1Tva,169,479
2010-06-16,selenagomez,#roundandround It's coming!  http://www.twitvid.com/6ETQB,270,940
2010-06-17,selenagomez,Are you ready for #roundandround?!?! http://www.twitvid.com/CLBCC,246,824
