Date,author,content,number_of_likes,number_of_shares
2011-12-24 17:32:00,shakira,Happy Holidays! ¡Felices Fiestas! -Shakx http://t.co/1Ool5LTp,938,1411
2012-01-01 00:43:00,shakira,Que en este 2012 se realicen todos los deseos del corazon! Feliz año nuevo! Shak,832,1975
2012-01-01 06:15:00,shakira,http://t.co/1i4GAHqo - Happy New Year!,471,698
2012-01-01 06:21:00,shakira,http://t.co/RlQf5AVu - Feliz Año Nuevo!,673,1033
2012-01-03 20:26:00,shakira,I'm crazy about Skrillex! Shak http://t.co/FZ89NoVL,427,782
2012-01-05 16:28:00,shakira,Are you ready for tomorrow's #AddictedToYou video premiere? RSVP to our Facebook event now! http://t.co/vX09aln3 http://t.co/ugoYFqcQ,225,420
2012-01-05 16:29:00,shakira,"¿Están preparados para el estreno de mañana de #AddictedToYou""? Aquí podrán hacer su RESERVA  http://t.co/vX09aln3  http://t.co/ugoYFqcQ",263,539
2012-01-06 15:59:00,shakira,Gracias a Nico Tovar! Se siente Barranquilla!! Shak http://t.co/Q6rQBkKK,236,428
2012-01-07 07:52:00,shakira,"En Portugal donde estuve filmando ayer mi nuevo vídeo.
Obrigada gente! Shak",493,1003
2012-01-07 19:24:00,shakira,El partido toma lugar en el estadio de Kiev que inauguré en Diciembre pasado! Qué  ilusión y qué nevios! Shak,329,954
2012-01-07 19:27:00,shakira,Today's game takes place at the stadium in Kiev that I helped inaugurate last December! So excited and nervous all at once! Shak,336,662
2012-01-07 20:42:00,shakira,"Felicidades España! Hoy han hecho historia!!
Y a mi 3...18 títulos, 8 a tu lado. Qué orgullosa estoy de tí! Shak",2689,11418
2012-01-08 16:53:00,shakira,"""Get It Started"" http://t.co/tlCNh7xZ",250,444
2012-01-08 21:37:00,shakira,"Wondering what time the Get It Started video premiere is tomorrow
where you are? Click http://t.co/789qN83l ShakHQ http://t.co/nVVKW6NC",311,317
2012-01-08 21:39:00,shakira,"Si se están preguntando la hora del estreno de #GetItStarted mañana, este link http://t.co/789qN83l les ayudará http://t.co/nVVKW6NC SHQ",303,521
2012-01-09 00:06:00,shakira,Falcao sensacional! Una y otra vez!! Shak,558,2130
2012-01-09 23:36:00,shakira,Felicidades a los niños de @fpiesdescalzos por haber ocupado el 2o lugar en el festival de danza intercolegial.En Barranquilla se baila así!,479,926
2012-01-10 19:38:00,shakira,"Shak now has a @Pinterest page to share the things that inspire her (books, places, fashion, philanthropy etc) - http://t.co/sCyNLy6o ShakHQ",168,240
2012-01-10 19:45:00,shakira,Sabían que Shak tiene una página en @Pinterest en la que compartirá todas las cosas que la inspiran? http://t.co/sCyNLy6o ShakiraHQ,260,389
2012-01-12 23:44:00,shakira,... Pero cuántas alegrías más me vas a dar? Shak http://t.co/0yuqMBth,1433,3031
2012-01-13 20:11:00,shakira,Check out Shakira's wonderful performance of Nothing Else Matters/Despedida Medley from the Live From Paris DVD http://t.co/RVYVa6SQ ShakHQ,217,294
2012-01-13 20:17:00,shakira,"No se pierdan la maravillosa interpretación de ""Nothing Else Matters""&""Despedida"" del último DVD de Shakira  http://t.co/RVYVa6SQ ShakiraHQ",349,584
2012-01-19 23:04:00,shakira,Another tour blooper / Otro vídeo con tomas falsas del tour http://t.co/iJSyTBlp ShakiraHQ,330,362
2012-01-23 18:56:00,shakira,Shakira & Ivete Sangalo - País Tropical (Live at Rock In Rio) http://t.co/IRHmKAib ShakiraHQ,318,620
2012-01-23 19:20:00,shakira,@PerezHilton You are the rock star!!,156,249
2012-01-28 16:45:00,shakira,Shakira becomes the first Colombian to be honored with France's Chevalier De L’Ordre des Arts et des Lettres medal! http://t.co/TiUSP8xR SHQ,211,588
2012-01-28 17:07:00,shakira,"Shakira fue condecorada hoy en Francia ""Caballero de las Artes y las Letras"". Para más información: http://t.co/F8FlJm4l   ShakiraHQ",275,637
2012-01-28 23:39:00,shakira,Merci a tous pour votre soutien et votre amour. J'aime La France!!  Shak,703,2245
2012-01-30 15:06:00,shakira,Photos of Shak at the NRJ Awards & Ordre des Arts et des Lettres in France at the weekend... http://t.co/P5CcOuLM  ShakiraHQ,229,283
2012-01-30 23:06:00,shakira,"Check out Shakira opening the NRJ Music Awards this weekend with her #1 hit single ""Je L'Aime à Mourir""  http://t.co/6UePyjUC ShakiraHQ",174,261
2012-01-30 23:07:00,shakira,"No se pierdan el vídeo de Shakira interpretando su hit ""Je L'Aime à Mourir"" en los premios NRJ http://t.co/6UePyjUC  ShakiraHQ",417,653
2012-02-01 19:27:00,shakira,"No se pierdan el vídeo de Shakira interpretando en vivo el hit de Francis Cabrel, ""Je l'aime à mourir"" http://t.co/vKWmWpnT ShakiraHQ",524,823
2012-02-03 18:06:00,shakira,Happy bday Chris Martin! Shak,254,653
2012-02-03 19:16:00,shakira,Shakira has been nominated for the 2012 Prince of Asturias Awards for her huminatarian work - http://t.co/m0epkHTN @barefootfound ShakiraHQ,202,462
2012-02-03 19:48:00,shakira,Shakira ha sido nominada al Premio Príncipe de Asturias de la Concordia por su labor humanitaria http://t.co/hmxyWNuC @fpiesdescalzos SHQ,327,640
2012-02-04 16:43:00,shakira,It costs around $100 to save a child from chronic #malnutrition. Want to learn about ways to help? http://t.co/GPml4wk3 #SahelNOW,257,725
2012-02-05 14:03:00,shakira,Here it is! Shakira's brand new #AddictedToYou video. Let us know what you think.... http://t.co/O4SQqDhc ShakiraHQ,229,686
2012-02-05 14:06:00,shakira,¡Ya está aquí! El nuevo vídeo de Shakira #AddictedToYou. Esperamos sus comentarios... http://t.co/O4SQqDhc ShakiraHQ,376,1470
2012-02-05 14:33:00,shakira,"Germany, you can watch the brand new #AddictedToYou video at http://t.co/O8d8nhNQ (everywhere else, it's at http://t.co/O4SQqDhc ) ShakiraHQ",142,316
2012-02-05 15:28:00,shakira,"Great to see #AddictedToYou trending all over the world. Press RT to
help it do the same where you are! http://t.co/O4SQqDhc
ShakiraHQ",125,595
2012-02-05 15:29:00,shakira,"Increíble ver #AddictedToYou como twitter trend. RT si nos quieres ayudar y hacer lo mismo en donde estés! http://t.co/O4SQqDhc 
ShakiraHQ",162,852
2012-02-05 16:20:00,shakira,"Obrigada! Shak RT @ShakiraOrkut Yeees! Vamos twittar, galera! :D Addicted to You twitter trend in Brazil right now",89,200
2012-02-05 16:20:00,shakira,Muchas Gracias! Se lo digo a @AnthonyMandler Shak RT  @SandyPamanes @Shakirafansclub Wow! Hermoso video #AddictedToYou qué buena producción,84,150
2012-02-05 16:21:00,shakira,Ya no puedo dormir ni comer... Shak RT @luis_yanguas Por el puro placer de flotar ahora si me llevó la corriente #AddictedToYou @shakira,98,188
2012-02-05 16:22:00,shakira,Es @AnthonyMandler! Shak RT @DannEpp_¿Quién es el director? Quiero ser su fan. #AddictedToYou,86,142
2012-02-05 16:23:00,shakira,Thank you! So happy you guys are liking it! Shak RT @amy_BSR @shakira #addictedtoyou video is beautiful BELLISSIMO I love you Shakira,103,195
