Date,author,content,number_of_likes,number_of_shares
2011-01-05 02:15:00,taylorswift13,It's @grantmickelson's birthday- Abraham Lincoln cardboard cutout: check.  http://t.co/mhUuvcV,889,1767
2011-01-10 08:06:00,taylorswift13,"Playing a show in Atlanta tomorrow night, then another the next night! Very excited. Very up too late. I really want cereal right now.",896,2153
2011-01-12 05:17:00,taylorswift13,3 GRAMMY NOMINATIONS !! :) :) :),2663,8977
2011-01-12 14:28:00,taylorswift13,Got a haircut.  http://t.co/cbNiYmb7,2324,4890
2011-02-06 19:28:00,taylorswift13,"Just arrived in sunny Florida for our show tonight and there are palm trees everywhere and Story of Us is on the radio! Hi, Ft. Lauderdale!",1192,2739
2011-02-07 00:18:00,taylorswift13,About to scamper onstage in Knoxville!,809,1618
2011-02-07 21:21:00,taylorswift13,"Louisville, I so sorry to have to postpone this show to Oct 11. This is my first time having to do this. I'm so, so sorry.",979,2786
2011-02-08 03:44:00,taylorswift13,Was watching SharkWeek and almost called @abiander to talk about how scary sharks are then got this overwhelming fear that they can hear me.,2541,4420
2011-02-09 07:28:00,taylorswift13,I did an interview with YouTube today and it was a lovely chat. http://t.co/vqi61Du,1292,2464
2011-02-10 04:09:00,taylorswift13,"I got to say 'peace up, A-town down' in atlanta then @UsherRaymondIV came out and sang 'Yeah!' with me. I'm thinking 'is this real life?'",1354,3420
2011-02-12 03:57:00,taylorswift13,"Guess what!! E! News and E!Online will world premiere the brand new video for ""Ours"" tomorrow night at 7 ET. #OursFriday",1065,4157
2011-02-12 04:27:00,taylorswift13,Aw! The #Wonderstruck team at Elizabeth Arden had this tree sent to my room in NYC! It's Christmas EVERYWHERE !!! http://t.co/KAApaqro,1115,2181
2011-02-12 22:03:00,taylorswift13,The premiere of the Ours video is tonight at 7PM Eastern on E! Watch?,1029,3504
2011-03-05 03:41:00,taylorswift13,"Headed back to Nashville after the MET Ball in NYC. Wondrous, magical, fantastic gowns EVERYWHERE. I had a really wonderful time.",595,1404
2011-03-05 03:42:00,taylorswift13,...And I got to tell Jimmy Fallon how awesome his 'Whip My Hair' sketch with Bruce Springsteen was.,660,1484
2011-03-08 03:19:00,taylorswift13,"DC, night one. What a beautiful, ravishing, deafeningly loud crowd. I was taking in every minute tonight, memorizing it.",885,1872
2011-03-08 05:54:00,taylorswift13,"After the show, we went to see Abe!! Pretty magical.  http://t.co/0gzRhtH",954,1715
2011-03-08 06:03:00,taylorswift13,It was my first time seeing the Lincoln Memorial up close (missed the school trip in 8th grade cause I had a show)  http://t.co/uhV6O9G,1272,2185
2011-03-08 23:22:00,taylorswift13,So stoked to play DC night two-- you ready?,713,1436
2011-03-09 07:12:00,taylorswift13,Both shows in San Jose were loud and awesome. Yay! Next stop = Sacramento!,1024,2205
2011-03-10 03:18:00,taylorswift13,Ahhh!!! Atlanta night 2: My backstage guests: T.I. Nelly and Young Jeezy!! @tip @Nelly_Mo @officialTM103 http://t.co/NOYnQdom,951,2483
2011-03-10 03:21:00,taylorswift13,"Singing 'Live Your Life' with TI tonight was unreal. LOUDEST screams from the crowd, 14,000 people, hands in the air- welcome back @Tip!!",860,2513
2011-03-11 20:33:00,taylorswift13,"About to wrap day 2 of a new music video that I can't WAIT for you to see!! While we wait, shall we all vote for the AMA's? :)",860,2871
2011-03-12 00:09:00,taylorswift13,Turn on E! Watch the video premiere!,873,2446
2011-03-12 06:04:00,taylorswift13,Today was the Billboard Women in Music event in NYC. So cool. http://t.co/lGYOqJUg,1844,4217
2011-04-05 19:04:00,taylorswift13,"""Ya gotta keep your head up OHHH, but you can let your down EHHH"" @andygrammer on the radio- Singing along on the way to rehearsal. Smiling!",739,1590
2011-04-11 00:03:00,taylorswift13,"Hanging out with my new roommate, Meredith. http://t.co/znj0SueU",3952,6207
2011-04-11 01:37:00,taylorswift13,@katyperry YES! And currently chasing her own tail. PS I miss you!,1592,3143
2011-04-11 23:25:00,taylorswift13,Cat lady. http://t.co/cvdtuAw3,2348,4591
2011-04-24 23:05:00,taylorswift13,Me and @grantmickelson are coloring.  http://t.co/XtBtM8F,1046,1908
2011-04-26 01:33:00,taylorswift13,Ahhhh!! Story of Us just came on the radio! I'm dancing around my apartment!!,2547,5911
2011-04-28 00:04:00,taylorswift13,The day @selenagomez and I learned a valuable lesson from a pillow.  http://t.co/dj59rgJ,3009,6232
2011-04-28 18:24:00,taylorswift13,We're at rehearsals watching videos of the tornadoes in Tuscaloosa. Our love and hopes and thoughts and prayers go out to everyone affected.,873,2974
2011-05-06 03:32:00,taylorswift13,Tonight these awesome girls gave me some of their light up fiberoptic hair clips. Light up hair??? What??!  http://t.co/ati7wvU,1652,2903
2011-05-08 04:40:00,taylorswift13,"Wait, what?! The 'Mean' video got nominated for a VMA!! BEYOND excited. If you feel like voting......  MTV.com :) :) :)",1423,4669
2011-05-10 07:10:00,taylorswift13,"Leaving Little Rock, headed to New Orleans. Writing a song on a moving bus.",1160,2615
2011-05-11 16:57:00,taylorswift13,Just landed in Houston! http://t.co/ScwjCg0C,1301,2415
2011-05-11 19:42:00,taylorswift13,Stadiums are pretty. Especially this one. http://t.co/AqvPd5Yw,944,1867
2011-05-12 17:58:00,taylorswift13,My song 'Enchanted' is in The Vow movie trailer! SO excited!  http://t.co/aEn1JXGU,2098,5054
2011-05-14 17:25:00,taylorswift13,I decided to open up our last tour rehearsal to the public! all ticket sales will go to tornado victims. Go to taylorswift.com for tickets!,946,2702
2011-05-18 18:55:00,taylorswift13,Standing on my new stage doing an interview for 60 Minutes next season- cannot believe this tour is about to start!!!! Eeee!!!,835,2102
2011-05-19 19:02:00,taylorswift13,I'll be streaming 2 of the songs from the Speak Now/Help Now rehearsal performance worldwide- Saturday at 9pm central on taylorswift.com :),726,2004
2011-05-20 03:08:00,taylorswift13,It's the guy who played Chewbacca's birthday today so we made a cake.  http://t.co/bXEkjiD,1104,2284
2011-05-22 00:11:00,taylorswift13,"Make up, stretching, warming up, running around saying good luck to everyone.. Speak Now/Help Now. Nashville! I'm excited.",1106,2708
2011-05-22 04:32:00,taylorswift13,I had the absolute time of my life playing our new show in Nashville tonight. I can't even thank you guys enough.,1045,2513
2011-05-22 23:48:00,taylorswift13,"At the Billboard Awards in Vegas! About to go find my seat. Got ""Waking Up in Vegas"" stuck in my head, @katyperry.",1850,4487
2011-05-23 04:56:00,taylorswift13,Yay! Yay! Three Billboard awards! Yay!!,1909,5995
2011-05-24 20:33:00,taylorswift13,"I'll be live with @realsway today at 7:53 pm ET on MTV to premiere ""The Story of Us"" video! Tweet ?'s with #askTaylor and I'll answer them:)",729,2119
