Date,author,content,number_of_likes,number_of_shares
2015-01-06 00:11:00,KimKardashian,Love this inside shot from @VogueBrasil. We shot this in Malibu 📷 @EllenVonUnwerth http://t.co/YaDMCZwI7X,6326,1700
2015-01-06 00:13:00,KimKardashian,Wet @VogueBrasil http://t.co/wItmCldhuY,7171,2185
2015-01-06 00:38:00,KimKardashian,I remember Kanye came to watch that shoot ! ❤️,6128,1043
2015-01-06 00:38:00,KimKardashian,I did a shoot yesterday w make up artist Jeanine Lobell &amp; remembered this shoot we did for Glamour about 5 years ago! http://t.co/8vcUlJfvYA,5907,1225
2015-01-06 00:54:00,KimKardashian,Keeping Up With The Kardashians Season 10 finale starts now!!! Tune in!,3242,709
2015-01-06 00:57:00,KimKardashian,"East coast, tune into E! now to catch our mid-season finale! #KUWTK",2281,451
2015-01-06 01:23:00,KimKardashian,How embarrassing right!!!!!!! I literally almost died!  https://t.co/KfBL52tDo9,3269,506
2015-01-06 01:27:00,KimKardashian,Love this episode!!! This trip was so much fun! Except at the car accident at the end!,4816,854
2015-01-06 01:28:00,KimKardashian,Seriously I'm so lucky to have a friend like @psychicmediumje he gives the best advice and the truth!!! No matter what! Had to call him up!,3739,495
2015-01-06 01:42:00,KimKardashian,I honestly couldn't believe we had car cams on when that happened!!!!! How scary was that seriously!!!!!!!!! I always wear my seat belt now!,9658,1618
2015-01-06 01:43:00,KimKardashian,I don't even know why I started crying after! Just so happy everyone is ok! Scariest experience of my life!,8596,1372
2015-01-06 01:49:00,KimKardashian,The crash was so scary &amp; the way it was edited doesn't even do it justice! I keep North out of the show so we had to cut around that footage,9448,1547
2015-01-06 01:50:00,KimKardashian,But as a mother this as the scariest things that could have happened w your child in the car. Khloe handled it so well!,10864,1652
2015-01-06 01:55:00,KimKardashian,If u only saw Northie's reaction! As a mom I got protective and left that scary moment out of the episode for her privacy,14637,2296
2015-01-06 03:32:00,KimKardashian,"Catch the mid-season finale, west coast! #KUWTK",4588,689
2015-01-06 15:51:00,KimKardashian,Glamour July 2015 Cover 📷 Patrick Demarchelier http://t.co/Y9F9Gub8fF,5328,1155
2015-01-06 16:00:00,KimKardashian,@KimKanyeKimyeFC,718,113
2015-01-06 16:01:00,KimKardashian,Glamour-Alex Morris captured my personality so well! 📷 Patrick Demarchelier. Hair by Oribe &amp; Make up James Kaliardos http://t.co/dZXLZdfRw4,7222,1319
2015-01-06 17:47:00,KimKardashian,"Caitlyn Jenner for Vanity Fair 📷 Annie Leibovitz! How beautiful! Be happy, be proud, live life YOUR way! http://t.co/39fryBwUqE",58611,27954
2015-01-06 18:16:00,KimKardashian,Everyone please follow @Caitlyn_Jenner on twitter! xoxo,23558,6640
2015-01-06 23:40:00,KimKardashian,Heading to @CFDA awards! Wearing the sickest custom dress from @proenzaschouler !!!!!,2941,447
2015-01-07 00:26:00,KimKardashian,San Fran Glam @robscheppy @jenatkinhair http://t.co/tu6cZbShcf,8653,1849
2015-01-07 00:33:00,KimKardashian,✌🏼 http://t.co/pkecPJ6Zg6,16051,4760
2015-01-07 00:41:00,KimKardashian,😘 http://t.co/ThEnxJhFz4,16553,4457
2015-01-07 14:58:00,KimKardashian,Cover of Rolling Stone!!!! 🔥💥 📷 @TerryRichardson 💄 @makeupbymario 💆🏽 @mrchrismcmillan 👗@carlynecerfdedudzeele http://t.co/VXsBAXmokz,7646,2245
2015-01-07 21:56:00,KimKardashian,💯 @RollingStone http://t.co/MIqumSLRJ9,11304,3465
2015-01-08 00:08:00,KimKardashian,Last pic of my baller baby! She's doing so good I'm just so proud! ⚽️⚽️⚽️ http://t.co/HLYQehkoVl,29348,7361
2015-01-08 16:05:00,KimKardashian,Happy Birthday @riccardotisci17 Missing you on your Bday!  LOVE YOU SO MUCH!!!!! http://t.co/o5UXHF1hx5,6151,994
2015-01-08 21:34:00,KimKardashian,Shot a make up tutorial today w @makeupbymario for http://t.co/M0m4mjqwvP #Contour #Lips #BlueSmokeyEye #DarkLip http://t.co/Pi7u9hloXm,9541,2457
2015-01-09 18:46:00,KimKardashian,Teamed up w/ @AlexanderWangNY for a AW x @DoSomething capsule all sales support youth activism &amp; volunteering #WANG10 http://t.co/b4aTG9Z9VP,8110,2200
2015-01-09 18:50:00,KimKardashian,Kanye x Alexander Wang x Steven Klein x Do Something http://t.co/PnvFv8gm5H,6985,2872
2015-01-09 20:00:00,KimKardashian,Loved this Idea for the September covers of @interviewmag face timing with @Mertalas #interviewgang http://t.co/PPPLfFubxr,2239,590
2015-01-09 20:06:00,KimKardashian,September Selfie Cover of @interviewmag #InterviewGang http://t.co/ASw0p0jkrH,4991,1178
2015-01-09 21:41:00,KimKardashian,The awkward moment when Kourtney walks into her room &amp; I'm in her bed taking selfies... @InterviewMag http://t.co/xvpgb2M5Aa,6779,1587
2015-01-09 21:42:00,KimKardashian,but little does she know I'm doing a photo shoot for @InterviewMag face timing with one of my fave photographers @mertalas #InterviewGang,2935,619
2015-01-09 21:44:00,KimKardashian,Kissey face for @interviewmag #InterviewGang http://t.co/kx4cTKo907,6831,1676
2015-01-09 22:13:00,KimKardashian,September issue of @interviewmag face timing with @mertalas #InterviewGang http://t.co/aNUn2yxp1j,7555,2292
2015-01-10 00:33:00,KimKardashian,@jemalone122 so sweet thank you so much for this!!!,207,75
2015-01-10 02:28:00,KimKardashian,"Since Khloe stole my cooking with the k's live stream, log on now because I'm cooking with Caitlyn!",4569,618
2015-01-10 03:10:00,KimKardashian,Who saw @TheEllenShow today?Well this is right before I went on...Northie &amp; Ellen brushing My Little Pony's hair lol http://t.co/2DoYOXV1sy,20758,4843
2015-01-10 15:42:00,KimKardashian,Happy Birthday @MakeupByMario  Love you so much!!!! http://t.co/ojtDaTAQ11 http://t.co/gHhTqZ5XbS,4575,786
2015-01-10 16:32:00,KimKardashian,@MyleezaKardash OMG literally just was texting Olivier wait til the bounce back happens!!!!,400,121
2015-01-10 20:47:00,KimKardashian,MIDNIGHT SECRET MAKE UP SESSIONS BTS @patmcgrathreal #Gold001 https://t.co/CvsbgdhjOQ https://t.co/Ax7QqsBjQH,2010,469
2015-01-10 22:20:00,KimKardashian,CITY SLICKER http://t.co/gxzMhklXDJ http://t.co/ZHVC9YJoQb,4114,986
2015-01-11 05:30:00,KimKardashian,Still fits... https://t.co/l7N7NjCeyP,12375,2713
2015-01-11 05:43:00,KimKardashian,I think I nailed the Kim K costume! 🕸👻🕷 https://t.co/ENv3tXp9GM,23295,6624
2015-01-11 19:59:00,KimKardashian,The @DashDolls go camping in tonight's episode! Don't miss it! 9/8c on E! right after the KUWTK rewind special!! https://t.co/58OiPCAdO8,2990,749
2015-01-11 22:06:00,KimKardashian,@Aussie_Kardash hi doll! #bff,205,67
2015-01-11 22:08:00,KimKardashian,@LisJeffferson lol! Very!!!! 😜,201,51
