Date,sentiment_score,heuristic_score
2009-05-04,0.5255,-inf
2009-05-05,0.7712,-inf
2009-05-08,0.6468,
2009-05-12,0.3235,
2009-05-13,0.7506,-inf
2009-05-14,0.2023,-inf
2009-05-15,0.7506,-inf
2009-05-16,0.0,
2009-05-17,0.7717,-inf
2009-05-18,0.5859,-inf
2009-05-19,0.0,
2009-05-20,1.2498,-inf
2009-05-22,0.7944,
2009-05-23,0.3802,-inf
2009-05-26,0.3612,-inf
2009-05-27,0.7506,-inf
2009-05-28,0.0,
2009-06-03,0.0,
2009-06-05,0.3935,-inf
2009-06-08,0.7506,-inf
2009-06-14,0.2244,-inf
2009-06-15,0.7269,-inf
2009-06-18,-0.2263,inf
2009-06-21,0.8687,-inf
2009-06-23,0.0,
2009-06-24,0.0,
2009-06-26,0.7088,-inf
2009-06-30,0.4215,-inf
2009-07-04,0.8777,-inf
2009-07-13,0.3818,-inf
2009-07-15,-0.0516,inf
2009-07-22,0.9215,-inf
2009-07-28,0.0,
2009-08-04,0.5719,-inf
2009-08-11,0.0,
2009-08-14,0.5255,-inf
2009-08-20,0.0,
2009-08-21,-0.1531,inf
2009-08-23,-0.1531,inf
2009-08-29,0.0,
2009-09-01,-0.101,inf
2009-09-14,0.6705,-inf
2009-09-29,0.0,
2009-10-05,0.0,
2009-10-14,0.4215,-inf
2009-10-22,0.0,
2009-10-27,0.807,-inf
2009-11-02,0.6369,-inf
2009-11-16,0.2732,-inf
2009-11-26,0.7339,-inf
2009-12-03,0.0,
2009-12-23,0.9719,-inf
2010-01-12,0.8588,-inf
2010-01-15,0.0,
2010-01-21,0.0,
2010-01-22,0.0,
2010-02-07,0.952,-inf
2010-02-10,0.0,
2010-02-11,0.4576,-inf
2010-02-26,0.6113,-inf
2010-03-05,0.7906,-inf
2010-03-12,0.6696,-inf
2010-03-15,0.6249,-inf
2010-03-17,0.7717,-inf
2010-03-18,0.743,-inf
2010-03-19,0.8221,-inf
2010-03-23,0.7184,-inf
2010-03-24,0.3182,-inf
2010-03-29,0.0,
2010-03-31,0.1695,-inf
2010-04-01,0.9259,-inf
2010-04-06,1.8843,-inf
2010-04-07,0.5983,-inf
2010-04-09,0.8733,-inf
2010-04-12,0.8777,-inf
2010-04-13,0.636,-inf
2010-04-14,0.7474,-inf
2010-04-16,0.34,-inf
2010-04-20,0.0,
2010-04-21,0.7088,-inf
2010-04-22,0.8268,-inf
2010-04-23,0.5848,-inf
2010-04-26,0.0,
2010-04-28,0.7712,-inf
2010-04-29,0.7717,-inf
2010-04-30,0.8689,-inf
2010-05-03,0.7908999999999999,
2010-05-05,0.9117,-inf
2010-05-13,-0.1531,inf
2010-05-17,0.8957,-inf
2010-05-19,0.0,
2010-05-20,0.5106,
2010-05-21,0.0,
2010-05-24,0.9606,-inf
2010-05-25,1.4647999999999999,-inf
2010-05-26,1.1934,-inf
2010-05-27,0.836,-inf
2010-05-28,0.91,-inf
2010-06-02,0.4939,-inf
2010-06-04,1.1453,-inf
2010-06-05,0.6369,-inf
2010-06-08,0.7351,-inf
2010-06-09,0.7351,
2010-06-10,0.4404,-inf
2010-06-15,0.5574,
2010-06-17,0.5267,
2010-06-21,0.6597,
2010-06-22,0.6249,-inf
2010-06-24,0.0,
2010-06-28,0.6249,-inf
2010-07-01,0.0,
2010-07-02,1.1701,-inf
2010-07-06,0.0,
2010-07-14,0.9286,-inf
2010-07-19,0.6361,
2010-07-20,0.8481,-inf
2010-07-29,1.2758,
2010-07-30,0.0,
2010-08-04,-0.3062,inf
2010-08-09,0.0,
2010-08-12,1.8075999999999999,
2010-08-19,1.405,-inf
2010-08-23,-0.2924,inf
2010-08-24,0.8807,-inf
2010-08-26,0.8356,-inf
2010-08-30,0.5994,-inf
2010-08-31,0.8478,-inf
2010-09-01,0.7506,-inf
2010-09-02,0.0,
2010-09-07,0.7644,
2010-09-09,0.0,
2010-09-14,0.902,-inf
2010-09-15,0.875,-inf
2010-09-16,0.6765,-inf
2010-09-17,0.3182,-inf
2010-09-23,0.1695,-inf
2010-09-24,0.0,
2010-09-30,0.4939,-inf
2010-10-01,0.4215,-inf
2010-10-06,0.8074,-inf
2010-10-07,1.4606,-inf
2010-10-14,1.1286,-inf
2010-10-21,0.5948,-inf
2010-10-27,0.2263,-inf
2010-10-28,0.8555,-inf
2010-11-03,0.0,
2010-11-04,0.4242,-inf
2010-11-11,0.5627,-inf
2010-11-15,0.4404,-inf
2010-11-18,0.6588,
2010-11-22,0.9274,-inf
2010-11-24,1.7645,-inf
2010-11-29,0.8516,-inf
2010-12-02,0.8126,-inf
2010-12-09,0.8398,-inf
2010-12-10,0.908,-inf
2010-12-13,0.802,
2010-12-14,0.0,
2010-12-16,0.9112,-inf
2010-12-23,0.8467,-inf
2010-12-30,0.8932,-inf
2011-01-12,0.0,
2011-01-13,0.2401,-inf
2011-01-21,0.15150000000000002,
2011-01-27,-0.3595,
2011-01-31,-0.3252,
2011-02-07,0.6369,-inf
2011-02-10,0.9081,-inf
2011-02-11,0.0,
2011-02-15,0.0,
2011-02-16,0.8977,
2011-02-17,0.0,
2011-02-18,0.0,
2011-02-22,0.0,
2011-02-23,0.0,
2011-02-28,0.4384,
2011-03-02,-0.2244,
2011-03-03,0.1695,-inf
2011-03-04,0.0,
2011-03-07,0.3612,
2011-03-08,0.0,
2011-03-10,0.0,
2011-03-11,0.1695,-inf
2011-03-14,0.2732,
2011-03-15,0.5727,
2011-03-16,0.9158,
2011-03-17,0.0,
2011-03-18,1.3278,-inf
2011-03-21,0.9706,
2011-03-22,0.0,
2011-03-23,0.0,
2011-03-28,0.7003,
2011-03-30,0.0,
2011-03-31,0.0,
2011-04-01,0.5511,-inf
2011-04-12,0.4019,-inf
2011-04-19,0.0,
2011-04-25,0.0,
2011-04-29,0.3182,-inf
2011-05-03,0.0,
2011-05-09,0.0,
2011-05-13,0.2003,
2011-05-16,1.2703,-inf
2011-05-17,-0.1531,inf
2011-05-19,0.0,
2011-05-20,0.5,-inf
2011-05-23,0.9432,
2011-05-26,-0.2263,inf
2011-05-27,0.9337,-inf
2011-06-01,0.4404,
2011-06-02,0.0,
2011-06-06,0.2732,-inf
2011-06-07,0.0,
2011-06-09,0.4754,-inf
2011-06-14,0.34,
2011-06-16,0.8482,-inf
2011-06-20,0.4574,-inf
2011-06-21,0.7735,
2011-06-23,0.3612,-inf
2011-06-24,0.0,
2011-06-27,0.8569,-inf
2011-07-01,1.2659,-inf
2011-07-05,0.802,
2011-07-06,-0.7603,inf
2011-07-07,0.5462,
2011-07-08,-3.0577,inf
2011-07-11,0.0,
2011-07-12,0.265,
2011-07-13,-0.3612,inf
2011-07-14,-0.20539999999999992,
2011-07-15,0.4638,
2011-07-18,1.0747,
2011-07-19,-0.7837000000000001,
2011-07-20,-0.07240000000000002,
2011-07-21,-0.6249,inf
2011-07-22,-0.5859,
2011-07-25,-0.5165,
2011-07-26,-1.1588,
2011-07-27,-1.6458,
2011-07-28,-0.6172,
2011-07-29,0.9924999999999999,
2011-07-30,-0.6602,inf
2011-08-01,0.22810000000000002,
2011-08-02,-1.3861999999999999,
2011-08-03,0.14439999999999997,
2011-08-04,-0.7599,
2011-08-05,-0.6344000000000001,
2011-08-08,0.3818,
2011-08-09,-0.6721000000000001,
2011-08-10,0.11639999999999995,
2011-08-11,0.0,
2011-08-12,0.7201,-inf
2011-08-13,0.8409000000000001,
2011-08-15,-0.012900000000000023,
2011-08-16,0.0,
2011-08-17,-0.007499999999999951,
2011-08-18,-0.07799999999999996,
2011-08-19,0.9621999999999999,
2011-08-22,-0.24459999999999998,
2011-08-23,-1.7359,
2011-08-24,-0.3986,
2011-08-25,-0.08450000000000002,
2011-08-26,0.4307000000000001,
2011-08-29,-0.45629999999999993,
2011-08-30,-0.3207,
2011-08-31,-0.40470000000000006,
2011-09-01,-1.7413,
2011-09-02,-0.7708999999999999,
2011-09-06,-0.8872,
2011-09-07,0.7845000000000001,
2011-09-08,1.3715000000000002,
2011-09-09,-0.07390000000000002,
2011-09-12,-0.19469999999999998,
2011-09-13,1.6772999999999998,
2011-09-14,-0.013900000000000023,
2011-09-15,1.4983,
2011-09-16,2.3217,
2011-09-19,0.406,
2011-09-20,-0.7686,
2011-09-21,1.4123,
2011-09-22,-0.5928000000000001,
2011-09-23,0.4511,
2011-09-26,-1.2614,inf
2011-09-27,-0.6653,
2011-09-28,2.2538,
