Date,author,content,number_of_likes,number_of_shares
2009-12-18 07:36:00,Twitter,Twitter's DNS records were temporarily compromised but have now been fixed. We will update with more information soon.,73,504
2009-12-18 21:59:00,Twitter,Update on the DNS issue of last night: http://blog.twitter.com/2009/12/update-on-last-nights-dns-disruption.html,55,107
2009-12-22 18:39:00,Twitter,Look! A shiny new blog design. http://blog.twitter.com/ Thanks @vl!,53,72
2009-12-23 17:29:00,Twitter,"If you use a Palm Pre, here are some reviews of the Twitter apps available to you: http://bit.ly/4TY66R #appwednesday",40,41
2009-12-23 22:38:00,Twitter,Twitter acquires GeoAPI—location awareness to get awesome-er! http://bit.ly/4Cyiu0,67,104
2009-12-28 00:43:00,Twitter,"Sunday Times: ""Why we can never rest: a year in the life of Twitter"" http://bit.ly/6pPFy6",121,133
2009-12-29 23:54:00,Twitter,Did you know about all of the accounts we have for different news across Twitter? Here's the full list: http://bit.ly/6HDpYG,235,54
2009-12-30 00:08:00,Twitter,Here's a link to that same list where you won't have to login to view: http://twitter.com/twitter/more-twitter-accounts,142,34
2009-12-30 19:45:00,Twitter,People are loving @twidroid for Android phones. Do you like? #appwednesday,37,46
2009-12-30 23:56:00,Twitter,Time is of the essence on New Year's Eve. Follow the countdown with @timessquarenyc. Should be fun!,53,99
2009-12-31 21:16:00,Twitter,"Retweet is back! 
http://status.twitter.com/post/310212236/working-on-retweet-issue",62,334
2010-01-03 19:17:00,Twitter,Please read the status blog for information if you are missing tweets in your timeline: http://bit.ly/cHJB9w,60,162
2010-01-03 21:16:00,Twitter,Enabling a Rush of Innovation http://bit.ly/bKuUAD,64,97
2010-01-04 17:33:00,Twitter,"It's official, @shitmydadsays is published just in time for Easter. What a family friendly gift! http://shitmydadsays.com/book",73,146
2010-01-08 05:39:00,Twitter,"Update on tonight's scheduled maintenance & its impact on you:
http://t.co/zRm5Ghb",21,18
2010-01-11 19:19:00,Twitter,Testing Promoted Tweets in the timeline with HootSuite: http://t.co/hS4G0iS,83,106
2010-01-11 22:38:00,Twitter,Discover what's happening around the Midterm Elections http://t.co/vRY7cuc,57,84
2010-01-12 18:50:00,Twitter,"Tweet for World Aids Day now, because by 2015 no child should be born with HIV http://t.co/VmMLScB #turnred",106,1687
2010-01-13 01:10:00,Twitter,Investigating SMS delivery issues http://bit.ly/7hqj33,32,50
2010-01-13 07:10:00,Twitter,SMS delivery temporarily disabled http://bit.ly/5wP2JR,34,89
