Date,author,content,number_of_likes,number_of_shares
2015-09-12 20:18:00,YouTube,"You have cat to be kitten us right meow, @ConnorFranta! https://t.co/pMy0YoNZ1s #YouTubeRewind https://t.co/KpU8Fu4zIb",4455,1409
2015-09-12 20:55:00,YouTube,Our new Trending Tab is pure 🔥🔥🔥 → https://t.co/c5gaOfQLVA #YouTubeRewind https://t.co/UPfVIGvITS,1505,307
2015-09-12 21:08:00,YouTube,.@pewdiepie and @ZozeeBo go back … way back. https://t.co/pMy0YoNZ1s #YouTubeRewind https://t.co/xaw7WFLr6h,4004,1132
2015-09-12 21:17:00,YouTube,"Hallelujah, it’s raining #YouTubeRewind. https://t.co/pMy0YoNZ1s @gregorybrothers @laurDIY @MKBHD @CaseyNeistat https://t.co/hE0D6qo40p",3027,623
2015-09-12 21:27:00,YouTube,Who can say where the road goes? https://t.co/pMy0YoNZ1s #YouTubeRewind https://t.co/nHMLvDxukD,5292,1280
2015-09-12 21:33:00,YouTube,@markiplier Call us on our cell phone once in a while why dontchya. 😛 #YouTubeRewind,1067,160
2015-09-12 21:38:00,YouTube,"Oh, and in 2015, we also did it for the Vine → https://t.co/4iaFYUisIC #YouTubeRewind",5458,1846
2015-09-12 21:41:00,YouTube,"@pewdiepie If they don't watch #YouTubeRewind, you can brofist pugs at them.",1258,224
2015-09-12 21:44:00,YouTube,@PointlessBlog So much power. So much fury. #YouTubeRewind,808,88
2015-09-12 21:46:00,YouTube,"@Jenna_Marbles Never thought you'd be getting a double hug in a spacesuit for #YouTubeRewind, did you?",703,78
2015-09-12 21:46:00,YouTube,@LastWeekTonight Hooray for Wednesday! And @iamjohnoliver! And #YouTubeRewind!,86,8
2015-09-12 21:48:00,YouTube,"@IISuperwomanII Ah no way Lilly, thank you for being one of those very amazing people! #YouTubeRewind",687,113
2015-09-12 21:49:00,YouTube,@kingsleyyy Time flies when you're having fun in the #YouTubeRewind ball pit!,156,17
2015-09-12 21:50:00,YouTube,@lifeaseva LEGEND. #YouTubeRewind,239,33
2015-09-12 21:50:00,YouTube,@MKBHD The BEST. Let's do it again soon! #YouTubeRewind,161,14
2015-09-12 21:52:00,YouTube,@GameGrumps He actually was in the scariest sequence of #YouTubeRewind ever. ROSS MADE HISTORY!,1211,180
2015-09-12 21:52:00,YouTube,@TTLYTEALA Best beach party ever? #YouTubeRewind,301,59
2015-09-12 21:53:00,YouTube,@ijustine Whoever's under that gold hat ... we know her ... she's awesome. #YouTubeRewind,301,37
2015-09-12 21:53:00,YouTube,@LaurenGiraldo Done. #YouTubeRewind,83,6
2015-09-12 21:53:00,YouTube,When #YouTubeRewind finally drops. https://t.co/pMy0YoNZ1s @Jenna_Marbles @camerondallas @RayWJ https://t.co/1u5bhIhBSi,4879,1344
2015-09-12 22:37:00,YouTube,".@MsRebeccaBlack and the Try Guys are partyin', partyin' YEAH! https://t.co/pMy0YoNZ1s #YouTubeRewind #funfunfunfun https://t.co/SLFB9FY1YG",2348,447
2015-09-12 23:01:00,YouTube,#YouTubeRewind ALL THE WAY ACROSS THE SKY! https://t.co/pMy0YoNZ1s https://t.co/sfSpql167u,2359,470
2015-09-12 23:18:00,YouTube,@Rubiu5 Buen consejo. #YouTubeRewind,1020,272
2015-09-12 23:18:00,YouTube,@CaptainSparklez you shine even in the darkest night at Freddy’s. ✨,520,60
2015-09-12 23:19:00,YouTube,@gracehelbig Beautiful angels who know the words to the song! (lol we love you Grace),956,92
2015-09-12 23:19:00,YouTube,@MaddiBragg We spy with our little eyes something that begins with M and ends in “addi in #YouTubeRewind” 👀,287,38
2015-09-12 23:21:00,YouTube,@EeOneGuy вчера ты сказал завтра! #YouTubeRewind,1653,126
2015-09-12 23:21:00,YouTube,@MsRebeccaBlack Back seat! Good choice for #YouTubeRewind.,153,24
2015-09-12 23:22:00,YouTube,@TPAIN You are majestic. #YouTubeRewind,82,7
2015-09-12 23:22:00,YouTube,@laurDIY Sound the alarms! Get the ice buckets! 🚨🚨🚨 #YouTubeRewind,169,15
2015-09-12 23:23:00,YouTube,@AaronRhodes_ @AustinRhodes_ You guys look epic. Sorry to put you on different dress teams. #YouTubeRewind,103,10
2015-09-12 23:24:00,YouTube,@korndiddy @MsRebeccaBlack @EugeneLeeYang @nedacus @KeithHabs And all of this on a Wednesday of all days!,124,8
2015-09-12 23:24:00,YouTube,"@TimothyDeLaG When we think of you, we are going to think of this image from now on. #YouTubeRewind",122,12
2015-09-12 23:24:00,YouTube,@RoiWassabi This is either the beginning of a #YouTubeRewind gang fight or a musical.,329,42
2015-09-12 23:25:00,YouTube,@flula THE STEPS TO #YOUTUBEREWIND SUCCESS.,270,19
2015-09-12 23:25:00,YouTube,@toddyrockstar You v Bethany was EPIC. We still have goosebumps. #YouTubeRewind,211,20
2015-09-12 23:25:00,YouTube,@flula never change. #YouTubeRewind,229,23
2015-09-12 23:26:00,YouTube,.@smosh and @tyleroakley are straight floatin on a boat in the deep blue sea. https://t.co/rmd3a4NMAd #YouTubeRewind https://t.co/QKVfFhu6pS,6178,1659
2015-10-12 10:00:00,YouTube,.@hajimesyacho gets his Shia on for #YouTubeRewind. https://t.co/vtS0cgiMgg,1419,209
2015-10-12 15:31:00,YouTube,"Ouch, @AmazingPhil … that really hurt! https://t.co/pMy0YoNZ1s #YouTubeRewind https://t.co/cwh2paTIpp",23668,7572
2015-10-12 16:30:00,YouTube,Nothing but Diet Coke and Mentos for @GavinFree and @DanielGruchy. https://t.co/pMy0YoNZ1s #YouTubeRewind https://t.co/2ipe3lVHkF,2564,359
2015-10-12 16:57:00,YouTube,And #YouTubeRewind forever ever ever. https://t.co/pMy0YoNZ1s https://t.co/eokoElDk7R,3448,475
2015-10-12 17:30:00,YouTube,Just bloody DO IT! https://t.co/pMy0YoNZ1s #YouTubeRewind @iamjohnoliver https://t.co/Ym8ZPRAIjP,1777,323
