Date,author,content,number_of_likes,number_of_shares
2013-01-10 01:03:00,jimmyfallon,"Couples are splitting the cost of an engagement ring. Because every girl dreams of hearing her man say, ""You owe me $2,000.” #fallonmono",1220,1384
2013-01-10 16:27:00,jimmyfallon,"Tonight: @RebelWilson, @JoelOsteen and a performance of ""Royals"" by @lordemusic!! #LateNight #LNJF",597,398
2013-01-10 17:37:00,jimmyfallon,Congrats to my man @jtimberlake on the release of the 20/20 Experience 2 of 2. Keep killing it dude!,1419,916
2013-01-10 19:47:00,jimmyfallon,The Avett Brothers sing Heavy Metal http://t.co/R9m190wukq,409,469
2013-01-11 01:05:00,jimmyfallon,"The most popular Halloween costume in Boston today was ""Hungover guy in the same clothes as yesterday."" #fallonmono",2314,2218
2013-01-11 17:58:00,jimmyfallon,"Tonight we've got Harrison Ford, @PadmaLakshmi &amp; music from @BigSean ft. Kid Cudi. #LateNight #LNJF",230,119
2013-01-11 18:02:00,jimmyfallon,"Last night, Tux reunited on our show. http://t.co/n4itvvh78w",215,89
2013-01-11 23:13:00,jimmyfallon,Harrison Ford pierced my ear on our show tonight. #ThereWillBeBlood http://t.co/8lfqVDMNLd,605,225
2013-01-11 23:36:00,jimmyfallon,No joke. Harrison Ford pierced my ear. Then we wore matching earrings. http://t.co/hOLQ0P00dj,1095,532
2013-01-11 23:53:00,jimmyfallon,"Thank you, NYC Marathon, for letting marathon runners do the one thing they love most: tell people they ran a marathon. #ThankYouNoteFriday",1862,2003
2013-02-10 00:17:00,jimmyfallon,"Michael Jordan said he could've beaten LeBron 1-on-1 in his prime. Then LeBron said, ""No kidding. Back then, I was only 9."" #fallonmono",1541,2639
2013-02-10 05:29:00,jimmyfallon,#lorde,1237,990
2013-02-10 05:31:00,jimmyfallon,@pulmyears she was FANTASTIC,37,7
2013-02-10 05:34:00,jimmyfallon,Rewind and watch again. It’s great. #lorde,519,283
2013-02-10 05:43:00,jimmyfallon,"“@juhasaarinen: RT @TrendsNZ: Jimmy Fallon, @jimmyfallon is now trending in New Zealand http://t.co/o5O14679ep Uh, why?” You know.",110,52
2013-02-10 05:47:00,jimmyfallon,“@EriLala: @jimmyfallon is trending in iowa too! xo” that’s what I’mtalking about!!! Iowa!!,221,80
2013-02-10 05:48:00,jimmyfallon,TigersOnAGoldLeash,729,652
2013-02-10 15:13:00,jimmyfallon,@CourtneyBayne cute kid!,33,2
2013-02-10 15:29:00,jimmyfallon,"From last night, @lordemusic performs ""Royals"". So good. http://t.co/AuZQxTfBMB",703,511
2013-02-10 18:59:00,jimmyfallon,"Tonight: Paul Giamatti, Anthony Mackie &amp; music from @msmrsounds. Plus, Audience Suggestion Box!! #LateNight #LNJF",94,57
2013-02-10 20:01:00,jimmyfallon,"Let's play the Hashtag game! Tweet out something funny, weird, or embarrassing your mom texted and tag with #momtexts. Could be on our show!",293,281
2013-02-10 20:02:00,jimmyfallon,"I once got a text from my mom that said, ""HOW DO YOU TURN CAPS LOCK OFF??"" #momtexts",1420,1030
2013-02-11 02:31:00,jimmyfallon,Tonight's Late Night http://t.co/TnEU26hbKc The Piercing,338,163
2013-02-11 03:10:00,jimmyfallon,Brooklynnnnnnnnn!!!!!,1105,878
2013-02-11 14:17:00,jimmyfallon,@questlove ha. He knows what's goin on.,103,18
2013-03-09 14:12:00,jimmyfallon,We are back with a brand new Late Night tonight in our new studio!! (It looks like the old one. But I’ll explain tonight.) See ya!,763,424
2013-03-09 20:14:00,jimmyfallon,"Tonight, for our first show back, we've got @michaelstrahan, @ddlovato &amp; music from @NekoCase. #LateNight #LNJF #funtimes",530,593
2013-03-09 23:55:00,jimmyfallon,"Mark Zuckerberg has launched a new project to bring Internet access to everyone in the world. It's called, “Starbucks.” #fallonmono",881,1115
2013-03-10 00:26:00,jimmyfallon,"After 70 years in business, New York City's Opera is filing for bankruptcy. Or as the fat lady put it, “Soooo, now?"" #fallonmono",972,1135
2013-03-10 01:19:00,jimmyfallon,“@davidagreco: @jimmyfallon What do you not like (besides mayonnaise)?” Mushrooms.,213,70
2013-03-10 02:08:00,jimmyfallon,“@hooliganRN8051: @jimmyfallon You don't like mushrooms OR mayo?!?  Are you human???” Not sure.,252,77
2013-03-10 18:21:00,jimmyfallon,Tonight: My pal @Mariobatali is back on the show!! Plus @MeredithVieira &amp; your #momtexts tweets in Late Night Hashtags! #LateNight #LNJF,112,66
2013-03-12 02:26:00,jimmyfallon,“@PrinceAmukamara: . @jimmyfallon let the roast begin http://t.co/8OZ50gJNZT” ha ha! Let’s go!,1745,471
2013-04-09 16:30:00,jimmyfallon,"Fun show tonight. @heidiklum, Mayor @CoryBooker, music from @thejulieruin + the Puppy Predictors predict Thursday's NFL season opener. #LNJF",149,99
2013-04-09 18:56:00,jimmyfallon,"""If you sass me one more time, I'm gonna have to go Super Slap-a-Fool on your ass."" #makebuscemisay",510,378
2013-04-09 18:56:00,jimmyfallon,"Special hashtag game! Steve Buscemi’s on the show, so tweet something funny/weird you want him to say &amp; he’ll say it! Tag w/ #MakeBuscemiSay",208,181
2013-04-10 01:33:00,jimmyfallon,"Disney World is helping employees sign up for Obamacare. Now Sneezy is on Claritin, Sleepy is on Adderall &amp; Grumpy is on Prozac. #FallonMono",2681,4876
2013-04-10 18:00:00,jimmyfallon,"Tonight! @ArtieQuitter, @tavitulle, music from @Phantogram plus it's #ThankYouNoteFriday. #LateNight #LNJF",135,89
2013-04-10 19:33:00,jimmyfallon,Goodbye Boston! Honored to have made the wall at Union Oyster House. http://t.co/VNdJAg3Eao,320,157
2013-04-10 22:17:00,jimmyfallon,@awilliamson7 that was fun. See you soon!,33,11
2013-04-10 22:18:00,jimmyfallon,@kimkhazeion7 thanks for the book!!,28,8
2013-04-11 20:23:00,jimmyfallon,"We're back tonight with Simon Baker, @SenJohnMcCain &amp; music from The Dismemberment Plan (@thedplan). #LateNight #LNJF",214,89
2013-04-12 19:55:00,jimmyfallon,Goodbye Portland!! I will be back for this insanity. #CaptainMyCaptain http://t.co/SKOePOnEMK,414,159
2013-04-12 19:58:00,jimmyfallon,Annd these awesome 30 pound sandwiches. #Portland #NoFilterImJustGettingFat http://t.co/iL9XfThyE0,434,133
2013-04-12 21:28:00,jimmyfallon,Thank you @KGWNews for the awesome pink box of Voodoo. Looking forward to coming back.,353,111
2013-05-09 00:49:00,jimmyfallon,"Research says Facebook has changed how our brains work. Before Facebook, when you said you liked something, you actually did. #fallonmono",1658,2733
2013-05-09 18:35:00,jimmyfallon,"Tonight we've got Steve Buscemi, @Bethenny Frankel, Chef Daniel Humm and from @nbcagt Illusionists Leon Etienne &amp; Romy Low. #LateNight #LNJF",171,101
2013-05-09 23:58:00,jimmyfallon,"The Ravens play the Broncos in the NFL opener tonight. Yeah, 3 hours of Peyton Manning – and that's just the commercials. #fallonmono",876,1177
2013-05-10 01:53:00,jimmyfallon,Promo for our show tonight. http://t.co/Pd6YiFOHsM Brand new!,132,80
2013-05-11 00:20:00,jimmyfallon,@SenJohnMcCain Thank you again for being here. See you online. #poker,50,15
2013-05-11 00:22:00,jimmyfallon,@sylvialaureles cool! Thanks.,73,11
2013-05-11 03:56:00,jimmyfallon,Fresh new show tonight! iPhone apps!!! Monologue!!! Closing credits!!!,416,141
2013-05-11 04:13:00,jimmyfallon,“@mwilmes: @jimmyfallon no commercials? Weak Fallon.” Oh yeah! Commercials too!! Thanks.,149,62
2013-05-11 20:58:00,jimmyfallon,"Tonight we've got @LucyLiu, @ZacharyQuinto, cooking with @GDeLaurentiis &amp; we're all playing Catch Phrase! #LateNight #LNJF",318,136
2013-05-12 00:50:00,jimmyfallon,Loading up on some Dick's before the show tonight. #Paramount #Seattle http://t.co/p4nHpRXCYF,922,355
2013-05-12 06:38:00,jimmyfallon,Thank you to the amazing crowd at the Paramount in Seattle and to all of the great comedians that I was lucky enough to be on stage with.,795,204
2013-05-12 20:24:00,jimmyfallon,"Henry's Hi-Life for BBQ. Thanks, Jimmy! #SanJose #BBQ http://t.co/r8CwNDNXWU",241,96
2013-06-09 17:46:00,jimmyfallon,"Tonight we've got @katiecouric, @arianagrande, @pattonoswalt, music from @NewPolitics + #ThankYouNotes &amp; more. #LateNight #LNJF",1880,1594
2013-06-09 23:37:00,jimmyfallon,.@NewPolitics performing “Harlem” on our show tonight was just awesome. Such high energy and a knock out performance. Thanks guys!!,310,125
2013-06-09 23:38:00,jimmyfallon,.@ArianaGrande congrats on the new album - funny bit tonight. Thanks!,2513,1985
2013-06-10 03:59:00,jimmyfallon,SNL Miley now.,1444,1364
2013-06-10 04:05:00,jimmyfallon,So fun! SNL!!,1092,617
2013-06-11 01:41:00,jimmyfallon,"DMX was arrested for driving with a suspended license. Now he's lost his driver's license and he’s changing his name to “BMX."" #fallonmono",1732,2159
2013-06-11 03:29:00,jimmyfallon,“@Hasselbeck: You were close! Most likely to celebrate w/ #JazzHands was @CobyFleener. http://t.co/qbbl9elEEY” Damn! It’s a strong move.,223,127
2013-06-11 15:04:00,jimmyfallon,"“@paulteutulsr: You up for the #NoShaveNovember challenge? @OCChoppers” Sorry, it takes me at least a month to grow facial hair. DecemBEARD?",426,148
2013-06-11 19:54:00,jimmyfallon,"Tonight: Jason Statham playing Water War, talking about @tomgreenlive's new beer &amp; music from @emelisande. #LateNight #LNJF",202,88
2013-06-11 20:11:00,jimmyfallon,"Last night, @GDeLaurentiis &amp; I lost to @LucyLiu &amp; @ZacharyQuinto in a game of Catch Phrase. Still fun. #oatmeal http://t.co/FWBJ5AoruK",312,139
2013-06-11 22:21:00,jimmyfallon,I’d have the power to throw nails so I could work with Thor to build a house. #mysuperpower,1386,905
2013-06-11 22:21:00,jimmyfallon,Let's play the hashtag game! Tweet out a funny or crazy superpower you wish you had and tag with #mysuperpower. Could be on our show!,354,310
2013-06-12 07:35:00,jimmyfallon,Surprise stand up tonight from @jayleno - so fun! Goodbye Los Angeles and thanks. See you soon.,400,100
2013-06-12 08:07:00,jimmyfallon,Fun backstage with Horatio!! (Bonus Zog eyes photobomb.) #LosAngeles #Nokia #CleanCutComedy http://t.co/l0NzU2IcuR,279,64
2013-06-12 19:25:00,jimmyfallon,Had to get the best pizza in the land at Pizzeria Bianco. Thank you #Phoenix AZ. http://t.co/7UVZLsZIZc,508,308
2013-06-12 21:16:00,jimmyfallon,"If you live in the Bay Area and are fans of @Star1013 please follow Marcus D: @itsmarcusd (worst twitter handle ever) &amp;
Sandy: @sandystec.",171,51
2013-07-09 00:11:00,jimmyfallon,"Thank you, flamingos, for being swans that are stuck in the ‘80s. #ThankYouNoteFriday",1734,2572
2013-07-09 01:52:00,jimmyfallon,Promo for tonight’s show: http://t.co/BMpINBd4qD #LateNight,212,145
2013-07-09 03:02:00,jimmyfallon,Thank you @tamarbraxtonher for hanging out with us tonight. Congrats on the new album! It’s a great show.,187,115
2013-07-09 16:11:00,jimmyfallon,Two athletes. (@80miles) http://t.co/E9qwYonKx3,1972,557
2013-07-10 14:46:00,jimmyfallon,@FOX19 I believe I am. Where should I eat?,44,7
2013-07-10 16:25:00,jimmyfallon,.@PaulMcCartney is RIPPING IT UP in our studio right now. Mini concert. It’s insane. NEW is out October 15.,424,286
2013-07-10 16:27:00,jimmyfallon,“@Customer_12: @jimmyfallon @PaulMcCartney so jealous! Is he taking requests??” It’s honestly insane right now. This is brilliant.,121,48
2013-07-11 20:54:00,jimmyfallon,Rachel @Maddow returns to the show tonight to talk &amp; make some cocktails + music from M.I.A. (@MIAuniverse). #LateNight #LNJF,176,97
2013-07-12 17:21:00,jimmyfallon,Goodbye Colorado!! Thanks for making it snowy and beautiful for me. I can't wait to come back!! http://t.co/gwjFnZHzJn,662,158
2013-07-12 21:04:00,jimmyfallon,So lucky to tour with these funny comedians: @natebargatze @nickthune @Thezog &amp; @julezmac. http://t.co/PoXSGgeP3y I wanna do it again!!!,793,168
2013-08-10 00:59:00,jimmyfallon,"Thank you to @PaulMcCartney and his awesome band and crew. Pre order ""New"" avail October 13. Tonight… http://t.co/RZg3dsoDME",187,107
2013-08-10 01:41:00,jimmyfallon,Vladimir Putin lit the Olympic torch and minutes later a gust of wind blew it out. Related: The wind is now “missing.” #fallonmono,1097,1387
2013-08-10 05:20:00,jimmyfallon,“@ryankooi7: @PaulMcCartney “I invented the #selfie and the #photobomb” on @jimmyfallon  Priceless” who knew?,195,106
2013-08-10 05:24:00,jimmyfallon,#accents,527,471
2013-08-10 14:03:00,jimmyfallon,.@PaulMcCartney invented the selfie and the photobomb. http://t.co/p1f80t3j9q,461,522
2013-08-10 16:39:00,jimmyfallon,"Tonight, @MileyCyrus is on the show!! Many fun things planned. #LateNight #LNJF #WeCantStop #WeWontStop",724,648
2013-08-11 03:41:00,jimmyfallon,"Justin Bieber's been picking fights &amp; spray-painting walls. At this point, he's just reenacting the opening to “Fresh Prince.” #fallonmono",4074,4002
2013-08-11 14:18:00,jimmyfallon,I am having a “conversation” with Stephen Colbert (@StephenAtHome) Nov. 24th in NJ @MontclairFF! http://t.co/o07C4v5KCy Come say hi!,253,95
2013-08-11 18:04:00,jimmyfallon,The Decision. (American or Lafayette Coney) #Detroit #BOTH http://t.co/22dk8g0rJZ,437,475
2013-08-11 19:32:00,jimmyfallon,“@Local4News: RT @4LiveInTheD HUGE THANK YOU for stopping by #LiveintheD!” I had a blast. Thank you!! #lovintheD,254,136
2013-08-11 22:07:00,jimmyfallon,"Fun show tonight -- Natalie Portman, @TayeDiggs, great stand-up from @NateBargatze + #ThankYouNoteFriday. #LateNight #LNJF",248,119
2013-08-11 22:44:00,jimmyfallon,Thank you Chicago and everyone at Mr. Beef. I wish I had more time to hang in your awesome city. http://t.co/ZLxyjuHXos,524,222
2013-09-09 15:15:00,jimmyfallon,"Okay, @millionseconds I got the app and I’m good at it. But does knowing @RyanSeacrest make me ineligible? #MSQ #ithinkthisshowwillwork",190,90
2013-09-09 15:26:00,jimmyfallon,@Jman1118 oh,40,10
2013-09-09 18:42:00,jimmyfallon,Tonight we've got @IAmSteveHarvey + the guys from @DuckDynastyAE. #LateNight #LNJF #Quack,279,212
2013-09-09 18:53:00,jimmyfallon,"ICYMI on Friday, @ArianaGrande sings raps songs in the style of Broadway musicals. http://t.co/vGyW4NC0lH",324,274
2013-09-09 20:21:00,jimmyfallon,Hey guys! @rickygervais is on our show Wednesday and he'll be answering Twitter questions from fans. Tweet yours &amp; tag with #AskRicky!,248,154
2013-09-09 23:18:00,jimmyfallon,Cool thing about doing a show in NYC — anyone can drop by. @KanyeWest surprised us and performed “Bound 2” tonight on Late Night! #nojoke,638,746
2013-09-09 23:26:00,jimmyfallon,.@kanyewest surprises Late Night and performs “Bound 2” w/@theroots and kills it. #LateNight #NBC,819,1283
2013-09-10 13:52:00,jimmyfallon,".@MileyCyrus, me &amp;The Roots sing ""We Can't Stop"" a cappella http://t.co/sYYrTIlmvi #musiccube",1642,1981
2013-09-10 16:30:00,jimmyfallon,"Tonight: Alan Rickman, @ChloeGMoretz and, straight from Norway, @Ylvis doing a live performance of ""The Fox""!! #LateNight #WhatTheFoxSay",570,573
2013-09-10 17:25:00,jimmyfallon,Also tonight -- he's back. Jeff Musial (@JeffAnimalGuy) returns to the show with his animals. #LateNight #LNJF,149,76
2013-09-10 20:52:00,jimmyfallon,Hashtag game! Tweet out a funny or embarrassing reason why you or someone you know is single &amp; tag with #whyimsingle. Could be on our show!,348,387
2013-09-10 20:52:00,jimmyfallon,One of our writers starts off every date by asking the girl who her favorite Harry Potter character is. #whyimsingle,1816,1306
2013-09-10 23:41:00,jimmyfallon,"Starbucks in the UK are selling a new half-donut, half-muffin pastry called the Duffin. Beats the other name for it: the MuffNut #fallonmono",1288,1607
2013-09-11 16:44:00,jimmyfallon,@GovChristie People really seem to looooove that room. You’re electric! Get it? Okay… Sorry.,137,37
2013-09-11 22:06:00,jimmyfallon,"If you liked @natebargatze from our show last night - check out his album “Yelled At By A Clown”  
https://t.co/9N296E3N10",172,73
2013-09-12 01:09:00,jimmyfallon,".@9NEWS: Anchor @AdeleArakawa rescues Jimmy Fallon's jacket  #9NEWSEntertainment http://t.co/sT0OtuOhei""” Thank you Adele. I had to dive.",284,87
2013-09-12 18:34:00,jimmyfallon,"Back with a new show tonight! Amy Adams, Oscar Issac, music from @JackJohnson &amp; the return of Late Night Christmas Sweaters!! #LateNight",557,192
2013-09-13 02:45:00,jimmyfallon,Thank you for my gift @questlove. http://t.co/YGSuCCiynw,143,45
2013-09-13 03:36:00,jimmyfallon,“@aaronpaul_8: @jimmyfallon Love you bitch!!!!  #JokingBad Their parody/tribute to #BreakingBad http://t.co/TFqj8BLPp1” love this.,661,672
2013-09-13 20:38:00,jimmyfallon,"Tonight we're playing Charades with Scarlett Johansson &amp; @Drake, music from @Drake ft. Sampha and it's #ThankYouNoteFriday. Fun. #LateNight",424,442
2013-09-13 23:09:00,jimmyfallon,"Thank you, the Scarlet Letter A, for being the original tramp stamp. #ThankYouNoteFriday",1622,2146
2013-09-14 13:32:00,jimmyfallon,The Evolution Of End Zone Dancing w/ @jtimberlake  http://t.co/RZaJTVtkoH #nfl #sundayfootball #endzone #redzone #endzonecelebrations,1534,2262
2013-09-15 16:14:00,jimmyfallon,We are doing a cool contest on @youtube you guys!! Announcing this week. Subscribe to our channel. http://t.co/q2g865zA4e,258,176
2013-09-16 13:11:00,jimmyfallon,Watching my pal @IAMQUEENLATIFAH right now. So fun. Congrats La!!! #queenlatifah,202,88
2013-09-16 16:31:00,jimmyfallon,"Tonight we've got @BenAffleck, @MindyKaling &amp; music from the @Pixies!! #LateNight #LNJF",443,253
2013-09-17 01:21:00,jimmyfallon,"Joe Flacco missed his son's birth so he could play against the Browns. Even the baby said, ""Seriously--the Browns??"" #fallonmono",1327,2396
2013-09-17 16:51:00,jimmyfallon,"Freestyling With My Mom! Take a video of your mom rapping, upload to YouTube and it could be on the show! Details: http://t.co/u6QbZrWVlj",168,142
2013-09-17 17:04:00,jimmyfallon,"Tonight: @jtimberlake is back for another #TimberlakeTuesday!! Plus, Orlando Bloom &amp; music from @ElvisCostello &amp; @TheRoots. #LateNight",651,632
2013-09-18 14:58:00,jimmyfallon,I remember camp and singing with @JTimberlake at Camp Winnipesaukee. http://t.co/JXmKKaN8sS #LateNight,1486,1409
2013-09-18 20:12:00,jimmyfallon,"Tonight: @rushthemovie's Chris Hemsworth, @TonyDanza &amp; music from @JackJohnson!! #LateNight #LNJF",161,86
2013-09-18 20:14:00,jimmyfallon,"Also, let's play the Hashtag game! Tweet something funny or weird about one of your teachers &amp; tag w/ #myweirdteacher. Could be on our show!",235,304
2013-09-18 20:15:00,jimmyfallon,"My teacher used to call quizzes ""quizzicles."" You don't want to know what he called ""tests."" #myweirdteacher",1746,1834
2013-09-19 02:11:00,jimmyfallon,"North Korea says it wants to resume talks with the US. Obama says it'll be awkward. Not the talks, thanking Dennis Rodman. #fallonmono",484,593
2013-09-19 15:11:00,jimmyfallon,Thank you for all of the nice happy birthday messages. You guys are awesome!,787,281
2013-09-19 16:31:00,jimmyfallon,Happy Sugar Hill Birthday to my man @mariobatali &amp; everyone born on September 19th! http://t.co/sCnQLhiGF7,213,132
2013-09-19 16:32:00,jimmyfallon,Piñatas http://t.co/15BO1cvSiw,120,49
2013-09-19 16:33:00,jimmyfallon,Piñatas 2 http://t.co/IPB07TRU2s,171,78
2013-09-19 17:41:00,jimmyfallon,"From last night: Opera Singer @RichardTroxell Performs the ""Meow Mix"" Jingle http://t.co/5IuKWWmTSR #meowmeowmeow",130,133
2013-09-19 17:43:00,jimmyfallon,Tonight @RealHughJackman is back on the show!! Plus author Gillian Flynn &amp; more music from @ElvisCostello &amp; @theRoots! #LateNight #LNJF,128,96
2013-09-19 20:18:00,jimmyfallon,Download the new @ElvisCostello album featuring @theRoots Wise Up Ghost on iTunes right now. https://t.co/oZUM7oB48I,141,123
2013-09-19 23:47:00,jimmyfallon,"The Beanie Babies creator owes $53 million for tax evasion. If he sells all his Beanie Babies, he'll just owe...like $53 million #fallonmono",1072,1586
2013-09-21 00:20:00,jimmyfallon,"Tonight we've got James Spader, @KateUpton, photographer Neal Preston, Chef @ilanhall &amp; #ThankYouNoteFriday. #LateNight #LNJF",171,100
2013-09-21 00:24:00,jimmyfallon,"Plus, I'm on The Tonight Show with @jayleno tonight!! 1135 NBC. #magicoftelevision",363,174
2013-09-21 01:53:00,jimmyfallon,Hey @tim_cook. FYI… I went with the champagne gold.,197,111
2013-09-21 16:26:00,jimmyfallon,“@BIGN98: A'ight @jimmyfallon 😂😂😂 #touche http://t.co/yHTzq5vKHz” we LOVE you!!,442,183
2013-09-21 16:27:00,jimmyfallon,“@CamHeyward: Thanks for the shout out @jimmyfallon http://t.co/xeQKuTlKgL” nothing but love my man.,294,111
2013-09-21 16:29:00,jimmyfallon,“@spinpong: Congratulation to JF for winning the best SPiN Story! http://t.co/Pzrgh8HpTM @SusanSarandon” SS TOLD me the place is legendary.,211,142
2013-09-24 18:33:00,jimmyfallon,"We're back with a new show tonight! @hitRECordJoe, @StephenMerchant &amp; music from @theavettbros!! #LateNight #LNJF",269,166
2013-09-24 18:35:00,jimmyfallon,And...it's #TimberlakeTuesday! More fun with @jtimberlake tonight.,1838,1758
2013-09-25 01:35:00,jimmyfallon,.@BigJoeFauria tune in tonight. We’re proud of you. #LateNight,208,213
2013-09-25 01:36:00,jimmyfallon,Epic Lip Sync battle tonight on #LateNight,518,242
2013-09-25 01:44:00,jimmyfallon,.@jtimberlake #hashtag #twentytwenty,883,686
2013-09-25 02:24:00,jimmyfallon,10 million followers. Wow. Thank you guys so much!,1682,450
2013-09-25 13:42:00,jimmyfallon,"RT @questlove: most EPIC lipsync ever: ""boom shake the room""will NEVER be the same http://t.co/nrxnL2K40X @StephenMerchant @hitRECordJoe",665,921
2013-09-25 16:33:00,jimmyfallon,"Tonight: Michael J. Fox (@realmikefox), @blakeshelton + music from @KingsOfLeon!! #LateNight #LNJF",277,182
2013-09-25 16:47:00,jimmyfallon,Me and @jtimberlake show you what a Twitter conversation sounds like in real life. #Hashtag https://t.co/S75ViNSuAs,5207,8647
2013-09-25 20:56:00,jimmyfallon,Let's play the Hashtag game! Tweet a made-up spoiler for Breaking Bad w/ the hashtag #fakebreakingbadspoilers. Could be on our show!,251,238
2013-09-25 20:57:00,jimmyfallon,Walt hands his drug empire over to a more worthy meth cook: Bill Nye the Science Guy. #fakebreakingbadspoilers,1532,2414
2013-09-26 01:32:00,jimmyfallon,"A study says New Yorkers are some of the most honest people in the world. And on that note, I didn't really read that study. #fallonmono",1055,763
2013-09-26 14:47:00,jimmyfallon,"Me, @SesameStreet &amp; the Roots sing the ""Sesame Street"" theme with
classroom instruments. http://t.co/wE2w4Pr7ar",1101,1467
2013-09-26 17:54:00,jimmyfallon,Sesame’s Tweet http://t.co/wE2w4Pr7ar,692,776
2013-09-26 20:26:00,jimmyfallon,Playing a new game with my pal Tina Fey on the show tonight! #LateNight #LNJF,601,242
2013-09-27 00:16:00,jimmyfallon,"A&amp;E canceled ""Hoarders."" But viewers will never delete the dozens of episodes on their DVR because they might need them one day. #fallonmono",2592,3359
2013-09-27 15:48:00,jimmyfallon,"""Ew!"" with me and @LindsayLohan http://t.co/dXMz9LyCrz",642,481
2013-09-27 16:14:00,jimmyfallon,“@EljoWanderer: @jimmyfallon Ew! Oh my gawwwd and that drool that was on your chin the whole time was so ewwww! 😂” ha. That was gross.,158,52
2013-09-27 16:16:00,jimmyfallon,@JohnCena I’m down. #youhavetoaskjustin,137,84
2013-09-27 16:17:00,jimmyfallon,Lip sync’n with these guys @StephenMerchant @hitRECordJoe was fun. http://t.co/UBi8euOaiv,773,839
2013-09-27 17:33:00,jimmyfallon,"Haven't done one of these in a while.  

Also Il Volo is sold out tonight. So... come watch Late… http://t.co/yJ6bJoRcFw",162,93
2013-09-27 23:14:00,jimmyfallon,"Thank you, Crocs, for being a terrifying animal and an even more terrifying shoe. #ThankYouNoteFriday",2548,4148
2013-09-29 03:40:00,jimmyfallon,Watching the season premiere of Saturday Night Live. Go Tina!!,2032,1345
2013-09-29 17:03:00,jimmyfallon,"“@mspenny21: ""Your default expression is that of someone who is right on the cusp of laughter"" - James Spader. What a great compliment!” Ha.",374,109
2013-09-29 23:59:00,jimmyfallon,RT “@GQMagazine: Our friend J Fallon wins for the best @BreakingBad_AMC parody ever: http://t.co/RQmlUBY2Ir”,318,197
