Date,Price,Change,Direction,Lag 1 Price,Lag 2 Price,Lag 5 Price,Lag 1 Change,Lag 1 Direction,Lag 1 Significant,Lag 2 Change,Lag 2 Direction,Lag 2 Significant,Lag 5 Change,Lag 5 Direction,Lag 5 Significant
1999-12-03,112.19,,0,114.56,116.56,116.56,0.021124877440057088,1,1,0.038951778233354176,1,1,0.038951778233354176,1,1
1999-12-06,114.56,0.021124877440056974,1,116.56,116.25,116.25,0.017458100558659217,1,1,0.01475209497206702,1,1,0.01475209497206702,1,1
1999-12-07,116.56,0.01745810055865915,1,116.25,111.0,111.0,-0.002659574468085126,-1,0,-0.04770075497597805,-1,-1,-0.04770075497597805,-1,-1
1999-12-08,116.25,-0.00265957446808518,-1,111.0,105.31,105.31,-0.04516129032258064,-1,-1,-0.09410752688172042,-1,-1,-0.09410752688172042,-1,-1
1999-12-09,111.0,-0.04516129032258065,-1,105.31,102.39,102.39,-0.051261261261261244,-1,-1,-0.07756756756756757,-1,-1,-0.07756756756756757,-1,-1
1999-12-10,105.31,-0.051261261261261286,-1,102.39,98.37,98.37,-0.027727661190770123,-1,-1,-0.06590067419998098,-1,-1,-0.06590067419998098,-1,-1
1999-12-13,102.39,-0.02772766119077008,-1,98.37,93.25,93.25,-0.03926164664518016,-1,-1,-0.08926652993456392,-1,-1,-0.08926652993456392,-1,-1
1999-12-14,98.37,-0.03926164664518017,-1,93.25,98.0,98.0,-0.05204838873640342,-1,-1,-0.0037613093422791963,-1,0,-0.0037613093422791963,-1,0
1999-12-15,93.25,-0.05204838873640338,-1,98.0,100.87,100.87,0.05093833780160858,1,1,0.08171581769437002,1,1,0.08171581769437002,1,1
1999-12-16,98.0,0.05093833780160861,1,100.87,99.56,99.56,0.02928571428571433,1,1,0.0159183673469388,1,1,0.0159183673469388,1,1
1999-12-17,100.87,0.029285714285714363,1,99.56,98.19,98.19,-0.012987012987013009,-1,-1,-0.02656885099633198,-1,-1,-0.02656885099633198,-1,-1
1999-12-20,99.56,-0.012987012987012991,-1,98.19,102.87,102.87,-0.01376054640417843,-1,-1,0.03324628364805145,1,1,0.03324628364805145,1,1
1999-12-21,98.19,-0.013760546404178451,-1,102.87,101.81,101.81,0.04766269477543545,1,1,0.036867298095529126,1,1,0.036867298095529126,1,1
1999-12-22,102.87,0.0476626947754355,1,101.81,104.37,104.37,-0.010304267522115313,-1,-1,0.01458151064450277,1,1,0.01458151064450277,1,1
1999-12-23,101.81,-0.010304267522115327,-1,104.37,99.12,99.12,0.025144877713387706,1,1,-0.026421766034770627,-1,-1,-0.026421766034770627,-1,-1
1999-12-27,104.37,0.025144877713387803,1,99.12,96.81,96.81,-0.05030181086519114,-1,-1,-0.07243460764587527,-1,-1,-0.07243460764587527,-1,-1
1999-12-28,99.12,-0.050301810865191136,-1,96.81,102.19,102.19,-0.023305084745762733,-1,-1,0.030972558514931327,1,1,0.030972558514931327,1,1
1999-12-29,96.81,-0.02330508474576276,-1,102.19,100.94,100.94,0.05557277140791236,1,1,0.04266088214027472,1,1,0.04266088214027472,1,1
1999-12-30,102.19,0.055572771407912384,1,100.94,104.87,104.87,-0.01223211664546433,-1,-1,0.026225658087875595,1,1,0.026225658087875595,1,1
1999-12-31,100.94,-0.012232116645464308,-1,104.87,108.25,108.25,0.03893402021002582,1,1,0.07241925896572224,1,1,0.07241925896572224,1,1
2000-01-03,104.87,0.0389340202100259,1,108.25,103.75,103.75,0.03223038047105936,1,1,-0.010679889386859964,-1,-1,-0.010679889386859964,-1,-1
2000-01-04,108.25,0.032230380471059306,1,103.75,106.12,106.12,-0.04157043879907621,-1,-1,-0.01967667436489603,-1,-1,-0.01967667436489603,-1,-1
2000-01-05,103.75,-0.04157043879907618,-1,106.12,96.5,96.5,0.022843373493975947,1,1,-0.06987951807228916,-1,-1,-0.06987951807228916,-1,-1
2000-01-06,106.12,0.02284337349397592,1,96.5,102.0,102.0,-0.09065209197135322,-1,-1,-0.038823972860912215,-1,-1,-0.038823972860912215,-1,-1
