Date,Price,Change,Direction,Lag 1 Price,Lag 2 Price,Lag 5 Price,Lag 1 Change,Lag 1 Direction,Lag 1 Significant,Lag 2 Change,Lag 2 Direction,Lag 2 Significant,Lag 5 Change,Lag 5 Direction,Lag 5 Significant
1999-12-03,95.81,,0,95.25,94.75,94.75,-0.00584490136728945,-1,0,-0.011063563302369296,-1,-1,-0.011063563302369296,-1,-1
1999-12-06,95.25,-0.0058449013672894345,-1,94.75,93.12,93.12,-0.005249343832020997,-1,0,-0.0223622047244094,-1,-1,-0.0223622047244094,-1,-1
1999-12-07,94.75,-0.005249343832021025,-1,93.12,92.0,92.0,-0.01720316622691288,-1,-1,-0.029023746701846966,-1,-1,-0.029023746701846966,-1,-1
1999-12-08,93.12,-0.01720316622691287,-1,92.0,93.37,93.37,-0.012027491408934755,-1,-1,0.0026847079037800687,1,0,0.0026847079037800687,1,0
1999-12-09,92.0,-0.012027491408934776,-1,93.37,93.61,93.61,0.014891304347826137,1,1,0.017499999999999995,1,1,0.017499999999999995,1,1
1999-12-10,93.37,0.01489130434782604,1,93.61,96.19,96.19,0.002570418764056923,1,0,0.03020242047766941,1,1,0.03020242047766941,1,1
1999-12-13,93.61,0.002570418764056948,1,96.19,98.56,98.56,0.027561157995940586,1,1,0.05287896592244421,1,1,0.05287896592244421,1,1
1999-12-14,96.19,0.0275611579959405,1,98.56,109.25,109.25,0.024638735835325967,1,1,0.1357729493710365,1,1,0.1357729493710365,1,1
1999-12-15,98.56,0.024638735835325942,1,109.25,116.62,116.62,0.10846185064935063,1,1,0.18323863636363638,1,1,0.18323863636363638,1,1
1999-12-16,109.25,0.10846185064935067,1,116.62,114.81,114.81,0.06745995423340966,1,1,0.050892448512585835,1,1,0.050892448512585835,1,1
1999-12-17,116.62,0.06745995423340956,1,114.81,112.37,112.37,-0.015520493911850473,-1,-1,-0.03644314868804665,-1,-1,-0.03644314868804665,-1,-1
1999-12-20,114.81,-0.01552049391185051,-1,112.37,116.3,116.3,-0.021252504137270253,-1,-1,0.012977963592021555,1,1,0.012977963592021555,1,1
1999-12-21,112.37,-0.0212525041372702,-1,116.3,117.25,117.25,0.034973747441487874,1,1,0.04342796119960839,1,1,0.04342796119960839,1,1
1999-12-22,116.3,0.034973747441487964,1,117.25,118.44,118.44,0.008168529664660387,1,0,0.018400687876182292,1,1,0.018400687876182292,1,1
1999-12-23,117.25,0.008168529664660307,1,118.44,118.75,118.75,0.010149253731343264,1,1,0.01279317697228145,1,1,0.01279317697228145,1,1
1999-12-27,118.44,0.010149253731343231,1,118.75,116.94,116.94,0.002617359000337743,1,0,-0.012664640324214792,-1,-1,-0.012664640324214792,-1,-1
1999-12-28,118.75,0.002617359000337771,1,116.94,117.87,117.87,-0.015242105263157914,-1,-1,-0.007410526315789435,-1,0,-0.007410526315789435,-1,0
1999-12-29,116.94,-0.015242105263157947,-1,117.87,117.5,117.5,0.007952796305797904,1,0,0.0047887805712331305,1,0,0.0047887805712331305,1,0
1999-12-30,117.87,0.007952796305797927,1,117.5,117.37,117.37,-0.003139051497412442,-1,0,-0.004241961482989734,-1,0,-0.004241961482989734,-1,0
1999-12-31,117.5,-0.0031390514974124484,-1,117.37,113.56,113.56,-0.0011063829787233655,-1,0,-0.033531914893617,-1,-1,-0.033531914893617,-1,-1
2000-01-03,117.37,-0.0011063829787233417,-1,113.56,111.12,111.12,-0.03246144670699499,-1,-1,-0.053250404703075745,-1,-1,-0.053250404703075745,-1,-1
2000-01-04,113.56,-0.032461446706995016,-1,111.12,112.19,112.19,-0.021486438886931997,-1,-1,-0.01206410707995777,-1,-1,-0.01206410707995777,-1,-1
2000-01-05,111.12,-0.021486438886932024,-1,112.19,108.62,108.62,0.009629229661627008,1,0,-0.02249820014398848,-1,-1,-0.02249820014398848,-1,-1
2000-01-06,112.19,0.009629229661626935,1,108.62,113.44,113.44,-0.031821017916035234,-1,-1,0.011141812995810678,1,1,0.011141812995810678,1,1
2000-01-07,108.62,-0.0318210179160352,-1,113.44,111.5,111.5,0.04437488491990419,1,1,0.026514454060025734,1,1,0.026514454060025734,1,1
2000-01-10,113.44,0.04437488491990416,1,111.5,108.5,108.5,-0.017101551480959078,-1,-1,-0.04354724964739067,-1,-1,-0.04354724964739067,-1,-1
2000-01-11,111.5,-0.017101551480959043,-1,108.5,104.37,104.37,-0.026905829596412557,-1,-1,-0.06394618834080713,-1,-1,-0.06394618834080713,-1,-1
