Date,Price,Change,Direction,Lag 1 Price,Lag 2 Price,Lag 5 Price,Lag 1 Change,Lag 1 Direction,Lag 1 Significant,Lag 2 Change,Lag 2 Direction,Lag 2 Significant,Lag 5 Change,Lag 5 Direction,Lag 5 Significant
1999-12-03,143.0312,,0,143.5312,143.2812,143.2812,0.0034957407894221676,1,0,0.0017478703947110838,1,0,0.0017478703947110838,1,0
1999-12-06,143.5312,0.003495740789422275,1,143.2812,141.3437,141.3437,-0.0017417815778032928,-1,0,-0.015240588805778811,-1,-1,-0.015240588805778811,-1,-1
1999-12-07,143.2812,-0.0017417815778032475,-1,141.3437,141.8125,141.8125,-0.013522360225905422,-1,-1,-0.01025047249743869,-1,-1,-0.01025047249743869,-1,-1
1999-12-08,141.3437,-0.013522360225905472,-1,141.8125,142.2812,142.2812,0.003316737852482901,1,0,0.006632768209690279,1,0,0.006632768209690279,1,0
1999-12-09,141.8125,0.003316737852482987,1,142.2812,141.4375,141.4375,0.0033050683120318205,1,0,-0.002644336712208021,-1,0,-0.002644336712208021,-1,0
1999-12-10,142.2812,0.003305068312031923,1,141.4375,141.625,141.625,-0.005929806608322199,-1,0,-0.004611993713856873,-1,0,-0.004611993713856873,-1,0
1999-12-13,141.4375,-0.005929806608322208,-1,141.625,140.375,140.375,0.0013256738842244808,1,0,-0.007512152010605391,-1,0,-0.007512152010605391,-1,0
1999-12-14,141.625,0.0013256738842244429,1,140.375,142.1875,142.1875,-0.0088261253309797,-1,0,0.003971756398940865,1,0,0.003971756398940865,1,0
1999-12-15,140.375,-0.008826125330979706,-1,142.1875,143.0,143.0,0.012911843276936777,1,1,0.018699910952804988,1,1,0.018699910952804988,1,1
1999-12-16,142.1875,0.01291184327693684,1,143.0,142.5625,142.5625,0.005714285714285714,1,0,0.0026373626373626374,1,0,0.0026373626373626374,1,0
1999-12-17,143.0,0.005714285714285783,1,142.5625,141.5937,141.5937,-0.0030594405594405595,-1,0,-0.009834265734265647,-1,0,-0.009834265734265647,-1,0
1999-12-20,142.5625,-0.0030594405594405183,-1,141.5937,143.625,143.625,-0.006795615957913108,-1,0,0.007452871547566856,1,0,0.007452871547566856,1,0
1999-12-21,141.5937,-0.006795615957913115,-1,143.625,145.0156,145.0156,0.014345977257462636,1,1,0.02416703568025974,1,1,0.02416703568025974,1,1
1999-12-22,143.625,0.01434597725746256,1,145.0156,146.5,146.5,0.009682158398607529,1,0,0.020017406440382943,1,1,0.020017406440382943,1,1
1999-12-23,145.0156,0.00968215839860753,1,146.5,145.875,145.875,0.010236140111822408,1,1,0.005926258968000641,1,0,0.005926258968000641,1,0
1999-12-27,146.5,0.0102361401118225,1,145.875,146.3125,146.3125,-0.004266211604095563,-1,0,-0.001279863481228669,-1,0,-0.001279863481228669,-1,0
1999-12-28,145.875,-0.004266211604095571,-1,146.3125,147.125,147.125,0.0029991431019708655,1,0,0.00856898029134533,1,0,0.00856898029134533,1,0
1999-12-29,146.3125,0.0029991431019709136,1,147.125,146.8437,146.8437,0.005553182400683468,1,0,0.0036305852199915423,1,0,0.0036305852199915423,1,0
1999-12-30,147.125,0.005553182400683365,1,146.8437,148.25,148.25,-0.0019119796091757856,-1,0,0.0076465590484282074,1,0,0.0076465590484282074,1,0
1999-12-31,146.8437,-0.0019119796091757735,-1,148.25,143.5312,143.5312,0.00957684939837383,1,0,-0.022557998742881034,-1,-1,-0.022557998742881034,-1,-1
2000-01-03,148.25,0.009576849398373888,1,143.5312,139.9375,139.9375,-0.03183001686340632,-1,-1,-0.056070826306914,-1,-1,-0.056070826306914,-1,-1
2000-01-04,143.5312,-0.03183001686340636,-1,139.9375,139.625,139.625,-0.02503776182460686,-1,-1,-0.027214988796860975,-1,-1,-0.027214988796860975,-1,-1
2000-01-05,139.9375,-0.02503776182460682,-1,139.625,140.3125,140.3125,-0.0022331397945511387,-1,0,0.0026797677534613666,1,0,0.0026797677534613666,1,0
2000-01-06,139.625,-0.0022331397945510867,-1,140.3125,146.25,146.25,0.004923903312444047,1,0,0.047448522829006266,1,1,0.047448522829006266,1,1
2000-01-07,140.3125,0.004923903312443967,1,146.25,145.8125,145.8125,0.042316258351893093,1,1,0.039198218262806235,1,1,0.039198218262806235,1,1
2000-01-10,146.25,0.04231625835189301,1,145.8125,144.5937,144.5937,-0.0029914529914529917,-1,0,-0.01132512820512812,-1,-1,-0.01132512820512812,-1,-1
2000-01-11,145.8125,-0.002991452991452981,-1,144.5937,144.4687,144.4687,-0.008358679811401542,-1,0,-0.009215945135019202,-1,0,-0.009215945135019202,-1,0
2000-01-12,144.5937,-0.008358679811401594,-1,144.4687,146.5312,146.5312,-0.0008644913298435547,-1,0,0.013399615612575097,1,1,0.013399615612575097,1,1
2000-01-13,144.4687,-0.0008644913298435641,-1,146.5312,145.3437,145.3437,0.014276448808634672,1,1,0.006056675252148043,1,0,0.006056675252148043,1,0
2000-01-14,146.5312,0.014276448808634656,1,145.3437,145.3125,145.3125,-0.008104076128496866,-1,0,-0.008317000065515142,-1,0,-0.008317000065515142,-1,0
2000-01-18,145.3437,-0.00810407612849684,-1,145.3125,146.9687,146.9687,-0.00021466358706990774,-1,0,0.01118039515988653,1,1,0.01118039515988653,1,1
2000-01-19,145.3125,-0.0002146635870698965,-1,146.9687,145.5,145.5,0.011397505376344172,1,1,0.0012903225806451613,1,0,0.0012903225806451613,1,0
2000-01-20,146.9687,0.011397505376344208,1,145.5,145.6562,145.6562,-0.0099932842843409,-1,0,-0.008930472951043317,-1,0,-0.008930472951043317,-1,0
2000-01-21,145.5,-0.009993284284340877,-1,145.6562,140.5156,140.5156,0.0010735395189004299,1,0,-0.034257044673539475,-1,-1,-0.034257044673539475,-1,-1
2000-01-24,145.6562,0.0010735395189003238,1,140.5156,141.0,141.0,-0.035292696088460404,-1,-1,-0.03196705667180671,-1,-1,-0.03196705667180671,-1,-1
2000-01-25,140.5156,-0.03529269608846042,-1,141.0,141.8437,141.8437,0.0034473040715763494,1,0,0.009451619606648701,1,0,0.009451619606648701,1,0
2000-01-26,141.0,0.0034473040715763408,1,141.8437,139.4375,139.4375,0.005983687943262501,1,0,-0.011081560283687944,-1,-1,-0.011081560283687944,-1,-1
2000-01-27,141.8437,0.005983687943262428,1,139.4375,135.8125,135.8125,-0.016963742485566948,-1,-1,-0.04252004142587942,-1,-1,-0.04252004142587942,-1,-1
2000-01-28,139.4375,-0.016963742485566983,-1,135.8125,139.75,139.75,-0.025997310623038995,-1,-1,0.0022411474675033617,1,0,0.0022411474675033617,1,0
